missing_rate,imputer,rmse_mean,rmse_std,mae_mean,mae_std,n,rmse_pm_std,mae_pm_std
0.05,"KNN(k=5,dist)",3.884672052850476,0.8038586143360952,1.3389322250227995,0.10256416110171504,10,3.8847 ± 0.8039,1.3389 ± 0.1026
0.05,SimpleMean,7.245155958351312,1.2265635685268197,1.9989158506738494,0.13428743627842543,10,7.2452 ± 1.2266,1.9989 ± 0.1343
0.05,RFECA_SVR(k=20),7.712392000605983,1.1867526038439553,2.067708820160405,0.13632264308735134,10,7.7124 ± 1.1868,2.0677 ± 0.1363
0.1,"KNN(k=5,dist)",4.227499718890815,0.5990180700720659,1.4090752577136225,0.07457233832560878,10,4.2275 ± 0.5990,1.4091 ± 0.0746
0.1,SimpleMean,8.099293977159972,1.1081286042728329,2.093699011308231,0.12247021510573859,10,8.0993 ± 1.1081,2.0937 ± 0.1225
0.1,RFECA_SVR(k=20),8.581335975393241,1.0531513148717835,2.153081463122053,0.11769830054171393,10,8.5813 ± 1.0532,2.1531 ± 0.1177
0.2,"KNN(k=5,dist)",4.48237327997948,0.3905387540370956,1.4360574200404415,0.04716955292263416,10,4.4824 ± 0.3905,1.4361 ± 0.0472
0.2,SimpleMean,7.799190013612325,0.5693886857073337,2.049618475667638,0.05979128090463519,10,7.7992 ± 0.5694,2.0496 ± 0.0598
0.2,RFECA_SVR(k=20),8.352098381691006,0.5905123637829541,2.1277087559249006,0.058791176098019614,10,8.3521 ± 0.5905,2.1277 ± 0.0588
0.3,"KNN(k=5,dist)",4.605930455156898,0.3482479513765374,1.4502783934649721,0.040943863654594834,10,4.6059 ± 0.3482,1.4503 ± 0.0409
0.3,SimpleMean,7.872435212696351,0.17201641307764354,2.0503550431667055,0.02286238373395226,10,7.8724 ± 0.1720,2.0504 ± 0.0229
0.3,RFECA_SVR(k=20),8.492700079226212,0.1151848503340775,2.136734958674931,0.020147395119354327,10,8.4927 ± 0.1152,2.1367 ± 0.0201
