imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n,f1_pm_std,bal_pm_std
"KNN(k=5,dist)",0.0,EnsembleSoft,0.9419927536231885,0.0,0.9333333333333332,0.0,10,0.9420 ± 0.0000,0.9333 ± 0.0000
"KNN(k=5,dist)",0.0,SVC,0.9319400527009222,0.0,0.925,0.0,10,0.9319 ± 0.0000,0.9250 ± 0.0000
"KNN(k=5,dist)",0.0,EnsembleHard,0.9274472990777338,0.0,0.925,0.0,10,0.9274 ± 0.0000,0.9250 ± 0.0000
"KNN(k=5,dist)",0.0,RF,0.9152733860342556,0.0,0.9083333333333334,0.0,10,0.9153 ± 0.0000,0.9083 ± 0.0000
"KNN(k=5,dist)",0.0,LogReg,0.9149559257167953,0.0,0.9079545454545453,0.0,10,0.9150 ± 0.0000,0.9080 ± 0.0000
"KNN(k=5,dist)",0.0,GB,0.8042421210029905,0.0,0.7833333333333333,0.0,10,0.8042 ± 0.0000,0.7833 ± 0.0000
"KNN(k=5,dist)",0.05,SVC,0.9367730284208544,0.011200438225475468,0.9258333333333333,0.011076334465209378,10,0.9368 ± 0.0112,0.9258 ± 0.0111
"KNN(k=5,dist)",0.05,EnsembleHard,0.934513386372082,0.015301582895517994,0.9241666666666667,0.01776475217257721,10,0.9345 ± 0.0153,0.9242 ± 0.0178
"KNN(k=5,dist)",0.05,EnsembleSoft,0.9285775174101261,0.014803101120615648,0.9193939393939393,0.015548051777968808,10,0.9286 ± 0.0148,0.9194 ± 0.0155
"KNN(k=5,dist)",0.05,LogReg,0.9162597559445386,0.011236264342392742,0.9100378787878787,0.0143331718337155,10,0.9163 ± 0.0112,0.9100 ± 0.0143
"KNN(k=5,dist)",0.05,RF,0.90186588652893,0.011595134420446645,0.8947727272727273,0.012404363253785486,10,0.9019 ± 0.0116,0.8948 ± 0.0124
"KNN(k=5,dist)",0.05,GB,0.8096244555766294,0.03715274337628281,0.7972575757575757,0.03555955125619962,10,0.8096 ± 0.0372,0.7973 ± 0.0356
"KNN(k=5,dist)",0.1,SVC,0.9336899115377376,0.011353615610562768,0.9224621212121212,0.011121221869003682,10,0.9337 ± 0.0114,0.9225 ± 0.0111
"KNN(k=5,dist)",0.1,EnsembleHard,0.9284744871070958,0.014067783450783574,0.9166287878787879,0.015306915615053329,10,0.9285 ± 0.0141,0.9166 ± 0.0153
"KNN(k=5,dist)",0.1,EnsembleSoft,0.9225853786310309,0.01752926056353538,0.9140151515151516,0.016421909583726437,10,0.9226 ± 0.0175,0.9140 ± 0.0164
