missing_rate,replicate,imputer,rmse,mae
0.05,0,SimpleMean,7.435293411700556,2.0251816267034712
0.05,0,"KNN(k=5,dist)",5.094320453920194,1.3961441305583238
0.05,1,SimpleMean,8.238737507222348,2.096947272960087
0.05,1,"KNN(k=5,dist)",4.610901359622481,1.4319423637203432
0.05,2,SimpleMean,7.211777324543408,2.0338085847669705
0.05,2,"KNN(k=5,dist)",4.481607618952902,1.4581931178640348
0.05,3,SimpleMean,8.227154964224997,2.1432980677650155
0.05,3,"KNN(k=5,dist)",3.2511113434253263,1.2526086025488208
0.05,4,SimpleMean,6.649358738261985,1.9905851887402364
0.05,4,"KNN(k=5,dist)",2.96427097897746,1.2205225660299024
0.05,5,SimpleMean,5.245706342333375,1.763545315840556
0.05,5,"KNN(k=5,dist)",3.452572330267114,1.3173934579989173
0.05,6,SimpleMean,7.053869844056715,1.9458397028716063
0.05,6,"KNN(k=5,dist)",3.5762343487532404,1.2976837053203467
0.05,7,SimpleMean,5.9321829534026325,1.8199243162634515
0.05,7,"KNN(k=5,dist)",3.0552018481453183,1.2374056492708032
0.05,8,SimpleMean,9.552218980508773,2.196335079037034
0.05,8,"KNN(k=5,dist)",4.913589337887748,1.5104215189903183
0.05,9,SimpleMean,6.905259517258332,1.9736933517900648
0.05,9,"KNN(k=5,dist)",3.4469109085529794,1.2670071379261851
0.1,0,SimpleMean,6.261869349877169,1.8862358293289112
0.1,0,"KNN(k=5,dist)",3.5054206264159573,1.3047519981913704
0.1,1,SimpleMean,7.567975732462948,2.040661436830041
0.1,1,"KNN(k=5,dist)",4.146937066483891,1.4262709853792708
0.1,2,SimpleMean,6.856387901754468,1.9300998664483056
0.1,2,"KNN(k=5,dist)",3.615597288377959,1.3328699693765071
0.1,3,SimpleMean,8.999764541204609,2.1364681866690867
0.1,3,"KNN(k=5,dist)",4.787977316486127,1.4970813716098763
0.1,4,SimpleMean,7.288587705404991,2.02258276116153
0.1,4,"KNN(k=5,dist)",3.7385592410670654,1.3769849561225374
0.1,5,SimpleMean,7.775049969874198,2.0874780722870176
0.1,5,"KNN(k=5,dist)",3.473166432544766,1.324268556721225
0.1,6,SimpleMean,8.90058422359612,2.194235835898728
0.1,6,"KNN(k=5,dist)",5.018970014441397,1.487217024509912
0.1,7,SimpleMean,9.463751862045124,2.244493998722149
0.1,7,"KNN(k=5,dist)",4.615192342275872,1.4751095422534009
0.1,8,SimpleMean,8.515561863698753,2.1738552437627168
0.1,8,"KNN(k=5,dist)",4.744113942293103,1.4854203540034785
0.1,9,SimpleMean,9.363406621681346,2.220878881973825
0.1,9,"KNN(k=5,dist)",4.629062918522016,1.3807778189686462
0.2,0,SimpleMean,8.572791702073749,2.1190863756215577
0.2,0,"KNN(k=5,dist)",5.015136313077312,1.5006319840502846
0.2,1,SimpleMean,8.749127047644214,2.161696897819838
0.2,1,"KNN(k=5,dist)",5.036514731619167,1.4978129391078467
0.2,2,SimpleMean,7.705127264046628,2.050676926001583
0.2,2,"KNN(k=5,dist)",4.53078591720917,1.430424777666773
0.2,3,SimpleMean,8.155573151963893,2.0811698034050607
0.2,3,"KNN(k=5,dist)",4.382221859298109,1.444068530095596
0.2,4,SimpleMean,7.903342308323106,2.062278508479925
0.2,4,"KNN(k=5,dist)",4.921128820971925,1.493865982580116
0.2,5,SimpleMean,7.321875027595321,2.0131524184935743
0.2,5,"KNN(k=5,dist)",4.060857807459134,1.3842498800461047
0.2,6,SimpleMean,7.615648679503825,2.030906613647439
0.2,6,"KNN(k=5,dist)",4.09877003374301,1.4125188022123174
0.2,7,SimpleMean,7.377521144529882,1.9662995544234727
0.2,7,"KNN(k=5,dist)",4.415797532634783,1.4153212001356412
0.2,8,SimpleMean,7.697597998828232,2.029002747100628
0.2,8,"KNN(k=5,dist)",4.3633276448283445,1.41140760391082
0.2,9,SimpleMean,6.893295811614395,1.9819149116832973
0.2,9,"KNN(k=5,dist)",3.999192138953852,1.3702725005989156
0.3,0,SimpleMean,7.763416325482536,2.067558546071803
0.3,0,"KNN(k=5,dist)",4.316248894433936,1.441629774040042
0.3,1,SimpleMean,7.840543658588155,2.065816242452684
0.3,1,"KNN(k=5,dist)",4.360492875453844,1.4079360537841767
0.3,2,SimpleMean,7.991415895514697,2.046129812650519
0.3,2,"KNN(k=5,dist)",5.119794237093233,1.46118224155092
0.3,3,SimpleMean,7.738791950225338,2.055787401393476
0.3,3,"KNN(k=5,dist)",4.380074459686376,1.4584607910265484
0.3,4,SimpleMean,8.016945361589814,2.0697662031438666
0.3,4,"KNN(k=5,dist)",5.186828874213439,1.5388357204101446
0.3,5,SimpleMean,7.604561063015713,2.00586368729744
0.3,5,"KNN(k=5,dist)",4.299571688134021,1.3914859894168192
0.3,6,SimpleMean,7.756053705901787,2.025065769534362
0.3,6,"KNN(k=5,dist)",4.422514437470161,1.4409814624907515
0.3,7,SimpleMean,8.20268754021152,2.082026569567404
0.3,7,"KNN(k=5,dist)",4.973406828267499,1.4868008156526789
0.3,8,SimpleMean,7.949800781473984,2.044742280808003
0.3,8,"KNN(k=5,dist)",4.429740835802858,1.4380257948535018
0.3,9,SimpleMean,7.860135844959972,2.040793918747497
0.3,9,"KNN(k=5,dist)",4.570631421013616,1.437445291424139
