missing_rate,replicate,imputer,rmse,mae
0.05,0,RFECA_SVR(k=20),7.9303526374699995,2.11481293289459
0.05,1,RFECA_SVR(k=20),8.88114376963395,2.190525428651383
0.05,2,RFECA_SVR(k=20),7.458009735119535,2.0815212160187473
0.05,3,RFECA_SVR(k=20),8.491443048432487,2.2116560874046676
0.05,4,RFECA_SVR(k=20),7.4107471059616685,2.097214710058412
0.05,5,RFECA_SVR(k=20),5.7335705977360565,1.8310175230385546
0.05,6,RFECA_SVR(k=20),7.612436278012083,2.0212334779512764
0.05,7,RFECA_SVR(k=20),6.037220847827902,1.8404948997826243
0.05,8,RFECA_SVR(k=20),9.64140564068877,2.2018677432324187
0.05,9,RFECA_SVR(k=20),7.927590345177383,2.0867441825713753
0.1,0,RFECA_SVR(k=20),6.857655888831897,1.9735069021699387
0.1,1,RFECA_SVR(k=20),8.227114254725507,2.1241075700273324
0.1,2,RFECA_SVR(k=20),7.34943579139086,1.9814955175039828
0.1,3,RFECA_SVR(k=20),9.068836460236021,2.1540449548446827
0.1,4,RFECA_SVR(k=20),7.8752625760006385,2.098258572362086
0.1,5,RFECA_SVR(k=20),8.27948009107171,2.127613142713927
0.1,6,RFECA_SVR(k=20),9.549693935887781,2.26384580228943
0.1,7,RFECA_SVR(k=20),9.955495564587846,2.300439938482399
0.1,8,RFECA_SVR(k=20),8.773814914437484,2.207704218073815
0.1,9,RFECA_SVR(k=20),9.876570276762662,2.299798012752936
0.2,0,RFECA_SVR(k=20),9.005488853649876,2.189822404849462
0.2,1,RFECA_SVR(k=20),9.247836197210429,2.2106002999779895
0.2,2,RFECA_SVR(k=20),8.175839157571732,2.1224311450088273
0.2,3,RFECA_SVR(k=20),8.968790306409467,2.1900359751386493
0.2,4,RFECA_SVR(k=20),8.595197168682398,2.1572821424986786
0.2,5,RFECA_SVR(k=20),7.745581829275021,2.086614729378032
0.2,6,RFECA_SVR(k=20),8.078874778729391,2.091848311212149
0.2,7,RFECA_SVR(k=20),7.917971592977743,2.0425498841107723
0.2,8,RFECA_SVR(k=20),8.331755147099937,2.1313473399426255
0.2,9,RFECA_SVR(k=20),7.4536487853040665,2.0545553271318235
0.3,0,RFECA_SVR(k=20),8.622319942260194,2.1740926553837325
0.3,1,RFECA_SVR(k=20),8.385863396877536,2.138065159622621
0.3,2,RFECA_SVR(k=20),8.538006218000614,2.142712287665895
0.3,3,RFECA_SVR(k=20),8.32057937928997,2.140311545007207
0.3,4,RFECA_SVR(k=20),8.536269830004375,2.147028791101416
0.3,5,RFECA_SVR(k=20),8.413711597908534,2.115293936836105
0.3,6,RFECA_SVR(k=20),8.374669746096247,2.1018239309316766
0.3,7,RFECA_SVR(k=20),8.67964723054303,2.1527282911859693
0.3,8,RFECA_SVR(k=20),8.530088939849367,2.128627079277913
0.3,9,RFECA_SVR(k=20),8.525844511432252,2.1266659097367775
