imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n,f1_pm_std,bal_pm_std
RFECA_SVR(k=20),0.0,EnsembleSoft,0.9419927536231885,0.0,0.9333333333333332,0.0,10,0.9420 ± 0.0000,0.9333 ± 0.0000
RFECA_SVR(k=20),0.0,SVC,0.9319400527009222,0.0,0.925,0.0,10,0.9319 ± 0.0000,0.9250 ± 0.0000
RFECA_SVR(k=20),0.0,EnsembleHard,0.9274472990777338,0.0,0.925,0.0,10,0.9274 ± 0.0000,0.9250 ± 0.0000
RFECA_SVR(k=20),0.0,RF,0.9152733860342556,0.0,0.9083333333333334,0.0,10,0.9153 ± 0.0000,0.9083 ± 0.0000
RFECA_SVR(k=20),0.0,LogReg,0.9149559257167953,0.0,0.9079545454545453,0.0,10,0.9150 ± 0.0000,0.9080 ± 0.0000
RFECA_SVR(k=20),0.0,GB,0.8042421210029905,0.0,0.7833333333333333,0.0,10,0.8042 ± 0.0000,0.7833 ± 0.0000
RFECA_SVR(k=20),0.05,SVC,0.9320353660831922,0.010637465501276104,0.9216666666666666,0.011076334465209413,10,0.9320 ± 0.0106,0.9217 ± 0.0111
RFECA_SVR(k=20),0.05,EnsembleSoft,0.9313014649601605,0.018104100719947232,0.9215530303030303,0.019331340009439476,10,0.9313 ± 0.0181,0.9216 ± 0.0193
RFECA_SVR(k=20),0.05,EnsembleHard,0.9295265270960924,0.015616265955122333,0.9195833333333333,0.018220401331786273,10,0.9295 ± 0.0156,0.9196 ± 0.0182
RFECA_SVR(k=20),0.05,LogReg,0.9152710646841081,0.013354576006457399,0.9092424242424242,0.01235594474220409,10,0.9153 ± 0.0134,0.9092 ± 0.0124
RFECA_SVR(k=20),0.05,RF,0.9100608485717181,0.013733797093508958,0.9034848484848486,0.012413356485775077,10,0.9101 ± 0.0137,0.9035 ± 0.0124
RFECA_SVR(k=20),0.05,GB,0.805058397801876,0.03058635367476871,0.793590909090909,0.03346279191902583,10,0.8051 ± 0.0306,0.7936 ± 0.0335
RFECA_SVR(k=20),0.1,SVC,0.9309345096932053,0.014277615070226962,0.91875,0.01657963386987963,10,0.9309 ± 0.0143,0.9187 ± 0.0166
RFECA_SVR(k=20),0.1,EnsembleHard,0.9290315515402472,0.014873895184246096,0.9170833333333333,0.01706130015452992,10,0.9290 ± 0.0149,0.9171 ± 0.0171
RFECA_SVR(k=20),0.1,LogReg,0.9181221688939081,0.01605929137891295,0.9121590909090909,0.01687716210306094,10,0.9181 ± 0.0161,0.9122 ± 0.0169
RFECA_SVR(k=20),0.1,EnsembleSoft,0.9122539337474119,0.015686108202054613,0.9027272727272727,0.018043455011390937,10,0.9123 ± 0.0157,0.9027 ± 0.0180
RFECA_SVR(k=20),0.1,RF,0.9007413931479148,0.01586607785678158,0.8933712121212121,0.019568059449451912,10,0.9007 ± 0.0159,0.8934 ± 0.0196
RFECA_SVR(k=20),0.1,GB,0.7807402251532686,0.038027211501992834,0.7732121212121211,0.03676407255616841,10,0.7807 ± 0.0380,0.7732 ± 0.0368
RFECA_SVR(k=20),0.2,SVC,0.9143810115005767,0.02743416906744451,0.8982954545454545,0.031190830116866842,10,0.9144 ± 0.0274,0.8983 ± 0.0312
RFECA_SVR(k=20),0.2,EnsembleHard,0.9129690512386164,0.020773228986067142,0.8982954545454545,0.02417146205971573,10,0.9130 ± 0.0208,0.8983 ± 0.0242
RFECA_SVR(k=20),0.2,LogReg,0.9023962069331635,0.02321864448433071,0.8934848484848483,0.021859703756025455,10,0.9024 ± 0.0232,0.8935 ± 0.0219
RFECA_SVR(k=20),0.2,EnsembleSoft,0.8998473951169604,0.01223802191062242,0.8907196969696969,0.01335193691819282,10,0.8998 ± 0.0122,0.8907 ± 0.0134
RFECA_SVR(k=20),0.2,RF,0.8802953959084393,0.011622661859902185,0.8728030303030303,0.013385982294458339,10,0.8803 ± 0.0116,0.8728 ± 0.0134
RFECA_SVR(k=20),0.2,GB,0.7514444579575014,0.065279436008161,0.7487424242424242,0.05782886947785883,10,0.7514 ± 0.0653,0.7487 ± 0.0578
RFECA_SVR(k=20),0.3,EnsembleHard,0.8867761052956705,0.0310182690712167,0.872840909090909,0.032290194803388364,10,0.8868 ± 0.0310,0.8728 ± 0.0323
RFECA_SVR(k=20),0.3,SVC,0.8843609266379131,0.026371556220177287,0.866090909090909,0.025954564618743126,10,0.8844 ± 0.0264,0.8661 ± 0.0260
RFECA_SVR(k=20),0.3,LogReg,0.8794559177537439,0.03622155476063885,0.875121212121212,0.03693661930288107,10,0.8795 ± 0.0362,0.8751 ± 0.0369
RFECA_SVR(k=20),0.3,EnsembleSoft,0.8790495873691526,0.04125649769489277,0.869810606060606,0.04328876899579506,10,0.8790 ± 0.0413,0.8698 ± 0.0433
RFECA_SVR(k=20),0.3,RF,0.8638338193207759,0.013675984034993411,0.856401515151515,0.01558558568271851,10,0.8638 ± 0.0137,0.8564 ± 0.0156
RFECA_SVR(k=20),0.3,GB,0.7276074998409332,0.05631471576286095,0.7295833333333334,0.05036501102731995,10,0.7276 ± 0.0563,0.7296 ± 0.0504
