stage,imputer,missing_rate,replicate,fold,rmse,mae,n_masked_test_values,n_train,n_test,degenerate_constant_preds,seed
imputation,SimpleMean,0.1,0,1,1.062060288310761,0.7496357202967853,2673,1072,536,False,1052
imputation,SimpleMean,0.1,0,2,1.0712062046900621,0.7492643160595159,2692,1072,536,False,1052
imputation,SimpleMean,0.1,0,3,1.0572304919572038,0.756127053553829,2673,1072,536,False,1052
imputation,"KNN(k=5,dist)",0.1,0,1,0.7057338744662748,0.48106412207152904,2673,1072,536,False,1052
imputation,"KNN(k=5,dist)",0.1,0,2,0.6551500830144346,0.4500892543014299,2692,1072,536,False,1052
imputation,"KNN(k=5,dist)",0.1,0,3,0.7072996618517271,0.4759993597631689,2673,1072,536,False,1052
imputation,RFECA_SVR(k=5),0.1,0,1,0.7183995434361625,0.47301448438271204,2673,1072,536,False,1052
imputation,RFECA_SVR(k=5),0.1,0,2,0.6726602816873318,0.45295386016001893,2692,1072,536,False,1052
imputation,RFECA_SVR(k=5),0.1,0,3,0.7022862632790233,0.463673143887511,2673,1072,536,False,1052
imputation,SimpleMean,0.1,1,1,1.0937624820257847,0.7571505823281435,2649,1072,536,False,1053
imputation,SimpleMean,0.1,1,2,1.0381773315049696,0.7264063311207136,2538,1072,536,False,1053
imputation,SimpleMean,0.1,1,3,1.1022882051444092,0.7834064494169197,2670,1072,536,False,1053
imputation,"KNN(k=5,dist)",0.1,1,1,0.7305251461965994,0.4883935103152413,2649,1072,536,False,1053
imputation,"KNN(k=5,dist)",0.1,1,2,0.6545121490768401,0.45950369191034507,2538,1072,536,False,1053
imputation,"KNN(k=5,dist)",0.1,1,3,0.7209888733053396,0.4867221025443541,2670,1072,536,False,1053
imputation,RFECA_SVR(k=5),0.1,1,1,0.7475169055529467,0.4869145188149948,2649,1072,536,False,1053
imputation,RFECA_SVR(k=5),0.1,1,2,0.6522761863330737,0.44254659047635914,2538,1072,536,False,1053
imputation,RFECA_SVR(k=5),0.1,1,3,0.7399210318186643,0.4911281974611693,2670,1072,536,False,1053
