stage,imputer,missing_rate,replicate,fold,n_train,n_test,train_test_overlap,imputer_object_id,correlation_source,has_corr_csv_path
imputation,SimpleMean,0.1,0,1,1072,536,0,2827114654736,n/a,False
imputation,SimpleMean,0.1,0,2,1072,536,0,2827114652176,n/a,False
imputation,SimpleMean,0.1,0,3,1072,536,0,2827095217584,n/a,False
imputation,"KNN(k=5,dist)",0.1,0,1,1072,536,0,2827114655056,n/a,False
imputation,"KNN(k=5,dist)",0.1,0,2,1072,536,0,2827114655376,n/a,False
imputation,"KNN(k=5,dist)",0.1,0,3,1072,536,0,2827114426624,n/a,False
imputation,RFECA_SVR(k=5),0.1,0,1,1072,536,0,2827114656336,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.1,0,2,1072,536,0,2827114657296,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.1,0,3,1072,536,0,2827114426928,training_fold_X.corr(),False
classification,SimpleMean,0.1,0,1,1072,536,0,2827115187552,n/a,False
classification,SimpleMean,0.1,0,2,1072,536,0,2827115188432,n/a,False
classification,SimpleMean,0.1,0,3,1072,536,0,2827115189840,n/a,False
classification,"KNN(k=5,dist)",0.1,0,1,1072,536,0,2827114427536,n/a,False
classification,"KNN(k=5,dist)",0.1,0,2,1072,536,0,2827115367312,n/a,False
classification,"KNN(k=5,dist)",0.1,0,3,1072,536,0,2827115258448,n/a,False
classification,RFECA_SVR(k=5),0.1,0,1,1072,536,0,2827116142080,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.1,0,2,1072,536,0,2827115370768,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.1,0,3,1072,536,0,2827115258992,training_fold_X.corr(),False
imputation,SimpleMean,0.1,1,1,1072,536,0,2827115191072,n/a,False
imputation,SimpleMean,0.1,1,2,1072,536,0,2827115189488,n/a,False
imputation,SimpleMean,0.1,1,3,1072,536,0,2827115190896,n/a,False
imputation,"KNN(k=5,dist)",0.1,1,1,1072,536,0,2827115259264,n/a,False
imputation,"KNN(k=5,dist)",0.1,1,2,1072,536,0,2827114837072,n/a,False
imputation,"KNN(k=5,dist)",0.1,1,3,1072,536,0,2827114838608,n/a,False
imputation,RFECA_SVR(k=5),0.1,1,1,1072,536,0,2827115260080,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.1,1,2,1072,536,0,2827114839120,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.1,1,3,1072,536,0,2827167794000,training_fold_X.corr(),False
classification,SimpleMean,0.1,1,1,1072,536,0,2827115191600,n/a,False
classification,SimpleMean,0.1,1,2,1072,536,0,2827115187904,n/a,False
classification,SimpleMean,0.1,1,3,1072,536,0,2827115191424,n/a,False
classification,"KNN(k=5,dist)",0.1,1,1,1072,536,0,2827115589664,n/a,False
classification,"KNN(k=5,dist)",0.1,1,2,1072,536,0,2827115587984,n/a,False
classification,"KNN(k=5,dist)",0.1,1,3,1072,536,0,2827187346064,n/a,False
classification,RFECA_SVR(k=5),0.1,1,1,1072,536,0,2827115584624,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.1,1,2,1072,536,0,2827115578864,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.1,1,3,1072,536,0,2827188373776,training_fold_X.corr(),False
