,ACTR3B,ANLN,BAG1,BCL2,BIRC5,BLVRA,CCNB1,CCNE1,CDC20,CDC6,NUF2,CDH3,CENPF,CEP55,CXXC5,EGFR,ERBB2,ESR1,EXO1,FGFR4,FOXA1,FOXC1,GPR160,GRB7,KIF2C,NDC80,KRT14,KRT17,KRT5,MAPT,MDM2,MELK,MIA,MKI67,MLPH,MMP11,MYBL2,MYC,NAT1,ORC6,PGR,PHGDH,PTTG1,RRM2,SFRP1,SLC39A6,TMEM45B,TYMS,UBE2C,UBE2T
ACTR3B,1.0,0.24584408514428324,-0.10706922832842358,-0.18428563743696938,0.23274152699921344,-0.24253224032084025,0.28340888541980636,0.3823593009683728,0.3709070255347017,0.07703766744396894,0.33827510531953947,0.34780969732326356,0.27477746191551156,0.29569360515260773,-0.3634666932178288,0.2288157395192989,-0.19665417462235688,-0.387749340728036,0.31550601622081176,-0.027297505605193867,-0.6413914303941352,0.5690525982160533,-0.5352189623482346,-0.15774092009248675,0.3699737098999968,0.4272734336116856,0.07961930053698463,0.16898011158302736,0.29660427299829684,-0.4064278474213376,-0.22010519494644518,0.3217113156489007,0.11669443555210224,0.26629206489815943,-0.5658542980442797,-0.3493556393336802,0.28777552461465183,0.25381067793575635,-0.3957329077187271,0.28188852568260087,-0.39498447269575243,0.4744794260930728,0.32334486818047,0.20546325582927907,0.3749774642658431,-0.32627710957113304,-0.4039478762822961,0.5105470331207579,0.314407304051171,0.3287310274102819
ANLN,0.24584408514428324,1.0,-0.29759412357456944,-0.569418195010349,0.7532087685534672,0.031166992153837367,0.7545034686797824,0.6978870858712891,0.805713736406745,0.5815666378447103,0.7765126961350445,0.4313595548185041,0.8251945413137949,0.8439292057264713,-0.2089133412020049,0.21349172002574723,0.06761731154243747,-0.5723456720306068,0.832672420605337,0.15495762066077862,-0.43799723014192826,0.31894400806098877,-0.3904989295699718,0.11792248211968866,0.8099154034295492,0.7790517858536475,-0.041870625351198225,0.07942990492038947,0.22039773732553455,-0.5917245894623006,-0.23908380614782224,0.8245512468314089,-0.024551450707284102,0.8172482038921567,-0.5449709443946815,0.051544689238508495,0.7449857200811926,0.198847850901048,-0.46631645957919354,0.7074874987206049,-0.5442980100692624,0.2650294553088207,0.8364737015327104,0.8200650934973539,0.04918030035354598,-0.3620092895595999,-0.21900064486610898,0.49850570871960037,0.8150694539351497,0.7581500283131722
BAG1,-0.10706922832842358,-0.29759412357456944,1.0,0.3805124542422572,-0.2320895073459591,0.0796688505677374,-0.18859307394145852,-0.3281947685388032,-0.28372319541420504,-0.21876066594519694,-0.2593315914010955,-0.3181212151027392,-0.2666203184751791,-0.2675028436726081,0.21231707410957545,-0.2784711989613644,-0.1249233562399956,0.3203431619322816,-0.30082756803928884,-0.2737578045979219,0.19678920437240013,-0.08470711484925558,0.029679820509013428,-0.1171428344411785,-0.292146628573192,-0.2802098392941761,-0.10942560949895692,-0.028499576484389288,-0.22873464267205937,0.1971292887054427,0.10953390339584226,-0.25279856119786365,0.2382331545343749,-0.2751743374375582,0.2880966781741067,0.012396074921049044,-0.2861351063766785,-0.0077681462713379435,0.3797924719618728,-0.3184595295298026,0.29321439570832347,-0.18614518778135386,-0.2263724221356439,-0.27239230326440034,-0.048789995648650705,0.3439094121090109,-0.01848218868993461,-0.13010029360840644,-0.2665720086980788,-0.20348814989275613
BCL2,-0.18428563743696938,-0.569418195010349,0.3805124542422572,1.0,-0.3853482541443143,0.10226874176811468,-0.39367022400911206,-0.5769083584682022,-0.5200290439567063,-0.317137854635655,-0.37175143364822366,-0.49155958662008337,-0.32441347889094535,-0.44632613950362066,0.45680328424958383,-0.4264000362876373,-0.0865606857335694,0.7684864494808993,-0.4976584231729388,-0.35262018110691395,0.48046992910219094,-0.35974238443874307,0.39802144704031406,-0.12078809035463968,-0.48694016983366273,-0.42205135507557695,-0.10160377230069312,-0.17734657159716835,-0.3026296196749687,0.652563370423821,0.46500832318263663,-0.48143721680464313,0.1843972226754475,-0.3754754274834471,0.4751976002920693,-0.09088038529940537,-0.4874996510580678,0.043262665275222476,0.5303984451792274,-0.49526341695339426,0.6648099098847781,-0.4036683432603641,-0.4656416119179472,-0.4823827639725994,-0.17958423686930688,0.677600398972433,-0.07667490428526579,-0.24602884908125858,-0.4723635636386009,-0.3389495341274197
BIRC5,0.23274152699921344,0.7532087685534672,-0.2320895073459591,-0.3853482541443143,1.0,0.07053583113987878,0.7870998883189645,0.6462345960995127,0.8244092562190207,0.5832655086349464,0.7739731209685983,0.23497928087418532,0.7870282632628912,0.8551226555632248,-0.040335314613229596,-0.063826719241228,0.04823371257955966,-0.34021852063337255,0.8163473534463774,0.1286706453796191,-0.37816578421257796,0.13535979380642543,-0.2898629479361386,0.08789493072984203,0.8556617435732384,0.775920392470981,-0.12806141863271478,-0.0662081893488522,-0.006906592604954081,-0.4475644048884892,-0.17858915459611316,0.8348502372430756,0.13650661402534758,0.8345967017703275,-0.4284682340632097,-0.11393367493195042,0.8698356384551411,0.2846186809558944,-0.45338672074895553,0.7221336161450982,-0.5338240369282464,0.2612008504153641,0.8655357146900187,0.8369525670729111,-0.1828191254126324,-0.18729204727361412,-0.33140057805099576,0.5148899156235683,0.904884173542887,0.7840499629245125
BLVRA,-0.24253224032084025,0.031166992153837367,0.0796688505677374,0.10226874176811468,0.07053583113987878,1.0,0.046789109789530325,-0.10066812081158495,-0.02304880993039312,0.12200576007211648,-0.01870445491366897,-0.11072329649117264,-0.014944212505595883,-0.03949709646766682,0.26424530459436973,-0.21929964765179874,0.14770765919564724,0.1632298623316442,0.04956965630661071,-0.05298700220891936,0.32551670729681215,-0.33868436113932704,0.1807242767911824,0.10961248615160495,-0.03855009396929941,-0.06540782892525021,-0.16475337923126884,-0.15194731878236478,-0.11594468545938168,0.1090100202306893,0.04830384293524256,-0.06182486104334717,-0.01899660927427444,-0.05120496970499343,0.3268830728138276,0.23602045660643978,0.08390331038044395,-0.2228493092310656,0.25620142699781423,0.015693211445643906,0.25164972346593417,-0.056909981079841965,0.01796441183546117,0.08700059748383043,-0.2896101206612824,0.2782715148771956,0.1755439556133611,-0.17409305474445647,0.0674499543126054,0.04837241027422335
CCNB1,0.28340888541980636,0.7545034686797824,-0.18859307394145852,-0.39367022400911206,0.7870998883189645,0.046789109789530325,1.0,0.6328993835742523,0.8130982959576724,0.5292580191428288,0.7683904681095667,0.3021243219820271,0.7831834212788419,0.7850707371742396,-0.10243052202894311,0.02837857649685976,-0.029097247925076383,-0.41270927204030633,0.7970699349230052,0.09379200236332913,-0.40706616708119336,0.20419481862229721,-0.40279222863295683,0.0028281669002003223,0.795657562710747,0.7785140144366028,-0.1015174044132387,-0.014958161566357608,0.10085846605389623,-0.4111004895186013,-0.18881011681933854,0.7892692937528656,-0.0018678480848717217,0.769643553825195,-0.5131158997865054,0.010739814810658058,0.7614101887033188,0.21591190731140023,-0.34936776498770683,0.6524956695712771,-0.44179691340043936,0.2805367820712387,0.8390506449098297,0.767044649754212,-0.08445740808572991,-0.2294066569172049,-0.3243667057229615,0.5450335485950544,0.8075036908469357,0.7997681913816281
CCNE1,0.3823593009683728,0.6978870858712891,-0.3281947685388032,-0.5769083584682022,0.6462345960995127,-0.10066812081158495,0.6328993835742523,1.0,0.7353468427578408,0.43678114734869716,0.6661883712084725,0.6023850863293696,0.6694337911903829,0.7049035227955966,-0.3247210616697055,0.34400170994687546,-0.016911399073639737,-0.6480910431239917,0.6784985506429392,0.21727517431173213,-0.6590950885542262,0.4846325479161238,-0.5891169933819435,0.033197976052975635,0.726692393649282,0.7162925809956846,0.020991744107782387,0.18458382288368275,0.3733066389619911,-0.7075752701274002,-0.3185403735228633,0.7247279834490815,0.0035733619137749252,0.6531996507044965,-0.6842959703208432,0.016671790595185105,0.7148255620528657,0.3187897968404321,-0.6212753431974374,0.6530121281585567,-0.6773273977274726,0.4357325347211905,0.7083432801499358,0.6731846776398301,0.15261559971785335,-0.5425426738840888,-0.3311576740826257,0.5893981916814094,0.7001994112979976,0.5992326641780007
CDC20,0.3709070255347017,0.805713736406745,-0.28372319541420504,-0.5200290439567063,0.8244092562190207,-0.02304880993039312,0.8130982959576724,0.7353468427578408,1.0,0.535565494377992,0.777370457398063,0.4701895115483689,0.7615636312555825,0.8325725415941381,-0.20784704044408991,0.17856300654514656,-0.010654456565847644,-0.5440426536729172,0.7934820371762725,0.19178235477921482,-0.5155639047926562,0.32514560328311753,-0.4820283671754587,0.031163416115260495,0.9324308980331547,0.822988037962591,0.028419282135429384,0.0914429283345451,0.22183609207369495,-0.520402630130549,-0.3360375729669206,0.8513758423175231,0.10837841927665745,0.8403155711734007,-0.5818865727945104,0.01988923026725393,0.8615113039412906,0.28718735833734277,-0.5057739585240272,0.7499521505674551,-0.5395599349462017,0.4261374902789698,0.8611269493169565,0.7981154169376261,0.014331450647382844,-0.4309885406367661,-0.3074715705303608,0.561023731982511,0.8871755472678181,0.7430186146139057
CDC6,0.07703766744396894,0.5815666378447103,-0.21876066594519694,-0.317137854635655,0.5832655086349464,0.12200576007211648,0.5292580191428288,0.43678114734869716,0.535565494377992,1.0,0.5700248839330448,0.20110743069586054,0.6331320896007381,0.6324833596878264,0.031114656755325522,-0.08931328271543947,0.3724083054839887,-0.17451435034532592,0.6294580893926468,0.048280364198234296,-0.17881879208715884,0.02818821771845385,-0.09113815668319915,0.34739765940626716,0.6249413078311448,0.5447392915845964,-0.12738642996115576,-0.0028261617561456624,0.03688313011413658,-0.3422819675350677,-0.18144233995178158,0.6540486262088342,-0.06784876806464527,0.6204355762512721,-0.24394068640335176,-0.0009266208122506909,0.5997934609715874,0.12018031137720765,-0.34113766340644497,0.5154699100516984,-0.32511491558368766,0.1347434604909964,0.6283183083428285,0.6159531574310776,-0.11806672328513479,-0.1123752567715231,-0.14616497270556975,0.3136042117288938,0.5880883372631708,0.578252187502929
