imputer,missing_rate,replicate,fold,rmse,mae,n_masked_test_values
SimpleMean,0.0,0,1,,,0
SimpleMean,0.0,0,2,,,0
SimpleMean,0.0,0,3,,,0
SimpleMean,0.0,0,4,,,0
SimpleMean,0.0,0,5,,,0
"KNN(k=5,dist)",0.0,0,1,,,0
"KNN(k=5,dist)",0.0,0,2,,,0
"KNN(k=5,dist)",0.0,0,3,,,0
"KNN(k=5,dist)",0.0,0,4,,,0
"KNN(k=5,dist)",0.0,0,5,,,0
RFECA_SVR(k=5),0.0,0,1,,,0
RFECA_SVR(k=5),0.0,0,2,,,0
RFECA_SVR(k=5),0.0,0,3,,,0
RFECA_SVR(k=5),0.0,0,4,,,0
RFECA_SVR(k=5),0.0,0,5,,,0
RFECA_SVR(k=10),0.0,0,1,,,0
RFECA_SVR(k=10),0.0,0,2,,,0
RFECA_SVR(k=10),0.0,0,3,,,0
RFECA_SVR(k=10),0.0,0,4,,,0
RFECA_SVR(k=10),0.0,0,5,,,0
RFECA_SVR(k=20),0.0,0,1,,,0
RFECA_SVR(k=20),0.0,0,2,,,0
RFECA_SVR(k=20),0.0,0,3,,,0
RFECA_SVR(k=20),0.0,0,4,,,0
RFECA_SVR(k=20),0.0,0,5,,,0
SimpleMean,0.0,1,1,,,0
SimpleMean,0.0,1,2,,,0
SimpleMean,0.0,1,3,,,0
SimpleMean,0.0,1,4,,,0
SimpleMean,0.0,1,5,,,0
"KNN(k=5,dist)",0.0,1,1,,,0
"KNN(k=5,dist)",0.0,1,2,,,0
"KNN(k=5,dist)",0.0,1,3,,,0
"KNN(k=5,dist)",0.0,1,4,,,0
"KNN(k=5,dist)",0.0,1,5,,,0
RFECA_SVR(k=5),0.0,1,1,,,0
RFECA_SVR(k=5),0.0,1,2,,,0
RFECA_SVR(k=5),0.0,1,3,,,0
RFECA_SVR(k=5),0.0,1,4,,,0
RFECA_SVR(k=5),0.0,1,5,,,0
RFECA_SVR(k=10),0.0,1,1,,,0
RFECA_SVR(k=10),0.0,1,2,,,0
RFECA_SVR(k=10),0.0,1,3,,,0
RFECA_SVR(k=10),0.0,1,4,,,0
RFECA_SVR(k=10),0.0,1,5,,,0
RFECA_SVR(k=20),0.0,1,1,,,0
RFECA_SVR(k=20),0.0,1,2,,,0
RFECA_SVR(k=20),0.0,1,3,,,0
RFECA_SVR(k=20),0.0,1,4,,,0
RFECA_SVR(k=20),0.0,1,5,,,0
SimpleMean,0.0,2,1,,,0
SimpleMean,0.0,2,2,,,0
SimpleMean,0.0,2,3,,,0
SimpleMean,0.0,2,4,,,0
SimpleMean,0.0,2,5,,,0
