imputer,missing_rate,replicate,rmse_mean,rmse_std,mae_mean,mae_std,folds,total_masked_test_values
SimpleMean,0.0,0,,,,,5,0
"KNN(k=5,dist)",0.0,0,,,,,5,0
RFECA_SVR(k=5),0.0,0,,,,,5,0
RFECA_SVR(k=10),0.0,0,,,,,5,0
RFECA_SVR(k=20),0.0,0,,,,,5,0
SimpleMean,0.0,1,,,,,5,0
"KNN(k=5,dist)",0.0,1,,,,,5,0
RFECA_SVR(k=5),0.0,1,,,,,5,0
RFECA_SVR(k=10),0.0,1,,,,,5,0
RFECA_SVR(k=20),0.0,1,,,,,5,0
SimpleMean,0.0,2,,,,,5,0
"KNN(k=5,dist)",0.0,2,,,,,5,0
RFECA_SVR(k=5),0.0,2,,,,,5,0
RFECA_SVR(k=10),0.0,2,,,,,5,0
RFECA_SVR(k=20),0.0,2,,,,,5,0
SimpleMean,0.0,3,,,,,5,0
"KNN(k=5,dist)",0.0,3,,,,,5,0
RFECA_SVR(k=5),0.0,3,,,,,5,0
RFECA_SVR(k=10),0.0,3,,,,,5,0
RFECA_SVR(k=20),0.0,3,,,,,5,0
SimpleMean,0.0,4,,,,,5,0
"KNN(k=5,dist)",0.0,4,,,,,5,0
RFECA_SVR(k=5),0.0,4,,,,,5,0
RFECA_SVR(k=10),0.0,4,,,,,5,0
RFECA_SVR(k=20),0.0,4,,,,,5,0
SimpleMean,0.0,5,,,,,5,0
"KNN(k=5,dist)",0.0,5,,,,,5,0
RFECA_SVR(k=5),0.0,5,,,,,5,0
RFECA_SVR(k=10),0.0,5,,,,,5,0
RFECA_SVR(k=20),0.0,5,,,,,5,0
SimpleMean,0.0,6,,,,,5,0
"KNN(k=5,dist)",0.0,6,,,,,5,0
RFECA_SVR(k=5),0.0,6,,,,,5,0
RFECA_SVR(k=10),0.0,6,,,,,5,0
RFECA_SVR(k=20),0.0,6,,,,,5,0
SimpleMean,0.0,7,,,,,5,0
"KNN(k=5,dist)",0.0,7,,,,,5,0
RFECA_SVR(k=5),0.0,7,,,,,5,0
RFECA_SVR(k=10),0.0,7,,,,,5,0
