imputer,missing_rate,f1_pm_std,bal_pm_std
"KNN(k=5,dist)",0.0,0.9420 ± 0.0000,0.9333 ± 0.0000
RFECA_SVR(k=10),0.0,0.9420 ± 0.0000,0.9333 ± 0.0000
RFECA_SVR(k=20),0.0,0.9420 ± 0.0000,0.9333 ± 0.0000
RFECA_SVR(k=5),0.0,0.9420 ± 0.0000,0.9333 ± 0.0000
SimpleMean,0.0,0.9420 ± 0.0000,0.9333 ± 0.0000
"KNN(k=5,dist)",0.05,0.9286 ± 0.0148,0.9194 ± 0.0155
RFECA_SVR(k=10),0.05,0.9322 ± 0.0167,0.9200 ± 0.0180
RFECA_SVR(k=20),0.05,0.9313 ± 0.0181,0.9216 ± 0.0193
RFECA_SVR(k=5),0.05,0.9252 ± 0.0132,0.9133 ± 0.0138
SimpleMean,0.05,0.9319 ± 0.0139,0.9195 ± 0.0139
"KNN(k=5,dist)",0.1,0.9226 ± 0.0175,0.9140 ± 0.0164
RFECA_SVR(k=10),0.1,0.9253 ± 0.0199,0.9157 ± 0.0210
RFECA_SVR(k=20),0.1,0.9123 ± 0.0157,0.9027 ± 0.0180
RFECA_SVR(k=5),0.1,0.9195 ± 0.0194,0.9082 ± 0.0229
SimpleMean,0.1,0.9259 ± 0.0195,0.9153 ± 0.0221
"KNN(k=5,dist)",0.2,0.9201 ± 0.0165,0.9153 ± 0.0180
RFECA_SVR(k=10),0.2,0.9132 ± 0.0180,0.9040 ± 0.0216
RFECA_SVR(k=20),0.2,0.8998 ± 0.0122,0.8907 ± 0.0134
RFECA_SVR(k=5),0.2,0.9204 ± 0.0178,0.9108 ± 0.0184
SimpleMean,0.2,0.9156 ± 0.0207,0.9041 ± 0.0233
"KNN(k=5,dist)",0.3,0.9138 ± 0.0306,0.9028 ± 0.0296
RFECA_SVR(k=10),0.3,0.8986 ± 0.0217,0.8855 ± 0.0219
RFECA_SVR(k=20),0.3,0.8790 ± 0.0413,0.8698 ± 0.0433
RFECA_SVR(k=5),0.3,0.8916 ± 0.0236,0.8805 ± 0.0210
SimpleMean,0.3,0.9024 ± 0.0137,0.8889 ± 0.0139
