imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n,f1_pm_std,bal_pm_std,experiment
"KNN(k=5,dist)",0.0,EnsembleSoft,0.9419927536231884,0.0,0.9333333333333332,0.0,10,0.9420 ± 0.0000,0.9333 ± 0.0000,no_scaler
"KNN(k=5,dist)",0.05,EnsembleSoft,0.928577517410126,0.0148031011206156,0.9193939393939392,0.0155480517779688,10,0.9286 ± 0.0148,0.9194 ± 0.0155,no_scaler
"KNN(k=5,dist)",0.1,EnsembleSoft,0.9225853786310309,0.0175292605635353,0.9140151515151516,0.0164219095837264,10,0.9226 ± 0.0175,0.9140 ± 0.0164,no_scaler
"KNN(k=5,dist)",0.2,EnsembleSoft,0.9200669226908356,0.0164970823847367,0.9152651515151516,0.0179772885123111,10,0.9201 ± 0.0165,0.9153 ± 0.0180,no_scaler
"KNN(k=5,dist)",0.3,EnsembleSoft,0.9137528826246216,0.0305573343551273,0.9028030303030302,0.0296156250382028,10,0.9138 ± 0.0306,0.9028 ± 0.0296,no_scaler
SimpleMean,0.0,EnsembleSoft,0.9419927536231884,0.0,0.9333333333333332,0.0,10,0.9420 ± 0.0000,0.9333 ± 0.0000,no_scaler
SimpleMean,0.05,EnsembleSoft,0.9319202961289916,0.0139321822718884,0.9195454545454546,0.0139177844503985,10,0.9319 ± 0.0139,0.9195 ± 0.0139,no_scaler
SimpleMean,0.1,EnsembleSoft,0.9258779104953018,0.0194783299555234,0.9152651515151516,0.0221230353591152,10,0.9259 ± 0.0195,0.9153 ± 0.0221,no_scaler
SimpleMean,0.2,EnsembleSoft,0.9156347823673908,0.020653586127861,0.9040530303030304,0.0233015615711898,10,0.9156 ± 0.0207,0.9041 ± 0.0233,no_scaler
SimpleMean,0.3,EnsembleSoft,0.902378817800557,0.0136673721942755,0.8888863636363634,0.0139182449172799,10,0.9024 ± 0.0137,0.8889 ± 0.0139,no_scaler
RFECA_SVR(k=5),0.0,EnsembleSoft,0.9419927536231884,0.0,0.9333333333333332,0.0,10,0.9420 ± 0.0000,0.9333 ± 0.0000,k5_scaler
RFECA_SVR(k=5),0.05,EnsembleSoft,0.925191655687308,0.0131602687411111,0.9132954545454546,0.0137625683438685,10,0.9252 ± 0.0132,0.9133 ± 0.0138,k5_scaler
RFECA_SVR(k=5),0.1,EnsembleSoft,0.9194553736118952,0.0193663802285085,0.908219696969697,0.0228532214387727,10,0.9195 ± 0.0194,0.9082 ± 0.0229,k5_scaler
RFECA_SVR(k=5),0.2,EnsembleSoft,0.9204214411192672,0.017807685511911,0.9107575757575758,0.0183547819548514,10,0.9204 ± 0.0178,0.9108 ± 0.0184,k5_scaler
RFECA_SVR(k=5),0.3,EnsembleSoft,0.8916130765369896,0.0236239577714476,0.8805151515151515,0.0210493938615965,10,0.8916 ± 0.0236,0.8805 ± 0.0210,k5_scaler
RFECA_SVR(k=10),0.0,EnsembleSoft,0.9419927536231884,0.0,0.9333333333333332,0.0,10,0.9420 ± 0.0000,0.9333 ± 0.0000,k10_scaler
RFECA_SVR(k=10),0.05,EnsembleSoft,0.9321937417654808,0.0167421917471572,0.92,0.0179806137029803,10,0.9322 ± 0.0167,0.9200 ± 0.0180,k10_scaler
RFECA_SVR(k=10),0.1,EnsembleSoft,0.9252565280130496,0.0198549636807825,0.9157196969696968,0.0210076499760096,10,0.9253 ± 0.0199,0.9157 ± 0.0210,k10_scaler
RFECA_SVR(k=10),0.2,EnsembleSoft,0.9131917247004204,0.0179576234996591,0.9039772727272728,0.0216091762172009,10,0.9132 ± 0.0180,0.9040 ± 0.0216,k10_scaler
RFECA_SVR(k=10),0.3,EnsembleSoft,0.8986317790904748,0.0217324639478304,0.8855151515151516,0.0219352685073453,10,0.8986 ± 0.0217,0.8855 ± 0.0219,k10_scaler
RFECA_SVR(k=20),0.0,EnsembleSoft,0.9419927536231884,0.0,0.9333333333333332,0.0,10,0.9420 ± 0.0000,0.9333 ± 0.0000,k20_scaler
RFECA_SVR(k=20),0.05,EnsembleSoft,0.9313014649601604,0.0181041007199472,0.9215530303030304,0.0193313400094394,10,0.9313 ± 0.0181,0.9216 ± 0.0193,k20_scaler
RFECA_SVR(k=20),0.1,EnsembleSoft,0.912253933747412,0.0156861082020546,0.9027272727272728,0.0180434550113909,10,0.9123 ± 0.0157,0.9027 ± 0.0180,k20_scaler
RFECA_SVR(k=20),0.2,EnsembleSoft,0.8998473951169604,0.0122380219106224,0.8907196969696969,0.0133519369181928,10,0.8998 ± 0.0122,0.8907 ± 0.0134,k20_scaler
RFECA_SVR(k=20),0.3,EnsembleSoft,0.8790495873691526,0.0412564976948927,0.869810606060606,0.043288768995795,10,0.8790 ± 0.0413,0.8698 ± 0.0433,k20_scaler
