experiment,imputer,missing_rate,EnsembleHard,EnsembleSoft,GB,LogReg,RF,SVC
k10_scaler,RFECA_SVR(k=10),0.0,0.9250 ± 0.0000,0.9333 ± 0.0000,0.7833 ± 0.0000,0.9080 ± 0.0000,0.9083 ± 0.0000,0.9250 ± 0.0000
k10_scaler,RFECA_SVR(k=10),0.05,0.9183 ± 0.0167,0.9200 ± 0.0180,0.7905 ± 0.0193,0.9071 ± 0.0076,0.8997 ± 0.0128,0.9212 ± 0.0072
k10_scaler,RFECA_SVR(k=10),0.1,0.9242 ± 0.0159,0.9157 ± 0.0210,0.7743 ± 0.0336,0.9218 ± 0.0118,0.8879 ± 0.0206,0.9242 ± 0.0122
k10_scaler,RFECA_SVR(k=10),0.2,0.9029 ± 0.0192,0.9040 ± 0.0216,0.7474 ± 0.0423,0.8934 ± 0.0209,0.8762 ± 0.0174,0.9154 ± 0.0215
k10_scaler,RFECA_SVR(k=10),0.3,0.8870 ± 0.0227,0.8855 ± 0.0219,0.7445 ± 0.0471,0.8822 ± 0.0239,0.8595 ± 0.0250,0.8736 ± 0.0289
k20_scaler,RFECA_SVR(k=20),0.0,0.9250 ± 0.0000,0.9333 ± 0.0000,0.7833 ± 0.0000,0.9080 ± 0.0000,0.9083 ± 0.0000,0.9250 ± 0.0000
k20_scaler,RFECA_SVR(k=20),0.05,0.9196 ± 0.0182,0.9216 ± 0.0193,0.7936 ± 0.0335,0.9092 ± 0.0124,0.9035 ± 0.0124,0.9217 ± 0.0111
k20_scaler,RFECA_SVR(k=20),0.1,0.9171 ± 0.0171,0.9027 ± 0.0180,0.7732 ± 0.0368,0.9122 ± 0.0169,0.8934 ± 0.0196,0.9187 ± 0.0166
k20_scaler,RFECA_SVR(k=20),0.2,0.8983 ± 0.0242,0.8907 ± 0.0134,0.7487 ± 0.0578,0.8935 ± 0.0219,0.8728 ± 0.0134,0.8983 ± 0.0312
k20_scaler,RFECA_SVR(k=20),0.3,0.8728 ± 0.0323,0.8698 ± 0.0433,0.7296 ± 0.0504,0.8751 ± 0.0369,0.8564 ± 0.0156,0.8661 ± 0.0260
k5_scaler,RFECA_SVR(k=5),0.0,0.9250 ± 0.0000,0.9333 ± 0.0000,0.7833 ± 0.0000,0.9080 ± 0.0000,0.9083 ± 0.0000,0.9250 ± 0.0000
k5_scaler,RFECA_SVR(k=5),0.05,0.9179 ± 0.0162,0.9133 ± 0.0138,0.7876 ± 0.0288,0.9125 ± 0.0097,0.8951 ± 0.0147,0.9229 ± 0.0120
k5_scaler,RFECA_SVR(k=5),0.1,0.9175 ± 0.0169,0.9082 ± 0.0229,0.8026 ± 0.0378,0.9188 ± 0.0169,0.8887 ± 0.0202,0.9246 ± 0.0129
k5_scaler,RFECA_SVR(k=5),0.2,0.9075 ± 0.0164,0.9108 ± 0.0184,0.7563 ± 0.0535,0.9097 ± 0.0188,0.8770 ± 0.0278,0.9108 ± 0.0142
k5_scaler,RFECA_SVR(k=5),0.3,0.8916 ± 0.0278,0.8805 ± 0.0210,0.7303 ± 0.0358,0.8989 ± 0.0225,0.8666 ± 0.0168,0.8995 ± 0.0300
no_scaler,"KNN(k=5,dist)",0.0,0.9250 ± 0.0000,0.9333 ± 0.0000,0.7833 ± 0.0000,0.9080 ± 0.0000,0.9083 ± 0.0000,0.9250 ± 0.0000
no_scaler,"KNN(k=5,dist)",0.05,0.9242 ± 0.0178,0.9194 ± 0.0155,0.7973 ± 0.0356,0.9100 ± 0.0143,0.8948 ± 0.0124,0.9258 ± 0.0111
no_scaler,"KNN(k=5,dist)",0.1,0.9166 ± 0.0153,0.9140 ± 0.0164,0.7883 ± 0.0454,0.9150 ± 0.0136,0.8970 ± 0.0166,0.9225 ± 0.0111
no_scaler,"KNN(k=5,dist)",0.2,0.9100 ± 0.0136,0.9153 ± 0.0180,0.7878 ± 0.0342,0.9134 ± 0.0135,0.8943 ± 0.0195,0.9141 ± 0.0199
no_scaler,"KNN(k=5,dist)",0.3,0.8916 ± 0.0291,0.9028 ± 0.0296,0.7435 ± 0.0384,0.9021 ± 0.0217,0.8794 ± 0.0311,0.9011 ± 0.0217
no_scaler,SimpleMean,0.0,0.9250 ± 0.0000,0.9333 ± 0.0000,0.7833 ± 0.0000,0.9080 ± 0.0000,0.9083 ± 0.0000,0.9250 ± 0.0000
no_scaler,SimpleMean,0.05,0.9246 ± 0.0149,0.9195 ± 0.0139,0.7931 ± 0.0237,0.9117 ± 0.0093,0.8856 ± 0.0138,0.9208 ± 0.0092
no_scaler,SimpleMean,0.1,0.9133 ± 0.0263,0.9153 ± 0.0221,0.7707 ± 0.0423,0.9143 ± 0.0126,0.8702 ± 0.0172,0.9154 ± 0.0182
no_scaler,SimpleMean,0.2,0.8970 ± 0.0274,0.9041 ± 0.0233,0.7712 ± 0.0515,0.9000 ± 0.0249,0.8646 ± 0.0207,0.8962 ± 0.0212
no_scaler,SimpleMean,0.3,0.8832 ± 0.0240,0.8889 ± 0.0139,0.7382 ± 0.0294,0.8994 ± 0.0255,0.8134 ± 0.0292,0.8804 ± 0.0378
