experiment,imputer,missing_rate,EnsembleHard,EnsembleSoft,GB,LogReg,RF,SVC
k10_scaler,RFECA_SVR(k=10),0.0,0.9274 ± 0.0000,0.9420 ± 0.0000,0.8042 ± 0.0000,0.9150 ± 0.0000,0.9153 ± 0.0000,0.9319 ± 0.0000
k10_scaler,RFECA_SVR(k=10),0.05,0.9308 ± 0.0159,0.9322 ± 0.0167,0.8094 ± 0.0180,0.9145 ± 0.0064,0.9064 ± 0.0153,0.9326 ± 0.0079
k10_scaler,RFECA_SVR(k=10),0.1,0.9353 ± 0.0133,0.9253 ± 0.0199,0.7865 ± 0.0358,0.9269 ± 0.0089,0.8951 ± 0.0191,0.9350 ± 0.0111
k10_scaler,RFECA_SVR(k=10),0.2,0.9163 ± 0.0150,0.9132 ± 0.0180,0.7647 ± 0.0429,0.8986 ± 0.0200,0.8829 ± 0.0163,0.9282 ± 0.0202
k10_scaler,RFECA_SVR(k=10),0.3,0.9026 ± 0.0252,0.8986 ± 0.0217,0.7532 ± 0.0536,0.8894 ± 0.0256,0.8683 ± 0.0271,0.8926 ± 0.0276
k20_scaler,RFECA_SVR(k=20),0.0,0.9274 ± 0.0000,0.9420 ± 0.0000,0.8042 ± 0.0000,0.9150 ± 0.0000,0.9153 ± 0.0000,0.9319 ± 0.0000
k20_scaler,RFECA_SVR(k=20),0.05,0.9295 ± 0.0156,0.9313 ± 0.0181,0.8051 ± 0.0306,0.9153 ± 0.0134,0.9101 ± 0.0137,0.9320 ± 0.0106
k20_scaler,RFECA_SVR(k=20),0.1,0.9290 ± 0.0149,0.9123 ± 0.0157,0.7807 ± 0.0380,0.9181 ± 0.0161,0.9007 ± 0.0159,0.9309 ± 0.0143
k20_scaler,RFECA_SVR(k=20),0.2,0.9130 ± 0.0208,0.8998 ± 0.0122,0.7514 ± 0.0653,0.9024 ± 0.0232,0.8803 ± 0.0116,0.9144 ± 0.0274
k20_scaler,RFECA_SVR(k=20),0.3,0.8868 ± 0.0310,0.8790 ± 0.0413,0.7276 ± 0.0563,0.8795 ± 0.0362,0.8638 ± 0.0137,0.8844 ± 0.0264
k5_scaler,RFECA_SVR(k=5),0.0,0.9274 ± 0.0000,0.9420 ± 0.0000,0.8042 ± 0.0000,0.9150 ± 0.0000,0.9153 ± 0.0000,0.9319 ± 0.0000
k5_scaler,RFECA_SVR(k=5),0.05,0.9296 ± 0.0157,0.9252 ± 0.0132,0.8023 ± 0.0279,0.9198 ± 0.0085,0.9024 ± 0.0160,0.9330 ± 0.0098
k5_scaler,RFECA_SVR(k=5),0.1,0.9288 ± 0.0157,0.9195 ± 0.0194,0.8177 ± 0.0399,0.9244 ± 0.0140,0.8956 ± 0.0199,0.9358 ± 0.0115
k5_scaler,RFECA_SVR(k=5),0.2,0.9212 ± 0.0147,0.9204 ± 0.0178,0.7658 ± 0.0552,0.9148 ± 0.0169,0.8821 ± 0.0272,0.9249 ± 0.0145
k5_scaler,RFECA_SVR(k=5),0.3,0.9065 ± 0.0269,0.8916 ± 0.0236,0.7362 ± 0.0381,0.9046 ± 0.0188,0.8732 ± 0.0181,0.9138 ± 0.0275
no_scaler,"KNN(k=5,dist)",0.0,0.9274 ± 0.0000,0.9420 ± 0.0000,0.8042 ± 0.0000,0.9150 ± 0.0000,0.9153 ± 0.0000,0.9319 ± 0.0000
no_scaler,"KNN(k=5,dist)",0.05,0.9345 ± 0.0153,0.9286 ± 0.0148,0.8096 ± 0.0372,0.9163 ± 0.0112,0.9019 ± 0.0116,0.9368 ± 0.0112
no_scaler,"KNN(k=5,dist)",0.1,0.9285 ± 0.0141,0.9226 ± 0.0175,0.7998 ± 0.0433,0.9198 ± 0.0136,0.9037 ± 0.0178,0.9337 ± 0.0114
no_scaler,"KNN(k=5,dist)",0.2,0.9203 ± 0.0132,0.9201 ± 0.0165,0.7981 ± 0.0318,0.9171 ± 0.0148,0.9016 ± 0.0220,0.9233 ± 0.0201
no_scaler,"KNN(k=5,dist)",0.3,0.9045 ± 0.0299,0.9138 ± 0.0306,0.7508 ± 0.0432,0.9068 ± 0.0243,0.8901 ± 0.0324,0.9118 ± 0.0234
no_scaler,SimpleMean,0.0,0.9274 ± 0.0000,0.9420 ± 0.0000,0.8042 ± 0.0000,0.9150 ± 0.0000,0.9153 ± 0.0000,0.9319 ± 0.0000
no_scaler,SimpleMean,0.05,0.9349 ± 0.0133,0.9319 ± 0.0139,0.8121 ± 0.0225,0.9176 ± 0.0091,0.8965 ± 0.0136,0.9318 ± 0.0106
no_scaler,SimpleMean,0.1,0.9275 ± 0.0250,0.9259 ± 0.0195,0.7830 ± 0.0365,0.9197 ± 0.0120,0.8857 ± 0.0180,0.9296 ± 0.0181
no_scaler,SimpleMean,0.2,0.9124 ± 0.0225,0.9156 ± 0.0207,0.7845 ± 0.0481,0.9060 ± 0.0251,0.8792 ± 0.0158,0.9120 ± 0.0222
no_scaler,SimpleMean,0.3,0.8984 ± 0.0241,0.9024 ± 0.0137,0.7458 ± 0.0337,0.9049 ± 0.0222,0.8301 ± 0.0269,0.8942 ± 0.0368
