missing_rate,model,metric,method_a,method_b,p_value,n_pairs,note
0.0,EnsembleSoft,bal_acc,"KNN(k=5,dist)",RFECA_SVR(k=10),1.0,10,Vetores idênticos
0.0,EnsembleSoft,bal_acc,"KNN(k=5,dist)",RFECA_SVR(k=20),1.0,10,Vetores idênticos
0.0,EnsembleSoft,bal_acc,"KNN(k=5,dist)",RFECA_SVR(k=5),1.0,10,Vetores idênticos
0.0,EnsembleSoft,bal_acc,"KNN(k=5,dist)",SimpleMean,1.0,10,Vetores idênticos
0.0,EnsembleSoft,bal_acc,RFECA_SVR(k=10),RFECA_SVR(k=20),1.0,10,Vetores idênticos
0.0,EnsembleSoft,bal_acc,RFECA_SVR(k=10),RFECA_SVR(k=5),1.0,10,Vetores idênticos
0.0,EnsembleSoft,bal_acc,RFECA_SVR(k=10),SimpleMean,1.0,10,Vetores idênticos
0.0,EnsembleSoft,bal_acc,RFECA_SVR(k=20),RFECA_SVR(k=5),1.0,10,Vetores idênticos
0.0,EnsembleSoft,bal_acc,RFECA_SVR(k=20),SimpleMean,1.0,10,Vetores idênticos
0.0,EnsembleSoft,bal_acc,RFECA_SVR(k=5),SimpleMean,1.0,10,Vetores idênticos
0.05,EnsembleSoft,bal_acc,"KNN(k=5,dist)",RFECA_SVR(k=5),0.31640625,10,
0.05,EnsembleSoft,bal_acc,RFECA_SVR(k=5),SimpleMean,0.3828125,10,
0.05,EnsembleSoft,bal_acc,RFECA_SVR(k=20),RFECA_SVR(k=5),0.42578125,10,
0.05,EnsembleSoft,bal_acc,RFECA_SVR(k=10),RFECA_SVR(k=5),0.4375,10,
0.05,EnsembleSoft,bal_acc,"KNN(k=5,dist)",RFECA_SVR(k=20),0.65234375,10,
0.05,EnsembleSoft,bal_acc,RFECA_SVR(k=20),SimpleMean,0.7421875,10,
0.05,EnsembleSoft,bal_acc,"KNN(k=5,dist)",RFECA_SVR(k=10),0.87890625,10,
0.05,EnsembleSoft,bal_acc,"KNN(k=5,dist)",SimpleMean,0.921875,10,
0.05,EnsembleSoft,bal_acc,RFECA_SVR(k=10),RFECA_SVR(k=20),1.0,10,
0.05,EnsembleSoft,bal_acc,RFECA_SVR(k=10),SimpleMean,1.0,10,
0.1,EnsembleSoft,bal_acc,RFECA_SVR(k=20),SimpleMean,0.0390625,10,
0.1,EnsembleSoft,bal_acc,RFECA_SVR(k=10),RFECA_SVR(k=20),0.07421875,10,
0.1,EnsembleSoft,bal_acc,"KNN(k=5,dist)",RFECA_SVR(k=20),0.203125,10,
0.1,EnsembleSoft,bal_acc,RFECA_SVR(k=10),RFECA_SVR(k=5),0.3125,10,
0.1,EnsembleSoft,bal_acc,RFECA_SVR(k=20),RFECA_SVR(k=5),0.3125,10,
0.1,EnsembleSoft,bal_acc,RFECA_SVR(k=5),SimpleMean,0.40625,10,
0.1,EnsembleSoft,bal_acc,"KNN(k=5,dist)",RFECA_SVR(k=5),0.7109375,10,
0.1,EnsembleSoft,bal_acc,RFECA_SVR(k=10),SimpleMean,0.7421875,10,
0.1,EnsembleSoft,bal_acc,"KNN(k=5,dist)",RFECA_SVR(k=10),0.84375,10,
0.1,EnsembleSoft,bal_acc,"KNN(k=5,dist)",SimpleMean,0.9375,10,
0.2,EnsembleSoft,bal_acc,"KNN(k=5,dist)",RFECA_SVR(k=20),0.00390625,10,
0.2,EnsembleSoft,bal_acc,RFECA_SVR(k=20),RFECA_SVR(k=5),0.0078125,10,
0.2,EnsembleSoft,bal_acc,"KNN(k=5,dist)",RFECA_SVR(k=10),0.05859375,10,
0.2,EnsembleSoft,bal_acc,RFECA_SVR(k=10),RFECA_SVR(k=20),0.087890625,10,
0.2,EnsembleSoft,bal_acc,RFECA_SVR(k=20),SimpleMean,0.12890625,10,
0.2,EnsembleSoft,bal_acc,"KNN(k=5,dist)",SimpleMean,0.185546875,10,
0.2,EnsembleSoft,bal_acc,RFECA_SVR(k=10),RFECA_SVR(k=5),0.25,10,
0.2,EnsembleSoft,bal_acc,"KNN(k=5,dist)",RFECA_SVR(k=5),0.33203125,10,
0.2,EnsembleSoft,bal_acc,RFECA_SVR(k=5),SimpleMean,0.375,10,
0.2,EnsembleSoft,bal_acc,RFECA_SVR(k=10),SimpleMean,1.0,10,
0.3,EnsembleSoft,bal_acc,"KNN(k=5,dist)",RFECA_SVR(k=5),0.00390625,10,
0.3,EnsembleSoft,bal_acc,"KNN(k=5,dist)",RFECA_SVR(k=20),0.03515625,10,
0.3,EnsembleSoft,bal_acc,"KNN(k=5,dist)",RFECA_SVR(k=10),0.07421875,10,
0.3,EnsembleSoft,bal_acc,RFECA_SVR(k=10),RFECA_SVR(k=20),0.07421875,10,
0.3,EnsembleSoft,bal_acc,RFECA_SVR(k=20),SimpleMean,0.185546875,10,
0.3,EnsembleSoft,bal_acc,"KNN(k=5,dist)",SimpleMean,0.232421875,10,
0.3,EnsembleSoft,bal_acc,RFECA_SVR(k=5),SimpleMean,0.34765625,10,
0.3,EnsembleSoft,bal_acc,RFECA_SVR(k=10),RFECA_SVR(k=5),0.556640625,10,
0.3,EnsembleSoft,bal_acc,RFECA_SVR(k=20),RFECA_SVR(k=5),0.5703125,10,
0.3,EnsembleSoft,bal_acc,RFECA_SVR(k=10),SimpleMean,0.6953125,10,
