imputer,missing_rate,rmse_mean,rmse_std,mae_mean,mae_std,n_rows,n_masked_total
"KNN(k=5,dist)",0.0,,,,,0,0
"KNN(k=5,dist)",0.05,2.016992315275133,0.3385771612426172,1.3827025353871933,0.18986928946435894,50,2900
"KNN(k=5,dist)",0.1,2.0850778545925936,0.24198828294511426,1.412741183156208,0.13632699893888073,50,5800
"KNN(k=5,dist)",0.2,2.0782866261679245,0.15498160307434364,1.4203747946139693,0.1027167421570866,50,11610
"KNN(k=5,dist)",0.3,2.1541714459240033,0.18523470817718685,1.4698446113759203,0.10416633915254325,50,17410
RFECA_SVR(k=10),0.0,,,,,0,0
RFECA_SVR(k=10),0.05,2.1476662234311608,0.4371038410143503,1.4475669415580643,0.2230651517236683,50,2900
RFECA_SVR(k=10),0.1,2.2506531988474365,0.325443480884091,1.5391192990033273,0.1755879502498885,50,5800
RFECA_SVR(k=10),0.2,2.322705123103224,0.1964341607453684,1.5917471830968162,0.12968843878001582,50,11610
RFECA_SVR(k=10),0.3,2.5591873431285808,0.2752534639586802,1.745940841712094,0.12058067811009383,50,17410
RFECA_SVR(k=20),0.0,,,,,0,0
RFECA_SVR(k=20),0.05,2.3880474819290534,0.40255661070223603,1.6445097704397875,0.24174641909160724,50,2900
RFECA_SVR(k=20),0.1,2.479200805224024,0.30065903475446243,1.702752972251555,0.16655873766981813,50,5800
RFECA_SVR(k=20),0.2,2.6260577692841762,0.19466491090289778,1.8188503125236566,0.13679657334975018,50,11610
RFECA_SVR(k=20),0.3,2.8257935396669747,0.2487164585082699,1.9609282923947138,0.13911869493004678,50,17410
RFECA_SVR(k=5),0.0,,,,,0,0
RFECA_SVR(k=5),0.05,2.0406309920844974,0.3614969947634649,1.364523629995219,0.19217234075426542,50,2900
RFECA_SVR(k=5),0.1,2.0960004545578665,0.293480333545736,1.4246801382444647,0.1680742072551292,50,5800
RFECA_SVR(k=5),0.2,2.1743004675557405,0.19039782949946285,1.4833563332105726,0.1137796374293688,50,11610
RFECA_SVR(k=5),0.3,2.3203500831049575,0.17381693821778385,1.5941709524660845,0.1157225396396912,50,17410
SimpleMean,0.0,,,,,0,0
SimpleMean,0.05,2.808128578589935,0.45747531470710817,2.059049512858302,0.32537391266564347,50,2900
SimpleMean,0.1,2.848308778608241,0.2895705402466878,2.0974710178606673,0.20252114331453488,50,5800
SimpleMean,0.2,2.796068910150135,0.25368886883421554,2.062941657536303,0.1992679661866726,50,11610
SimpleMean,0.3,2.785821428510163,0.21978637662732553,2.068005878024112,0.1743181348635956,50,17410
