stage,imputer,missing_rate,replicate,fold,n_train,n_test,train_test_overlap,imputer_object_id,correlation_source,has_corr_csv_path
imputation,SimpleMean,0.0,0,1,93,24,0,1864570120912,n/a,False
imputation,SimpleMean,0.0,0,2,93,24,0,1864570121232,n/a,False
imputation,SimpleMean,0.0,0,3,94,23,0,1864569860352,n/a,False
imputation,SimpleMean,0.0,0,4,94,23,0,1864569860960,n/a,False
imputation,SimpleMean,0.0,0,5,94,23,0,1864570799600,n/a,False
imputation,"KNN(k=5,dist)",0.0,0,1,93,24,0,1864570123152,n/a,False
imputation,"KNN(k=5,dist)",0.0,0,2,93,24,0,1864570121552,n/a,False
imputation,"KNN(k=5,dist)",0.0,0,3,94,23,0,1864569861264,n/a,False
imputation,"KNN(k=5,dist)",0.0,0,4,94,23,0,1864569861568,n/a,False
imputation,"KNN(k=5,dist)",0.0,0,5,94,23,0,1864570801616,n/a,False
imputation,RFECA_SVR(k=5),0.0,0,1,93,24,0,1864569861872,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,0,2,93,24,0,1864569862176,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,0,3,94,23,0,1864570801328,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,0,4,94,23,0,1864570722224,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,0,5,94,23,0,1864570722496,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,1,93,24,0,1864547628880,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,2,93,24,0,1864547630672,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,3,94,23,0,1864571060784,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,4,94,23,0,1864571061024,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,5,94,23,0,1864570986896,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,1,93,24,0,1864570987568,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,2,93,24,0,1864570987792,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,3,94,23,0,1864570988016,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,4,94,23,0,1864570988240,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,5,94,23,0,1864570988464,training_fold_X.corr(),False
classification,SimpleMean,0.0,0,1,93,24,0,1864570723040,n/a,False
