imputer,missing_rate,rmse_mean,rmse_std,mae_mean,mae_std,n_rows,n_masked_total,corr_frobenius_mean,corr_frobenius_std,corr_frobenius_rel_mean,corr_frobenius_rel_std,corr_mae_offdiag_mean,corr_mae_offdiag_std,corr_rv_mean,corr_rv_std
"KNN(k=5,dist)",0.0,,,,,0,0,2.6661900237290426e-15,4.98208666301345e-16,1.0999107879516285e-16,2.2332308064066406e-17,2.392080121001257e-17,7.736028273070595e-18,1.0,2.4570715913995763e-16
"KNN(k=5,dist)",0.05,2.016992315275133,0.3385771612426172,1.3827025353871933,0.18986928946435894,50,2900,2.215739743016472,0.34632977670218995,0.09150379928599917,0.016148198302758987,0.027961064401043033,0.005054557895649862,0.9957050645445058,0.0014980089393325613
"KNN(k=5,dist)",0.1,2.0850778545925936,0.24198828294511426,1.412741183156208,0.13632699893888073,50,5800,3.2111858705881158,0.4556452379992018,0.13277965953899323,0.022643527700101994,0.04540122435357048,0.006464255591840206,0.9910019525176054,0.0030295025618361257
"KNN(k=5,dist)",0.2,2.0782866261679245,0.15498160307434364,1.4203747946139693,0.1027167421570866,50,11610,4.759725473588201,0.502252216670391,0.1970017782169758,0.028550110537697248,0.07148389499720592,0.0074796940470195595,0.9806961092133687,0.005174859974341608
"KNN(k=5,dist)",0.3,2.1541714459240033,0.18523470817718685,1.4698446113759203,0.10416633915254325,50,17410,6.160560392717367,0.6866933927792721,0.255173003655911,0.03930250005669431,0.0938495875804872,0.010760556795216739,0.9677730567841591,0.00932208901721632
MissForest,0.0,,,,,0,0,2.6661900237290426e-15,4.98208666301345e-16,1.0999107879516285e-16,2.2332308064066406e-17,2.392080121001257e-17,7.736028273070595e-18,1.0,2.4570715913995763e-16
MissForest,0.05,1.7610788481651167,0.30196469436156986,1.1937499377740812,0.1824803186153067,50,2900,2.002798291075007,0.35760416212871743,0.08238535776140327,0.014572020253247915,0.024578295987847866,0.0044203148923465455,0.9965444435856412,0.0012047095048035045
MissForest,0.1,1.8333837943905078,0.26097475831423866,1.227643197064121,0.1436112342713984,50,5800,2.8750320026252565,0.402993872242829,0.11857277182091835,0.018280278494225345,0.03977738720370165,0.005297794071464969,0.9929716829525849,0.0021370753228325784
MissForest,0.2,1.857345837827278,0.14518249299586705,1.2359459122698115,0.08553895777517055,50,11610,4.309920392159215,0.4964181295858247,0.17811710144269302,0.02589115458091835,0.06325953272777403,0.006417928392908182,0.9847160971369706,0.004474122312207994
MissForest,0.3,1.9253434035907917,0.17781185152172915,1.2799871668453913,0.09669270927330476,50,17410,5.456514656072202,0.5476506973610524,0.22562455988466898,0.030667370588245313,0.08108729201906512,0.007520845257514586,0.97596488818435,0.00639190379229553
