imputer,missing_rate,model,subtype,metric,mean,std,n_rows
SimpleMean,0.0,EnsembleSoft,LumA,f1,0.9425863991081382,0.03262276650762664,50
SimpleMean,0.0,EnsembleSoft,LumA,precision,0.9098901098901098,0.07443183416721946,50
SimpleMean,0.0,EnsembleSoft,LumA,recall,0.9833333333333333,0.03367175148507371,50
SimpleMean,0.0,EnsembleSoft,LumB,f1,0.7806349206349207,0.14467191265046184,50
SimpleMean,0.0,EnsembleSoft,LumB,precision,0.91,0.11248582677159731,50
SimpleMean,0.0,EnsembleSoft,LumB,recall,0.7500000000000001,0.24971639242146465,50
SimpleMean,0.0,EnsembleSoft,Her2,f1,0.92,0.0989743318610787,50
SimpleMean,0.0,EnsembleSoft,Her2,precision,1.0,0.0,50
SimpleMean,0.0,EnsembleSoft,Her2,recall,0.8666666666666666,0.16495721976846453,50
SimpleMean,0.0,EnsembleSoft,Basal,f1,0.9818181818181819,0.03673281980189859,50
SimpleMean,0.0,EnsembleSoft,Basal,precision,1.0,0.0,50
SimpleMean,0.0,EnsembleSoft,Basal,recall,0.9666666666666667,0.06734350297014736,50
"KNN(k=5,dist)",0.0,EnsembleSoft,LumA,f1,0.9425863991081382,0.03262276650762664,50
"KNN(k=5,dist)",0.0,EnsembleSoft,LumA,precision,0.9098901098901098,0.07443183416721946,50
"KNN(k=5,dist)",0.0,EnsembleSoft,LumA,recall,0.9833333333333333,0.03367175148507371,50
"KNN(k=5,dist)",0.0,EnsembleSoft,LumB,f1,0.7806349206349207,0.14467191265046184,50
"KNN(k=5,dist)",0.0,EnsembleSoft,LumB,precision,0.91,0.11248582677159731,50
"KNN(k=5,dist)",0.0,EnsembleSoft,LumB,recall,0.7500000000000001,0.24971639242146465,50
"KNN(k=5,dist)",0.0,EnsembleSoft,Her2,f1,0.92,0.0989743318610787,50
"KNN(k=5,dist)",0.0,EnsembleSoft,Her2,precision,1.0,0.0,50
"KNN(k=5,dist)",0.0,EnsembleSoft,Her2,recall,0.8666666666666666,0.16495721976846453,50
"KNN(k=5,dist)",0.0,EnsembleSoft,Basal,f1,0.9818181818181819,0.03673281980189859,50
"KNN(k=5,dist)",0.0,EnsembleSoft,Basal,precision,1.0,0.0,50
"KNN(k=5,dist)",0.0,EnsembleSoft,Basal,recall,0.9666666666666667,0.06734350297014736,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumA,f1,0.9425863991081382,0.03262276650762664,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumA,precision,0.9098901098901098,0.07443183416721946,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumA,recall,0.9833333333333333,0.03367175148507371,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumB,f1,0.7806349206349207,0.14467191265046184,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumB,precision,0.91,0.11248582677159731,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumB,recall,0.7500000000000001,0.24971639242146465,50
