imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n_rows
"KNN(k=5,dist)",0.0,EnsembleSoft,0.9062598753903102,0.034908337047999075,0.8916666666666667,0.05552011341124293,50
"KNN(k=5,dist)",0.05,EnsembleSoft,0.9245413077260903,0.05111921751769571,0.92,0.06205339299962927,50
"KNN(k=5,dist)",0.1,EnsembleSoft,0.9250435506522463,0.05305906666873878,0.9157954545454545,0.06278363472262867,50
"KNN(k=5,dist)",0.2,EnsembleSoft,0.9122281597629425,0.05878880901486099,0.9040530303030303,0.06609224377933436,50
"KNN(k=5,dist)",0.3,EnsembleSoft,0.9084213127452259,0.05485700919162443,0.9011363636363636,0.0660261863319032,50
MissForest,0.0,EnsembleSoft,0.9062598753903102,0.034908337047999075,0.8916666666666667,0.05552011341124293,50
MissForest,0.05,EnsembleSoft,0.9223843028951726,0.04834568397150313,0.9158333333333333,0.05906969633359653,50
MissForest,0.1,EnsembleSoft,0.9184111521328913,0.04915057267003346,0.9107575757575758,0.056368868663451144,50
MissForest,0.2,EnsembleSoft,0.9083100667448494,0.059820651897355824,0.9048863636363635,0.06920939612024149,50
MissForest,0.3,EnsembleSoft,0.9158477886847453,0.047571646225743267,0.9090151515151516,0.057023900926608063,50
RFECA_SVR(k=10),0.0,EnsembleSoft,0.9062598753903102,0.034908337047999075,0.8916666666666667,0.05552011341124293,50
RFECA_SVR(k=10),0.05,EnsembleSoft,0.9195475816454077,0.04648043745143529,0.9099621212121213,0.05764855244606494,50
RFECA_SVR(k=10),0.1,EnsembleSoft,0.9101142379359771,0.04776412415491299,0.9020075757575757,0.057464895566474695,50
RFECA_SVR(k=10),0.2,EnsembleSoft,0.8916600081078342,0.0527662970758756,0.8816287878787878,0.060917194273080524,50
RFECA_SVR(k=10),0.3,EnsembleSoft,0.8952167742885134,0.06812556313510355,0.889090909090909,0.07502755876302902,50
RFECA_SVR(k=20),0.0,EnsembleSoft,0.9062598753903102,0.034908337047999075,0.8916666666666667,0.05552011341124293,50
RFECA_SVR(k=20),0.05,EnsembleSoft,0.9186194493911886,0.05148413732228192,0.9104166666666668,0.06103004956669604,50
RFECA_SVR(k=20),0.1,EnsembleSoft,0.9181455018411541,0.053243296410568415,0.9124242424242424,0.06135938928781279,50
RFECA_SVR(k=20),0.2,EnsembleSoft,0.8938904054882316,0.05654413045869991,0.8853030303030303,0.06514796448019784,50
RFECA_SVR(k=20),0.3,EnsembleSoft,0.8827573771638988,0.06274979142876841,0.8702272727272726,0.07310327682063066,50
RFECA_SVR(k=5),0.0,EnsembleSoft,0.9062598753903102,0.034908337047999075,0.8916666666666667,0.05552011341124293,50
RFECA_SVR(k=5),0.05,EnsembleSoft,0.9222631691979518,0.04789179092214726,0.9145833333333333,0.0614639179406648,50
RFECA_SVR(k=5),0.1,EnsembleSoft,0.9176499720086677,0.05008485575071128,0.9120454545454545,0.060330231944607446,50
RFECA_SVR(k=5),0.2,EnsembleSoft,0.8989780446606533,0.052898487313411256,0.8936742424242423,0.061371855290688254,50
RFECA_SVR(k=5),0.3,EnsembleSoft,0.897207557418427,0.06959625960237918,0.8936363636363636,0.0745677671355336,50
SimpleMean,0.0,EnsembleSoft,0.9062598753903102,0.034908337047999075,0.8916666666666667,0.05552011341124293,50
SimpleMean,0.05,EnsembleSoft,0.923444767792594,0.04934093869036653,0.9166287878787878,0.05771109604176399,50
SimpleMean,0.1,EnsembleSoft,0.9172617594965421,0.05855892429032289,0.9053787878787878,0.0672575294694097,50
SimpleMean,0.2,EnsembleSoft,0.8913581700907788,0.058954665611647195,0.8798863636363636,0.06591865320990316,50
SimpleMean,0.3,EnsembleSoft,0.8885768499616326,0.06935960292671534,0.8791287878787878,0.07574278032702816,50
