imputer,missing_rate,rmse_mean,rmse_std,mae_mean,mae_std,n_rows,n_masked_total,corr_frobenius_mean,corr_frobenius_std,corr_frobenius_rel_mean,corr_frobenius_rel_std,corr_mae_offdiag_mean,corr_mae_offdiag_std,corr_rv_mean,corr_rv_std
"KNN(k=5,dist)",0.0,,,,,0,0,2.6661900237290426e-15,4.98208666301345e-16,1.0999107879516285e-16,2.2332308064066406e-17,2.392080121001257e-17,7.736028273070595e-18,1.0,2.4570715913995763e-16
"KNN(k=5,dist)",0.05,2.104190728518599,0.3876207348179399,1.5071751862253553,0.2607319069469135,50,2900,2.534949182820753,0.6001375943459065,0.10417773388778954,0.024523619770076117,0.03301367097261956,0.009494769019112162,0.9943017860791958,0.002729298513363759
"KNN(k=5,dist)",0.1,2.1978076836959892,0.3689278969636881,1.5409863947777653,0.22813390624007332,50,5800,3.679815856987345,0.7349784967041849,0.1514399497416173,0.03077413444986638,0.05288265718507141,0.011884492601047509,0.9881625295888018,0.004884622628913373
"KNN(k=5,dist)",0.2,2.202264428425988,0.2916446184043214,1.5363154009133635,0.19168562932394773,50,11610,5.225602313677927,0.7622483688054104,0.21519385196911547,0.03247276511994997,0.07937409256036614,0.012429020457356147,0.9767158685511619,0.006709127270533659
"KNN(k=5,dist)",0.3,2.2844706736933342,0.2031625843204412,1.5592221859315218,0.144772677631317,50,17410,6.644603740647024,0.8570141666729763,0.2737153021972764,0.037196705893733,0.10240558917202375,0.013970810750845388,0.9633384089117574,0.00938977203685762
MissForest,0.0,,,,,0,0,2.6661900237290426e-15,4.98208666301345e-16,1.0999107879516285e-16,2.2332308064066406e-17,2.392080121001257e-17,7.736028273070595e-18,1.0,2.4570715913995763e-16
MissForest,0.05,1.91850080044768,0.4032885758061554,1.3276857293781914,0.26821478177256786,50,2900,2.2989511129997093,0.5660919168807369,0.09436082458880002,0.022502545022547133,0.02899520654277101,0.008838535392048865,0.9953590366828834,0.002260313991919927
MissForest,0.1,2.018421128757418,0.43850034225526197,1.356877516972282,0.2706105942413755,50,5800,3.343083654481208,0.739322457534759,0.1374828067105173,0.030571908092624278,0.04655790324373165,0.011869857496962899,0.9902940253436092,0.0045443240053103405
MissForest,0.2,2.1148904888293623,0.45795055783150584,1.3882970126469756,0.267443370332201,50,11610,4.647987993256531,0.7268264527950244,0.19154513329514622,0.031554461963368065,0.06866132109313884,0.011155200284997332,0.9819462641031208,0.005918989381118473
MissForest,0.3,2.1523841954739855,0.3306949831508314,1.4131120409211386,0.19239332677948917,50,17410,5.974905460419847,0.8789451929788773,0.246277906108531,0.038857524790265455,0.08996595549399589,0.013473255148373376,0.9711386610011562,0.008503380279606221
RFECA_SVR(k=10),0.0,,,,,0,0,2.6661900237290426e-15,4.98208666301345e-16,1.0999107879516285e-16,2.2332308064066406e-17,2.392080121001257e-17,7.736028273070595e-18,1.0,2.4570715913995763e-16
RFECA_SVR(k=10),0.05,2.2021118067837158,0.5092855048787035,1.5432491980046108,0.32235950615072156,50,2900,2.916103613423065,0.9282359632356549,0.11947856977376141,0.03686593115854374,0.03604538994214815,0.012585684673708568,0.9922723901812829,0.004921193491302141
RFECA_SVR(k=10),0.1,2.467370499470442,0.5242276168108214,1.6791544634998044,0.3519710742318506,50,5800,4.25480211027669,0.9584486253020424,0.1746538466345716,0.03811381233415072,0.059076545471203085,0.015669103817310244,0.9841185050002927,0.007130155699762556
RFECA_SVR(k=10),0.2,2.532989989419828,0.43229669521129477,1.7448952463913638,0.2756868104021811,50,11610,6.282644552698333,1.1174290291972866,0.2575162615157265,0.03970690667855439,0.09242176589480074,0.016390453909433826,0.9663473544422615,0.010305557037270272
RFECA_SVR(k=10),0.3,2.802024652502146,0.36467546676541945,1.9278741299191944,0.22705576627238583,50,17410,9.0125750062676,1.9269527737612984,0.36870713988645565,0.0661957173579015,0.13463577649290578,0.027720875862513497,0.9295804394756876,0.026786823465239123
RFECA_SVR(k=20),0.0,,,,,0,0,2.6661900237290426e-15,4.98208666301345e-16,1.0999107879516285e-16,2.2332308064066406e-17,2.392080121001257e-17,7.736028273070595e-18,1.0,2.4570715913995763e-16
RFECA_SVR(k=20),0.05,2.461430145474274,0.5586583042711483,1.7530374888650748,0.3798536602642148,50,2900,3.2953144032707775,1.1070592162758173,0.13506207684768207,0.0443858542565814,0.04093906300806209,0.01499846034995112,0.9899348508292556,0.006780088221668577
RFECA_SVR(k=20),0.1,2.7391707486616017,0.561773839004994,1.9142686404497504,0.39615965032311723,50,5800,4.79913676812215,1.216591022469945,0.19656641208623366,0.046802375922364144,0.06741752385318896,0.019051356722105103,0.979474692490207,0.0101376039154352
RFECA_SVR(k=20),0.2,2.875325803708043,0.3867716681097504,1.9996498827113225,0.27655354898787626,50,11610,7.350065553269321,1.3537136059983124,0.3007608339194011,0.044910929233641546,0.10918976114235777,0.020326478913271676,0.9533145528376434,0.013699089650930547
RFECA_SVR(k=20),0.3,3.0672129711786233,0.31819570697456145,2.140725326790544,0.21011310121326743,50,17410,9.930812538368656,1.727989222822636,0.40636712290646876,0.05377738693283374,0.1507269086046996,0.026291231612288045,0.9139264296406087,0.024210842171459454
RFECA_SVR(k=5),0.0,,,,,0,0,2.6661900237290426e-15,4.98208666301345e-16,1.0999107879516285e-16,2.2332308064066406e-17,2.392080121001257e-17,7.736028273070595e-18,1.0,2.4570715913995763e-16
RFECA_SVR(k=5),0.05,2.100681616263148,0.46060837165216206,1.4628196775973736,0.2792107903022976,50,2900,2.6658202127675774,0.7846871086991788,0.10920226167004922,0.0301184772467264,0.03301668911071392,0.009960095410028739,0.9936628057456756,0.0036362134621330325
RFECA_SVR(k=5),0.1,2.299340362759831,0.476408374007571,1.5534778753284524,0.30904383887569153,50,5800,3.9070302833781176,0.8780992253434216,0.16020882422883198,0.03413022987719052,0.054562936460083415,0.013994376857910816,0.9867367373314815,0.005735292868161468
RFECA_SVR(k=5),0.2,2.4281262483168207,0.4238115259828081,1.661710340001389,0.2679953813174857,50,11610,5.750069066882955,0.9976363510400736,0.23588085261008576,0.03640881546584315,0.08570396528142159,0.015103064216654796,0.9718248027986198,0.008930002377978384
RFECA_SVR(k=5),0.3,2.5556382894695586,0.34671942636949005,1.7609613897022671,0.22393616130907606,50,17410,7.895052914522604,1.8120598583735734,0.32256390248850514,0.06000982522783186,0.1192053167263782,0.026099585594636803,0.9463820415615005,0.023591852582908
SimpleMean,0.0,,,,,0,0,2.6661900237290426e-15,4.98208666301345e-16,1.0999107879516285e-16,2.2332308064066406e-17,2.392080121001257e-17,7.736028273070595e-18,1.0,2.4570715913995763e-16
SimpleMean,0.05,3.033038672853724,0.6148970205369987,2.260650559383484,0.4304331844592273,50,2900,3.8326068676722786,1.0272924122115514,0.1567489232574801,0.03912853784445762,0.052045943435682085,0.01533875016267826,0.9878405996994145,0.0060632826790489825
SimpleMean,0.1,2.9893512602003467,0.44073414314920223,2.2150742224849065,0.2967082570286274,50,5800,5.400518936567437,1.1484090589208305,0.2206683063155506,0.039099903308131075,0.08090549527657286,0.018844691661552185,0.9767277308923916,0.007751798739144264
SimpleMean,0.2,2.944471595191907,0.38279076223813496,2.2008366870276497,0.26393939550403966,50,11610,8.147106049399232,1.399298332996153,0.33307305449993163,0.0406127896794288,0.12862262778531064,0.025255510254173538,0.9487160149904621,0.01169213818611176
SimpleMean,0.3,2.9320458502597493,0.29310888060492546,2.169499048508353,0.21592107868481342,50,17410,10.504755598144204,1.9680237500179425,0.42872183891134164,0.05390562284787404,0.1691544259679576,0.03660725932847628,0.9116598357490139,0.019689259021976893
