imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n_rows
"KNN(k=5,dist)",0.0,EnsembleSoft,0.9062598753903102,0.034908337047999075,0.8916666666666667,0.05552011341124293,50
"KNN(k=5,dist)",0.05,EnsembleSoft,0.9341653399740356,0.04864602638891312,0.9245833333333333,0.058607530975761365,50
"KNN(k=5,dist)",0.1,EnsembleSoft,0.9241778115604202,0.04999586977747533,0.9112121212121213,0.05966831141751689,50
"KNN(k=5,dist)",0.2,EnsembleSoft,0.9283549399875487,0.05893032372644279,0.9208333333333333,0.06694774928096424,50
"KNN(k=5,dist)",0.3,EnsembleSoft,0.8891159432355085,0.06883564131864114,0.8766287878787878,0.07503911988945151,50
MissForest,0.0,EnsembleSoft,0.9062598753903102,0.034908337047999075,0.8916666666666667,0.05552011341124293,50
MissForest,0.05,EnsembleSoft,0.928858846467542,0.04614869572957083,0.92,0.05837583485688314,50
MissForest,0.1,EnsembleSoft,0.926001954567172,0.05080633052055328,0.9202651515151515,0.060189423372179356,50
MissForest,0.2,EnsembleSoft,0.926764894525764,0.05333280095429317,0.9208333333333333,0.06465940768571556,50
MissForest,0.3,EnsembleSoft,0.896071360764839,0.06440466452600938,0.889090909090909,0.06770576956064012,50
RFECA_SVR(k=10),0.0,EnsembleSoft,0.9062598753903102,0.034908337047999075,0.8916666666666667,0.05552011341124293,50
RFECA_SVR(k=10),0.05,EnsembleSoft,0.9268685867272823,0.0449028762569792,0.9179166666666667,0.056846017197353514,50
RFECA_SVR(k=10),0.1,EnsembleSoft,0.917757707751186,0.053143313165860954,0.9057954545454545,0.06191314547188643,50
RFECA_SVR(k=10),0.2,EnsembleSoft,0.9092047734873822,0.05000707646045375,0.8966666666666667,0.05951785684520831,50
RFECA_SVR(k=10),0.3,EnsembleSoft,0.8802132140806055,0.06159042498139555,0.874090909090909,0.06519972220927105,50
RFECA_SVR(k=20),0.0,EnsembleSoft,0.9062598753903102,0.034908337047999075,0.8916666666666667,0.05552011341124293,50
RFECA_SVR(k=20),0.05,EnsembleSoft,0.9232721252177774,0.043518296072710065,0.9141666666666667,0.0538419097652148,50
RFECA_SVR(k=20),0.1,EnsembleSoft,0.9192542916021178,0.05290794032086259,0.9124621212121212,0.06159602584744121,50
RFECA_SVR(k=20),0.2,EnsembleSoft,0.893284381319164,0.06464973506663388,0.8812121212121212,0.06692482658315717,50
RFECA_SVR(k=20),0.3,EnsembleSoft,0.8738902317489274,0.07362511467970259,0.8657575757575757,0.07623788678879141,50
RFECA_SVR(k=5),0.0,EnsembleSoft,0.9062598753903102,0.034908337047999075,0.8916666666666667,0.05552011341124293,50
RFECA_SVR(k=5),0.05,EnsembleSoft,0.9190361160578552,0.04260263561799812,0.91,0.05446347254141844,50
RFECA_SVR(k=5),0.1,EnsembleSoft,0.9190970013078709,0.04886112233083009,0.9091287878787878,0.05800337018365446,50
RFECA_SVR(k=5),0.2,EnsembleSoft,0.904445165945166,0.05007373950187587,0.8920833333333333,0.061527294700785246,50
RFECA_SVR(k=5),0.3,EnsembleSoft,0.8902480753545972,0.05358778318692021,0.8782954545454545,0.057615019020131296,50
SimpleMean,0.0,EnsembleSoft,0.9062598753903102,0.034908337047999075,0.8916666666666667,0.05552011341124293,50
SimpleMean,0.05,EnsembleSoft,0.9220299644799645,0.050594644376850406,0.9137121212121212,0.058196989058099,50
SimpleMean,0.1,EnsembleSoft,0.9116729847447239,0.05590113610166578,0.9003030303030303,0.06120553282630839,50
SimpleMean,0.2,EnsembleSoft,0.897839197758763,0.05328482669435482,0.8849621212121213,0.06272717609763737,50
SimpleMean,0.3,EnsembleSoft,0.8735600879796531,0.05449501830100079,0.854090909090909,0.061977137707954814,50
