stage,imputer,missing_rate,replicate,fold,n_train,n_test,train_test_overlap,imputer_object_id,correlation_source,has_corr_csv_path
imputation,SimpleMean,0.0,0,1,93,24,0,1699076615504,n/a,False
imputation,SimpleMean,0.0,0,2,93,24,0,1699076615824,n/a,False
imputation,SimpleMean,0.0,0,3,94,23,0,1699076158912,n/a,False
imputation,SimpleMean,0.0,0,4,94,23,0,1699076160432,n/a,False
imputation,SimpleMean,0.0,0,5,94,23,0,1699077031984,n/a,False
imputation,"KNN(k=5,dist)",0.0,0,1,93,24,0,1699076618704,n/a,False
imputation,"KNN(k=5,dist)",0.0,0,2,93,24,0,1699076617424,n/a,False
imputation,"KNN(k=5,dist)",0.0,0,3,94,23,0,1699076160736,n/a,False
imputation,"KNN(k=5,dist)",0.0,0,4,94,23,0,1699076161040,n/a,False
imputation,"KNN(k=5,dist)",0.0,0,5,94,23,0,1699077034000,n/a,False
imputation,RFECA_SVR(k=5),0.0,0,1,93,24,0,1699077521488,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,0,2,93,24,0,1699077521792,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,0,3,94,23,0,1699077033712,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,0,4,94,23,0,1699076906512,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,0,5,94,23,0,1699076906784,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,1,93,24,0,1699054501968,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,2,93,24,0,1699053894480,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,3,94,23,0,1699076012896,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,4,94,23,0,1699076013136,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,5,94,23,0,1699077159664,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,1,93,24,0,1699077160336,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,2,93,24,0,1699077160560,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,3,94,23,0,1699077160112,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,4,94,23,0,1699077159888,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,5,94,23,0,1699077914704,training_fold_X.corr(),False
imputation,MissForest,0.0,0,1,93,24,0,1699076619024,n/a,False
imputation,MissForest,0.0,0,2,93,24,0,1699076618384,n/a,False
imputation,MissForest,0.0,0,3,94,23,0,1699076619984,n/a,False
imputation,MissForest,0.0,0,4,94,23,0,1699077980240,n/a,False
imputation,MissForest,0.0,0,5,94,23,0,1699077980560,n/a,False
classification,SimpleMean,0.0,0,1,93,24,0,1699076013856,n/a,False
classification,SimpleMean,0.0,0,2,93,24,0,1699078333712,n/a,False
classification,SimpleMean,0.0,0,3,94,23,0,1699112209776,n/a,False
classification,SimpleMean,0.0,0,4,94,23,0,1699077216432,n/a,False
classification,SimpleMean,0.0,0,5,94,23,0,1699112273488,n/a,False
classification,"KNN(k=5,dist)",0.0,0,1,93,24,0,1699076911408,n/a,False
classification,"KNN(k=5,dist)",0.0,0,2,93,24,0,1699076912768,n/a,False
classification,"KNN(k=5,dist)",0.0,0,3,94,23,0,1699078003280,n/a,False
classification,"KNN(k=5,dist)",0.0,0,4,94,23,0,1699078004304,n/a,False
classification,"KNN(k=5,dist)",0.0,0,5,94,23,0,1699113570128,n/a,False
classification,RFECA_SVR(k=5),0.0,0,1,93,24,0,1699131389136,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,0,2,93,24,0,1699131806608,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,0,3,94,23,0,1699132110480,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,0,4,94,23,0,1699132464656,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,0,5,94,23,0,1699132802448,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,0,1,93,24,0,1699131388912,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,0,2,93,24,0,1699133509872,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,0,3,94,23,0,1699133830576,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,0,4,94,23,0,1699134167920,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,0,5,94,23,0,1699134520496,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.0,0,1,93,24,0,1699134842352,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.0,0,2,93,24,0,1699151743920,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.0,0,3,94,23,0,1699151851632,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.0,0,4,94,23,0,1699152483888,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.0,0,5,94,23,0,1699152801232,training_fold_X.corr(),False
classification,MissForest,0.0,0,1,93,24,0,1699077992080,n/a,False
classification,MissForest,0.0,0,2,93,24,0,1699077986320,n/a,False
classification,MissForest,0.0,0,3,94,23,0,1699077986960,n/a,False
classification,MissForest,0.0,0,4,94,23,0,1699077986000,n/a,False
classification,MissForest,0.0,0,5,94,23,0,1699077983120,n/a,False
imputation,SimpleMean,0.0,1,1,93,24,0,1699133578064,n/a,False
imputation,SimpleMean,0.0,1,2,93,24,0,1699154200144,n/a,False
imputation,SimpleMean,0.0,1,3,94,23,0,1699154484624,n/a,False
imputation,SimpleMean,0.0,1,4,94,23,0,1699154485584,n/a,False
imputation,SimpleMean,0.0,1,5,94,23,0,1699154485776,n/a,False
imputation,"KNN(k=5,dist)",0.0,1,1,93,24,0,1699113581168,n/a,False
imputation,"KNN(k=5,dist)",0.0,1,2,93,24,0,1699171338512,n/a,False
imputation,"KNN(k=5,dist)",0.0,1,3,94,23,0,1699171339408,n/a,False
imputation,"KNN(k=5,dist)",0.0,1,4,94,23,0,1699077216224,n/a,False
imputation,"KNN(k=5,dist)",0.0,1,5,94,23,0,1699154485968,n/a,False
imputation,RFECA_SVR(k=5),0.0,1,1,93,24,0,1699171338960,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,1,2,93,24,0,1699171339632,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,1,3,94,23,0,1699154116912,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,1,4,94,23,0,1699171338736,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,1,5,94,23,0,1699171339856,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,1,1,93,24,0,1699171340080,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,1,2,93,24,0,1699171340304,training_fold_X.corr(),False
