imputer,missing_rate,model,subtype,metric,mean,std,n_rows
RFECA_SVR(k=5),0.0,EnsembleSoft,LumA,f1,0.9425863991081382,0.03262276650762664,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumA,precision,0.9098901098901098,0.07443183416721946,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumA,recall,0.9833333333333333,0.03367175148507371,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumB,f1,0.7806349206349207,0.14467191265046184,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumB,precision,0.91,0.11248582677159731,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumB,recall,0.7500000000000001,0.24971639242146465,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Her2,f1,0.92,0.0989743318610787,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Her2,precision,1.0,0.0,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Her2,recall,0.8666666666666666,0.16495721976846453,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Basal,f1,0.9818181818181819,0.03673281980189859,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Basal,precision,1.0,0.0,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Basal,recall,0.9666666666666667,0.06734350297014736,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumA,f1,0.9425863991081382,0.03262276650762664,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumA,precision,0.9098901098901098,0.07443183416721946,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumA,recall,0.9833333333333333,0.03367175148507371,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumB,f1,0.7806349206349207,0.14467191265046184,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumB,precision,0.91,0.11248582677159731,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumB,recall,0.7500000000000001,0.24971639242146465,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Her2,f1,0.92,0.0989743318610787,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Her2,precision,1.0,0.0,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Her2,recall,0.8666666666666666,0.16495721976846453,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Basal,f1,0.9818181818181819,0.03673281980189859,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Basal,precision,1.0,0.0,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Basal,recall,0.9666666666666667,0.06734350297014736,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumA,f1,0.9425863991081382,0.03262276650762664,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumA,precision,0.9098901098901098,0.07443183416721946,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumA,recall,0.9833333333333333,0.03367175148507371,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumB,f1,0.7806349206349207,0.14467191265046184,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumB,precision,0.91,0.11248582677159731,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumB,recall,0.7500000000000001,0.24971639242146465,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Her2,f1,0.92,0.0989743318610787,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Her2,precision,1.0,0.0,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Her2,recall,0.8666666666666666,0.16495721976846453,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Basal,f1,0.9818181818181819,0.03673281980189859,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Basal,precision,1.0,0.0,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Basal,recall,0.9666666666666667,0.06734350297014736,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumA,f1,0.9563545150501672,0.030401862526046895,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumA,precision,0.9324542124542122,0.060902335536824316,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumA,recall,0.9849999999999999,0.032340661207633646,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumB,f1,0.8159365079365078,0.16978690597629878,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumB,precision,0.9096666666666667,0.11924222189725081,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumB,recall,0.8100000000000002,0.26246692913372704,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Her2,f1,0.9066666666666666,0.13451854182690984,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Her2,precision,1.0,0.0,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Her2,recall,0.8533333333333333,0.201017818278147,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Basal,f1,0.9927272727272728,0.024913410510715432,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Basal,precision,1.0,0.0,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Basal,recall,0.9866666666666666,0.0456745859363116,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumA,f1,0.9572965440356743,0.03214441780584137,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumA,precision,0.9327106227106224,0.0628009546498913,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumA,recall,0.9866666666666666,0.030860669992418398,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumB,f1,0.817015873015873,0.17140518622965867,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumB,precision,0.9253333333333333,0.11179021493044465,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumB,recall,0.7966666666666667,0.26090719108195665,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Her2,f1,0.9246666666666665,0.12024351708662111,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Her2,precision,1.0,0.0,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Her2,recall,0.88,0.18455068928643906,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Basal,f1,0.9945454545454545,0.02180890340746321,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Basal,precision,1.0,0.0,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Basal,recall,0.99,0.03998298958034919,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumA,f1,0.9555574136008917,0.03091552605677083,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumA,precision,0.9324542124542122,0.060902335536824316,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumA,recall,0.9833333333333333,0.03367175148507371,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumB,f1,0.821079365079365,0.1718031038056048,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumB,precision,0.9179999999999999,0.11146519544646379,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumB,recall,0.8100000000000002,0.26246692913372704,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Her2,f1,0.9239999999999999,0.11107391667707767,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Her2,precision,1.0,0.0,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Her2,recall,0.8766666666666666,0.17756861278080077,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Basal,f1,0.9927272727272728,0.024913410510715432,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Basal,precision,1.0,0.0,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Basal,recall,0.9866666666666667,0.0456745859363116,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumA,f1,0.9503955464825029,0.034874775696662114,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumA,precision,0.9275591075591074,0.06280925868438271,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumA,recall,0.9778787878787878,0.037734418757300284,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumB,f1,0.8159523809523809,0.17317140161124173,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumB,precision,0.9226666666666666,0.11633870326572761,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumB,recall,0.7966666666666667,0.26090719108195665,50
RFECA_SVR(k=5),0.1,EnsembleSoft,Her2,f1,0.8974285714285714,0.14697722475032488,50
RFECA_SVR(k=5),0.1,EnsembleSoft,Her2,precision,0.9583333333333333,0.12052652816259875,50
RFECA_SVR(k=5),0.1,EnsembleSoft,Her2,recall,0.87,0.20002834266293545,50
RFECA_SVR(k=5),0.1,EnsembleSoft,Basal,f1,0.9854545454545455,0.03366618544627461,50
RFECA_SVR(k=5),0.1,EnsembleSoft,Basal,precision,1.0,0.0,50
RFECA_SVR(k=5),0.1,EnsembleSoft,Basal,recall,0.9733333333333334,0.06172133998483674,50
RFECA_SVR(k=10),0.1,EnsembleSoft,LumA,f1,0.9522942188246535,0.03469513020370271,50
RFECA_SVR(k=10),0.1,EnsembleSoft,LumA,precision,0.9294139194139194,0.06348009914050444,50
RFECA_SVR(k=10),0.1,EnsembleSoft,LumA,recall,0.9798484848484847,0.03623876984490254,50
RFECA_SVR(k=10),0.1,EnsembleSoft,LumB,f1,0.8196507936507935,0.17782199285880332,50
RFECA_SVR(k=10),0.1,EnsembleSoft,LumB,precision,0.9163333333333332,0.12524307431710183,50
RFECA_SVR(k=10),0.1,EnsembleSoft,LumB,recall,0.8033333333333332,0.2617748595597096,50
RFECA_SVR(k=10),0.1,EnsembleSoft,Her2,f1,0.9016190476190475,0.1286761622157317,50
RFECA_SVR(k=10),0.1,EnsembleSoft,Her2,precision,0.9666666666666666,0.10514001031342673,50
RFECA_SVR(k=10),0.1,EnsembleSoft,Her2,recall,0.87,0.1883512423006296,50
RFECA_SVR(k=10),0.1,EnsembleSoft,Basal,f1,0.9854545454545455,0.03366618544627461,50
RFECA_SVR(k=10),0.1,EnsembleSoft,Basal,precision,1.0,0.0,50
RFECA_SVR(k=10),0.1,EnsembleSoft,Basal,recall,0.9733333333333334,0.06172133998483674,50
RFECA_SVR(k=20),0.1,EnsembleSoft,LumA,f1,0.9541806020066889,0.0350563334875429,50
RFECA_SVR(k=20),0.1,EnsembleSoft,LumA,precision,0.9265567765567765,0.06345317649556717,50
RFECA_SVR(k=20),0.1,EnsembleSoft,LumA,recall,0.9866666666666666,0.030860669992418398,50
RFECA_SVR(k=20),0.1,EnsembleSoft,LumB,f1,0.821079365079365,0.17516417223638206,50
RFECA_SVR(k=20),0.1,EnsembleSoft,LumB,precision,0.9463333333333332,0.09841660258512835,50
RFECA_SVR(k=20),0.1,EnsembleSoft,LumB,recall,0.7833333333333333,0.2586376307428623,50
RFECA_SVR(k=20),0.1,EnsembleSoft,Her2,f1,0.8946666666666665,0.15567277734222568,50
RFECA_SVR(k=20),0.1,EnsembleSoft,Her2,precision,0.9566666666666666,0.13388491351913856,50
RFECA_SVR(k=20),0.1,EnsembleSoft,Her2,recall,0.8633333333333333,0.2011587746227088,50
RFECA_SVR(k=20),0.1,EnsembleSoft,Basal,f1,0.990909090909091,0.027549614851423935,50
RFECA_SVR(k=20),0.1,EnsembleSoft,Basal,precision,1.0,0.0,50
RFECA_SVR(k=20),0.1,EnsembleSoft,Basal,recall,0.9833333333333334,0.050507627227610534,50
RFECA_SVR(k=5),0.2,EnsembleSoft,LumA,f1,0.9597596432552955,0.03393231821543089,50
RFECA_SVR(k=5),0.2,EnsembleSoft,LumA,precision,0.9353846153846154,0.0601825129635558,50
