imputer,missing_rate,model,subtype,metric,mean,std,n_rows
RFECA_SVR(k=5),0.0,EnsembleSoft,LumA,f1,0.9425863991081382,0.03262276650762664,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumA,precision,0.9098901098901098,0.07443183416721946,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumA,recall,0.9833333333333333,0.03367175148507371,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumB,f1,0.7806349206349207,0.14467191265046184,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumB,precision,0.91,0.11248582677159731,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumB,recall,0.7500000000000001,0.24971639242146465,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Her2,f1,0.92,0.0989743318610787,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Her2,precision,1.0,0.0,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Her2,recall,0.8666666666666666,0.16495721976846453,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Basal,f1,0.9818181818181819,0.03673281980189859,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Basal,precision,1.0,0.0,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Basal,recall,0.9666666666666667,0.06734350297014736,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumA,f1,0.9425863991081382,0.03262276650762664,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumA,precision,0.9098901098901098,0.07443183416721946,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumA,recall,0.9833333333333333,0.03367175148507371,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumB,f1,0.7806349206349207,0.14467191265046184,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumB,precision,0.91,0.11248582677159731,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumB,recall,0.7500000000000001,0.24971639242146465,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Her2,f1,0.92,0.0989743318610787,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Her2,precision,1.0,0.0,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Her2,recall,0.8666666666666666,0.16495721976846453,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Basal,f1,0.9818181818181819,0.03673281980189859,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Basal,precision,1.0,0.0,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Basal,recall,0.9666666666666667,0.06734350297014736,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumA,f1,0.9425863991081382,0.03262276650762664,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumA,precision,0.9098901098901098,0.07443183416721946,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumA,recall,0.9833333333333333,0.03367175148507371,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumB,f1,0.7806349206349207,0.14467191265046184,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumB,precision,0.91,0.11248582677159731,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumB,recall,0.7500000000000001,0.24971639242146465,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Her2,f1,0.92,0.0989743318610787,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Her2,precision,1.0,0.0,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Her2,recall,0.8666666666666666,0.16495721976846453,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Basal,f1,0.9818181818181819,0.03673281980189859,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Basal,precision,1.0,0.0,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Basal,recall,0.9666666666666667,0.06734350297014736,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumA,f1,0.9589632107023411,0.03215518034727895,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumA,precision,0.9379670329670329,0.06642304386018166,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumA,recall,0.9849999999999999,0.032340661207633646,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumB,f1,0.8227301587301588,0.17506386788707515,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumB,precision,0.9286666666666666,0.11273954089685062,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumB,recall,0.8033333333333332,0.2617748595597096,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Her2,f1,0.913142857142857,0.12642655365621475,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Her2,precision,0.9749999999999999,0.08625819491779428,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Her2,recall,0.8866666666666666,0.1857753257441063,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Basal,f1,0.989090909090909,0.02984188387811964,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Basal,precision,0.9966666666666667,0.02357022603955158,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Basal,recall,0.9833333333333334,0.050507627227610534,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumA,f1,0.9571516164994427,0.029857663401525,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumA,precision,0.9343772893772893,0.06346871288095828,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumA,recall,0.9849999999999999,0.032340661207633646,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumB,f1,0.8166507936507936,0.1718659678392496,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumB,precision,0.9213333333333332,0.11263892908169539,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumB,recall,0.7983333333333333,0.2603253241166084,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Her2,f1,0.9122857142857141,0.11304022497091194,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Her2,precision,0.9766666666666667,0.08081220356417687,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Her2,recall,0.88,0.1750931077223832,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Basal,f1,0.990909090909091,0.027549614851423935,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Basal,precision,1.0,0.0,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Basal,recall,0.9833333333333334,0.050507627227610534,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumA,f1,0.9575139353400224,0.035296721123632226,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumA,precision,0.9334798534798534,0.0681744170674081,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumA,recall,0.9866666666666667,0.030860669992418394,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumB,f1,0.8206507936507935,0.1737871861075869,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumB,precision,0.9213333333333332,0.11263892908169539,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumB,recall,0.805,0.26115151421863286,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Her2,f1,0.9196190476190474,0.1284819182353463,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Her2,precision,0.98,0.08511696634152133,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Her2,recall,0.8866666666666666,0.18269834374524646,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Basal,f1,0.9836363636363638,0.035280721317418516,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Basal,precision,1.0,0.0,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Basal,recall,0.97,0.06468132241526725,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumA,f1,0.964108138238573,0.03379033830503788,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumA,precision,0.9393772893772891,0.06517067391708316,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumA,recall,0.9933333333333334,0.022837292968155818,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumB,f1,0.8394920634920635,0.1818395157659263,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumB,precision,0.95,0.09035079029052512,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumB,recall,0.81,0.26246692913372704,50
RFECA_SVR(k=5),0.1,EnsembleSoft,Her2,f1,0.9302857142857143,0.09452483151758449,50
RFECA_SVR(k=5),0.1,EnsembleSoft,Her2,precision,0.9766666666666667,0.08081220356417687,50
RFECA_SVR(k=5),0.1,EnsembleSoft,Her2,recall,0.9066666666666666,0.1511857892036909,50
RFECA_SVR(k=5),0.1,EnsembleSoft,Basal,f1,0.9872727272727272,0.031864530250351436,50
RFECA_SVR(k=5),0.1,EnsembleSoft,Basal,precision,1.0,0.0,50
RFECA_SVR(k=5),0.1,EnsembleSoft,Basal,recall,0.9766666666666667,0.05841830545897759,50
RFECA_SVR(k=10),0.1,EnsembleSoft,LumA,f1,0.9581661092530658,0.03270620419613329,50
RFECA_SVR(k=10),0.1,EnsembleSoft,LumA,precision,0.9346336996336996,0.06528504136611732,50
RFECA_SVR(k=10),0.1,EnsembleSoft,LumA,recall,0.9866666666666667,0.030860669992418394,50
RFECA_SVR(k=10),0.1,EnsembleSoft,LumB,f1,0.8222857142857142,0.1737064939517272,50
RFECA_SVR(k=10),0.1,EnsembleSoft,LumB,precision,0.9273333333333333,0.10899250010603975,50
RFECA_SVR(k=10),0.1,EnsembleSoft,LumB,recall,0.8033333333333332,0.2617748595597096,50
RFECA_SVR(k=10),0.1,EnsembleSoft,Her2,f1,0.9171428571428573,0.12593672343299192,50
RFECA_SVR(k=10),0.1,EnsembleSoft,Her2,precision,0.9783333333333334,0.09036647483023022,50
RFECA_SVR(k=10),0.1,EnsembleSoft,Her2,recall,0.8833333333333333,0.1789678140282489,50
RFECA_SVR(k=10),0.1,EnsembleSoft,Basal,f1,0.989090909090909,0.02984188387811964,50
RFECA_SVR(k=10),0.1,EnsembleSoft,Basal,precision,1.0,0.0,50
RFECA_SVR(k=10),0.1,EnsembleSoft,Basal,recall,0.98,0.054710120443219316,50
RFECA_SVR(k=20),0.1,EnsembleSoft,LumA,f1,0.959035674470457,0.03323529508550239,50
RFECA_SVR(k=20),0.1,EnsembleSoft,LumA,precision,0.9346336996336997,0.06528504136611732,50
RFECA_SVR(k=20),0.1,EnsembleSoft,LumA,recall,0.9883333333333333,0.029209152729488815,50
RFECA_SVR(k=20),0.1,EnsembleSoft,LumB,f1,0.8365238095238093,0.18326165936640407,50
RFECA_SVR(k=20),0.1,EnsembleSoft,LumB,precision,0.9493333333333334,0.09822460263273287,50
RFECA_SVR(k=20),0.1,EnsembleSoft,LumB,recall,0.805,0.26115151421863286,50
RFECA_SVR(k=20),0.1,EnsembleSoft,Her2,f1,0.9239999999999999,0.12545427657200084,50
RFECA_SVR(k=20),0.1,EnsembleSoft,Her2,precision,0.97,0.10481600334788162,50
RFECA_SVR(k=20),0.1,EnsembleSoft,Her2,recall,0.9033333333333334,0.17198982198436383,50
RFECA_SVR(k=20),0.1,EnsembleSoft,Basal,f1,0.989090909090909,0.029841883878119636,50
RFECA_SVR(k=20),0.1,EnsembleSoft,Basal,precision,1.0,0.0,50
RFECA_SVR(k=20),0.1,EnsembleSoft,Basal,recall,0.98,0.054710120443219316,50
RFECA_SVR(k=5),0.2,EnsembleSoft,LumA,f1,0.956561751292186,0.0366189766689291,50
RFECA_SVR(k=5),0.2,EnsembleSoft,LumA,precision,0.9363553113553112,0.06647235117950875,50
