imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n_rows
RFECA_SVR(k=10),0.0,EnsembleSoft,0.9062598753903102,0.034908337047999075,0.8916666666666667,0.05552011341124293,50
RFECA_SVR(k=10),0.05,EnsembleSoft,0.9192493038362604,0.04479510952884195,0.9116666666666667,0.05718004742153726,50
RFECA_SVR(k=10),0.1,EnsembleSoft,0.9216713974431365,0.0470731526763881,0.9133333333333333,0.05714905720332597,50
RFECA_SVR(k=10),0.2,EnsembleSoft,0.9023079220296611,0.061059377728964456,0.8962121212121212,0.07104939202603602,50
RFECA_SVR(k=10),0.3,EnsembleSoft,0.8985973454082149,0.06123259756764543,0.8903787878787878,0.06666684235654592,50
RFECA_SVR(k=20),0.0,EnsembleSoft,0.9062598753903102,0.034908337047999075,0.8916666666666667,0.05552011341124293,50
RFECA_SVR(k=20),0.05,EnsembleSoft,0.9203550350615568,0.051346521904731636,0.9120833333333332,0.06132541402954969,50
RFECA_SVR(k=20),0.1,EnsembleSoft,0.9271625982712939,0.05125123575529878,0.9191666666666667,0.06079593016573191,50
RFECA_SVR(k=20),0.2,EnsembleSoft,0.906778976337672,0.05560090447229525,0.9007575757575758,0.06692040737432876,50
RFECA_SVR(k=20),0.3,EnsembleSoft,0.90033973393756,0.059886545685749706,0.8924621212121212,0.0688669048952417,50
RFECA_SVR(k=5),0.0,EnsembleSoft,0.9062598753903102,0.034908337047999075,0.8916666666666667,0.05552011341124293,50
RFECA_SVR(k=5),0.05,EnsembleSoft,0.9209817839165666,0.05290850217106303,0.9145833333333333,0.06483041937735703,50
RFECA_SVR(k=5),0.1,EnsembleSoft,0.9302896608222696,0.048615867246810426,0.9216666666666667,0.05794941691367496,50
RFECA_SVR(k=5),0.2,EnsembleSoft,0.9027418086744174,0.06487921111734113,0.8975,0.07420687971968924,50
RFECA_SVR(k=5),0.3,EnsembleSoft,0.9016843123060515,0.061638680270288404,0.8928409090909091,0.06857481607370698,50
