stage,imputer,missing_rate,replicate,fold,rmse,mae,n_masked_test_values,n_train,n_test,degenerate_constant_preds,seed
imputation,SimpleMean,0.1,0,1,2.844923644083015,2.154410538152168,164,78,39,False,1052
imputation,SimpleMean,0.1,0,2,2.898065532253385,2.070859356309021,201,78,39,False,1052
imputation,SimpleMean,0.1,0,3,2.8630684986835315,2.0880885429663714,194,78,39,False,1052
imputation,"KNN(k=5,dist)",0.1,0,1,1.9247148247681816,1.3736758387559314,164,78,39,False,1052
imputation,"KNN(k=5,dist)",0.1,0,2,2.116641413331031,1.4059498174868066,201,78,39,False,1052
imputation,"KNN(k=5,dist)",0.1,0,3,2.1820370659706767,1.5415120098331623,194,78,39,False,1052
imputation,RFECA_SVR(k=5),0.1,0,1,2.0565615328864086,1.3545412078477108,164,78,39,False,1052
imputation,RFECA_SVR(k=5),0.1,0,2,2.012562891064579,1.269545843158607,201,78,39,False,1052
imputation,RFECA_SVR(k=5),0.1,0,3,2.0700788386571487,1.4398475405687619,194,78,39,False,1052
imputation,SimpleMean,0.1,1,1,3.0100721046397165,2.092415177089219,184,78,39,False,1053
imputation,SimpleMean,0.1,1,2,3.1195313482611433,2.3095467322507157,193,78,39,False,1053
imputation,SimpleMean,0.1,1,3,3.0014351744604384,2.2026920967693515,198,78,39,False,1053
imputation,"KNN(k=5,dist)",0.1,1,1,2.006625226663882,1.335491100188687,184,78,39,False,1053
imputation,"KNN(k=5,dist)",0.1,1,2,2.384977485667266,1.5843318506555453,193,78,39,False,1053
imputation,"KNN(k=5,dist)",0.1,1,3,2.2512504713532855,1.4660656531965124,198,78,39,False,1053
imputation,RFECA_SVR(k=5),0.1,1,1,2.377736753208227,1.5182886342769832,184,78,39,False,1053
imputation,RFECA_SVR(k=5),0.1,1,2,2.1558332547446595,1.423181869354922,193,78,39,False,1053
imputation,RFECA_SVR(k=5),0.1,1,3,2.4263840474029528,1.5809324010660732,198,78,39,False,1053
