stage,imputer,missing_rate,replicate,fold,rmse,mae,n_masked_test_values,n_eligible_cells,n_artificially_masked_cells,n_legacy_imputed_cells_in_cohort,n_legacy_imputed_cells_in_metric_target,target_cell_policy,n_train,n_test,degenerate_constant_preds,seed
imputation,SimpleMean,0.1,0,1,2.779163722359442,2.134752428897436,192,5804,580,46,0,originally_observed_only,78,39,False,1052
imputation,SimpleMean,0.1,0,2,2.652283029582093,1.8940868627567,199,5804,580,46,0,originally_observed_only,78,39,False,1052
imputation,SimpleMean,0.1,0,3,3.043136580556015,2.100973758759262,189,5804,580,46,0,originally_observed_only,78,39,False,1052
imputation,"KNN(k=5,dist)",0.1,0,1,1.9054501909887416,1.3339201046277598,192,5804,580,46,0,originally_observed_only,78,39,False,1052
imputation,"KNN(k=5,dist)",0.1,0,2,1.9119720855156153,1.2437623835420601,199,5804,580,46,0,originally_observed_only,78,39,False,1052
imputation,"KNN(k=5,dist)",0.1,0,3,1.8691176036182826,1.2914922810844887,189,5804,580,46,0,originally_observed_only,78,39,False,1052
imputation,RFECA_SVR(k=5),0.1,0,1,1.9203528171706659,1.333516940880048,192,5804,580,46,0,originally_observed_only,78,39,False,1052
imputation,RFECA_SVR(k=5),0.1,0,2,1.6086391501838888,1.097782558843106,199,5804,580,46,0,originally_observed_only,78,39,False,1052
imputation,RFECA_SVR(k=5),0.1,0,3,2.259260310937674,1.4483526502357371,189,5804,580,46,0,originally_observed_only,78,39,False,1052
imputation,SimpleMean,0.1,1,1,2.742480628818032,2.063773385897865,207,5804,580,46,0,originally_observed_only,78,39,False,1053
imputation,SimpleMean,0.1,1,2,2.3213845304373586,1.7456663824401424,198,5804,580,46,0,originally_observed_only,78,39,False,1053
imputation,SimpleMean,0.1,1,3,3.1997209081930853,2.350713753465778,175,5804,580,46,0,originally_observed_only,78,39,False,1053
imputation,"KNN(k=5,dist)",0.1,1,1,1.9730527503822917,1.4311956068759368,207,5804,580,46,0,originally_observed_only,78,39,False,1053
imputation,"KNN(k=5,dist)",0.1,1,2,1.7495802568577161,1.1636445489495122,198,5804,580,46,0,originally_observed_only,78,39,False,1053
imputation,"KNN(k=5,dist)",0.1,1,3,2.2932579824407897,1.5377214438750295,175,5804,580,46,0,originally_observed_only,78,39,False,1053
imputation,RFECA_SVR(k=5),0.1,1,1,1.964431037784045,1.3035257038972945,207,5804,580,46,0,originally_observed_only,78,39,False,1053
imputation,RFECA_SVR(k=5),0.1,1,2,1.7762025796199923,1.2203553446122806,198,5804,580,46,0,originally_observed_only,78,39,False,1053
imputation,RFECA_SVR(k=5),0.1,1,3,2.187794563502339,1.482221278849522,175,5804,580,46,0,originally_observed_only,78,39,False,1053
