imputer,missing_rate,model,subtype,metric,mean,std,n_rows
SimpleMean,0.1,EnsembleSoft,LumA,f1,0.9328903481342506,0.02578179768706057,6
SimpleMean,0.1,EnsembleSoft,LumA,precision,0.895923520923521,0.03341262752451518,6
SimpleMean,0.1,EnsembleSoft,LumA,recall,0.9736842105263158,0.028827503026587722,6
SimpleMean,0.1,EnsembleSoft,LumB,f1,0.7505050505050505,0.10979012730601989,6
SimpleMean,0.1,EnsembleSoft,LumB,precision,0.8666666666666667,0.1632993161855452,6
SimpleMean,0.1,EnsembleSoft,LumB,recall,0.6777777777777777,0.12412657816683506,6
SimpleMean,0.1,EnsembleSoft,Her2,f1,0.9058201058201059,0.07985036816894596,6
SimpleMean,0.1,EnsembleSoft,Her2,precision,0.9666666666666667,0.08164965809277258,6
SimpleMean,0.1,EnsembleSoft,Her2,recall,0.8583333333333334,0.11143009766964518,6
SimpleMean,0.1,EnsembleSoft,Basal,f1,1.0,0.0,6
SimpleMean,0.1,EnsembleSoft,Basal,precision,1.0,0.0,6
SimpleMean,0.1,EnsembleSoft,Basal,recall,1.0,0.0,6
"KNN(k=5,dist)",0.1,EnsembleSoft,LumA,f1,0.9619545659019343,0.021179305768392234,6
"KNN(k=5,dist)",0.1,EnsembleSoft,LumA,precision,0.9352756892230577,0.03832896821708946,6
"KNN(k=5,dist)",0.1,EnsembleSoft,LumA,recall,0.9912280701754387,0.021486752129677024,6
"KNN(k=5,dist)",0.1,EnsembleSoft,LumB,f1,0.8333333333333334,0.08164965809277258,6
"KNN(k=5,dist)",0.1,EnsembleSoft,LumB,precision,0.9333333333333332,0.10327955589886444,6
"KNN(k=5,dist)",0.1,EnsembleSoft,LumB,recall,0.7666666666666666,0.13165611772087668,6
"KNN(k=5,dist)",0.1,EnsembleSoft,Her2,f1,0.9166666666666665,0.06804138174397717,6
"KNN(k=5,dist)",0.1,EnsembleSoft,Her2,precision,0.9523809523809524,0.11664236870396086,6
"KNN(k=5,dist)",0.1,EnsembleSoft,Her2,recall,0.9,0.1095445115010332,6
"KNN(k=5,dist)",0.1,EnsembleSoft,Basal,f1,0.9824561403508771,0.027178830499701198,6
"KNN(k=5,dist)",0.1,EnsembleSoft,Basal,precision,0.9833333333333334,0.04082482904638629,6
"KNN(k=5,dist)",0.1,EnsembleSoft,Basal,recall,0.9833333333333334,0.0408248290463863,6
RFECA_SVR(k=5),0.1,EnsembleSoft,LumA,f1,0.9497863247863249,0.027153067307619967,6
RFECA_SVR(k=5),0.1,EnsembleSoft,LumA,precision,0.9119047619047619,0.034797763631324016,6
RFECA_SVR(k=5),0.1,EnsembleSoft,LumA,recall,0.9912280701754387,0.02148675212967702,6
RFECA_SVR(k=5),0.1,EnsembleSoft,LumB,f1,0.7959595959595959,0.07691638971662736,6
RFECA_SVR(k=5),0.1,EnsembleSoft,LumB,precision,0.9249999999999999,0.11726039399558572,6
RFECA_SVR(k=5),0.1,EnsembleSoft,LumB,recall,0.7055555555555556,0.09047201327032128,6
RFECA_SVR(k=5),0.1,EnsembleSoft,Her2,f1,0.9296296296296296,0.08364140585656454,6
RFECA_SVR(k=5),0.1,EnsembleSoft,Her2,precision,0.9666666666666667,0.08164965809277258,6
RFECA_SVR(k=5),0.1,EnsembleSoft,Her2,recall,0.9,0.1095445115010332,6
RFECA_SVR(k=5),0.1,EnsembleSoft,Basal,f1,1.0,0.0,6
RFECA_SVR(k=5),0.1,EnsembleSoft,Basal,precision,1.0,0.0,6
RFECA_SVR(k=5),0.1,EnsembleSoft,Basal,recall,1.0,0.0,6
