stage,imputer,missing_rate,replicate,fold,n_train,n_test,train_test_overlap,imputer_object_id,correlation_source,has_corr_csv_path
imputation,SimpleMean,0.1,0,1,78,39,0,2564900708560,n/a,False
imputation,SimpleMean,0.1,0,2,78,39,0,2564900711760,n/a,False
imputation,SimpleMean,0.1,0,3,78,39,0,2564897854592,n/a,False
imputation,"KNN(k=5,dist)",0.1,0,1,78,39,0,2564900712720,n/a,False
imputation,"KNN(k=5,dist)",0.1,0,2,78,39,0,2564900713040,n/a,False
imputation,"KNN(k=5,dist)",0.1,0,3,78,39,0,2564900499408,n/a,False
imputation,RFECA_SVR(k=5),0.1,0,1,78,39,0,2564900712080,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.1,0,2,78,39,0,2564900714000,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.1,0,3,78,39,0,2564900500016,training_fold_X.corr(),False
classification,SimpleMean,0.1,0,1,78,39,0,2564901326528,n/a,False
classification,SimpleMean,0.1,0,2,78,39,0,2564901326704,n/a,False
classification,SimpleMean,0.1,0,3,78,39,0,2564901326880,n/a,False
classification,"KNN(k=5,dist)",0.1,0,1,78,39,0,2564900500624,n/a,False
classification,"KNN(k=5,dist)",0.1,0,2,78,39,0,2564901263056,n/a,False
classification,"KNN(k=5,dist)",0.1,0,3,78,39,0,2564901315696,n/a,False
classification,RFECA_SVR(k=5),0.1,0,1,78,39,0,2564902264016,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.1,0,2,78,39,0,2564901267664,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.1,0,3,78,39,0,2564901316240,training_fold_X.corr(),False
imputation,SimpleMean,0.1,1,1,78,39,0,2564901325648,n/a,False
imputation,SimpleMean,0.1,1,2,78,39,0,2564901328464,n/a,False
imputation,SimpleMean,0.1,1,3,78,39,0,2564901328640,n/a,False
imputation,"KNN(k=5,dist)",0.1,1,1,78,39,0,2564901316512,n/a,False
imputation,"KNN(k=5,dist)",0.1,1,2,78,39,0,2564878252112,n/a,False
imputation,"KNN(k=5,dist)",0.1,1,3,78,39,0,2564900911952,n/a,False
imputation,RFECA_SVR(k=5),0.1,1,1,78,39,0,2564901317328,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.1,1,2,78,39,0,2564900911696,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.1,1,3,78,39,0,2564936696912,training_fold_X.corr(),False
classification,SimpleMean,0.1,1,1,78,39,0,2564901328288,n/a,False
classification,SimpleMean,0.1,1,2,78,39,0,2564901329168,n/a,False
classification,SimpleMean,0.1,1,3,78,39,0,2564901325120,n/a,False
classification,"KNN(k=5,dist)",0.1,1,1,78,39,0,2564902052368,n/a,False
classification,"KNN(k=5,dist)",0.1,1,2,78,39,0,2564902056928,n/a,False
classification,"KNN(k=5,dist)",0.1,1,3,78,39,0,2564956905872,n/a,False
classification,RFECA_SVR(k=5),0.1,1,1,78,39,0,2564902051648,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.1,1,2,78,39,0,2564938007328,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.1,1,3,78,39,0,2564957983184,training_fold_X.corr(),False
