stage,imputer,missing_rate,replicate,fold,rmse,mae,corr_frobenius,corr_frobenius_rel,corr_mae_offdiag,corr_rv,n_masked_test_values,n_eligible_cells,n_artificially_masked_cells,n_legacy_imputed_cells_in_cohort,n_legacy_imputed_cells_in_metric_target,target_cell_policy,n_train,n_test,degenerate_constant_preds,seed
imputation,SimpleMean,0.1,0,1,2.779163722359442,2.134752428897436,4.122695456852097,0.17841927709724992,0.06408215891143844,0.9866909062485674,192,5804,580,46,0,originally_observed_only,78,39,False,1052
imputation,SimpleMean,0.1,0,2,2.652283029582093,1.8940868627567,3.843315349393736,0.1708972620818986,0.05797678421896289,0.9874143722965895,199,5804,580,46,0,originally_observed_only,78,39,False,1052
imputation,SimpleMean,0.1,0,3,3.043136580556015,2.100973758759262,3.730404199874595,0.15577763949101672,0.055632989278808775,0.9892092959958514,189,5804,580,46,0,originally_observed_only,78,39,False,1052
imputation,"KNN(k=5,dist)",0.1,0,1,1.9054501909887416,1.3339201046277598,2.643862893307759,0.11441934314701842,0.03686297162569002,0.9934466031642913,192,5804,580,46,0,originally_observed_only,78,39,False,1052
imputation,"KNN(k=5,dist)",0.1,0,2,1.9119720855156153,1.2437623835420601,2.34380619969699,0.10421993148232814,0.03501714761501636,0.9946130128164412,199,5804,580,46,0,originally_observed_only,78,39,False,1052
imputation,"KNN(k=5,dist)",0.1,0,3,1.8691176036182826,1.2914922810844887,2.049968294052823,0.08560445591652252,0.030561372567191478,0.9963923193126888,189,5804,580,46,0,originally_observed_only,78,39,False,1052
imputation,RFECA_SVR(k=5),0.1,0,1,1.9203528171706659,1.333516940880048,2.4404346302635114,0.10561550982647103,0.03467112646261172,0.9944531417645878,192,5804,580,46,0,originally_observed_only,78,39,False,1052
imputation,RFECA_SVR(k=5),0.1,0,2,1.6086391501838888,1.097782558843106,2.22266541541729,0.09883327270525943,0.031110727562940855,0.9952772895171375,199,5804,580,46,0,originally_observed_only,78,39,False,1052
imputation,RFECA_SVR(k=5),0.1,0,3,2.259260310937674,1.4483526502357371,2.4222412327087666,0.1011501706763752,0.034251468753153165,0.9951946363521631,189,5804,580,46,0,originally_observed_only,78,39,False,1052
imputation,MissForest,0.1,0,1,1.9389963392453922,1.3042222916666668,2.170978848782396,0.09395418139590977,0.03133193188188959,0.9955765946749532,192,5804,580,46,0,originally_observed_only,78,39,False,1052
imputation,MissForest,0.1,0,2,1.4972961418791477,1.014966783919598,1.9895994087867137,0.08846973529118538,0.02804425445188208,0.9962462637047996,199,5804,580,46,0,originally_observed_only,78,39,False,1052
imputation,MissForest,0.1,0,3,1.8631317957510392,1.2740166931216932,2.082732071087269,0.08697263576346981,0.029799550712770947,0.9963671954092886,189,5804,580,46,0,originally_observed_only,78,39,False,1052
imputation,SimpleMean,0.1,1,1,2.742480628818032,2.063773385897865,4.171415012723976,0.1805277296934058,0.064088081826212,0.98488878830534,207,5804,580,46,0,originally_observed_only,78,39,False,1053
imputation,SimpleMean,0.1,1,2,2.3213845304373586,1.7456663824401424,3.253409815444654,0.14466646094434388,0.051284313586266755,0.9909035367658285,198,5804,580,46,0,originally_observed_only,78,39,False,1053
imputation,SimpleMean,0.1,1,3,3.1997209081930853,2.350713753465778,3.6375855462946474,0.1519016330368355,0.05626611129936682,0.9899643479818226,175,5804,580,46,0,originally_observed_only,78,39,False,1053
imputation,"KNN(k=5,dist)",0.1,1,1,1.9730527503822917,1.4311956068759368,3.1611982337304747,0.13680823857262397,0.0453929997153512,0.9913226907493985,207,5804,580,46,0,originally_observed_only,78,39,False,1053
imputation,"KNN(k=5,dist)",0.1,1,2,1.7495802568577161,1.1636445489495122,2.4117786020166085,0.10724239942927517,0.03572219115899418,0.994420481191517,198,5804,580,46,0,originally_observed_only,78,39,False,1053
imputation,"KNN(k=5,dist)",0.1,1,3,2.2932579824407897,1.5377214438750295,2.287606282459493,0.09552796095885253,0.032726560364697226,0.9954268582926588,175,5804,580,46,0,originally_observed_only,78,39,False,1053
imputation,RFECA_SVR(k=5),0.1,1,1,1.964431037784045,1.3035257038972945,3.1649983882918815,0.13697269913896948,0.044228419334923094,0.991291042460535,207,5804,580,46,0,originally_observed_only,78,39,False,1053
imputation,RFECA_SVR(k=5),0.1,1,2,1.7762025796199923,1.2203553446122806,2.423338482078785,0.1077564222645163,0.036222921352356226,0.9942761082200413,198,5804,580,46,0,originally_observed_only,78,39,False,1053
imputation,RFECA_SVR(k=5),0.1,1,3,2.187794563502339,1.482221278849522,2.298016609168623,0.09596268492821036,0.031883198939549336,0.9954411348683203,175,5804,580,46,0,originally_observed_only,78,39,False,1053
imputation,MissForest,0.1,1,1,1.9190009110004747,1.3297326328502417,3.149281762476602,0.13629252544054374,0.04468412267422633,0.9913151599359853,207,5804,580,46,0,originally_observed_only,78,39,False,1053
imputation,MissForest,0.1,1,2,1.7099620752472002,1.1602667424242423,2.3321427651305524,0.10370130398167561,0.034968981565077294,0.9947374128571341,198,5804,580,46,0,originally_observed_only,78,39,False,1053
imputation,MissForest,0.1,1,3,1.9404776499333871,1.337553057142857,2.100639836806656,0.08772044466643482,0.02919883805038126,0.9961582649836527,175,5804,580,46,0,originally_observed_only,78,39,False,1053
