stage,imputer,missing_rate,replicate,fold,rmse,mae,corr_frobenius,corr_frobenius_rel,corr_mae_offdiag,corr_rv,n_masked_test_values,n_eligible_cells,n_artificially_masked_cells,n_legacy_imputed_cells_in_cohort,n_legacy_imputed_cells_in_metric_target,target_cell_policy,n_train,n_test,degenerate_constant_preds,seed
imputation,SimpleMean,0.1,0,1,2.8961095219974915,2.131572668887922,3.8723102630380266,0.1675832728995807,0.057070601797720985,0.9876931392039074,149,5804,580,46,0,originally_observed_only,78,39,False,18052
imputation,SimpleMean,0.1,0,2,2.5570346155638166,1.965181740673132,3.72768866746338,0.165755793956305,0.05716285961224612,0.9880947356927517,175,5804,580,46,0,originally_observed_only,78,39,False,18052
imputation,SimpleMean,0.1,0,3,3.424811813523884,2.4164666468877947,5.567611422103302,0.23249742346087626,0.08473591854117483,0.9763064834946626,256,5804,580,46,0,originally_observed_only,78,39,False,18052
imputation,"KNN(k=5,dist)",0.1,0,1,2.10925432731747,1.501710005595707,2.3344670948451567,0.1010295171760325,0.03476569918589695,0.9949409175273809,149,5804,580,46,0,originally_observed_only,78,39,False,18052
imputation,"KNN(k=5,dist)",0.1,0,2,1.9509272689640695,1.382997435258594,2.509745382348264,0.11159860052432705,0.03706936209377179,0.9938052598120903,175,5804,580,46,0,originally_observed_only,78,39,False,18052
imputation,"KNN(k=5,dist)",0.1,0,3,2.2967012249261334,1.621524731706964,4.310025853834234,0.17998201205063016,0.0652700291765862,0.9844924081117933,256,5804,580,46,0,originally_observed_only,78,39,False,18052
imputation,RFECA_SVR(k=5),0.1,0,1,1.7118875173407986,1.2492157552641026,2.239223995710626,0.09690764955958238,0.03217056629063051,0.9953619505718022,149,5804,580,46,0,originally_observed_only,78,39,False,18052
imputation,RFECA_SVR(k=5),0.1,0,2,1.9450496968648965,1.3807604567037093,2.4303059073370132,0.10806623652437902,0.036619277919382465,0.9942180832631543,175,5804,580,46,0,originally_observed_only,78,39,False,18052
imputation,RFECA_SVR(k=5),0.1,0,3,2.2403549297877734,1.5903554103580877,4.313542372246241,0.1801288580512506,0.06349061053053785,0.9843062588199992,256,5804,580,46,0,originally_observed_only,78,39,False,18052
imputation,MissForest,0.1,0,1,1.8513867898893646,1.3544728859060402,2.2947429683129124,0.09931036279914955,0.03299247153821817,0.9951519451384632,149,5804,580,46,0,originally_observed_only,78,39,False,18052
imputation,MissForest,0.1,0,2,1.6727565451731803,1.1802526857142857,2.2422716459454057,0.09970508540143334,0.0321345622190582,0.9951943191382654,175,5804,580,46,0,originally_observed_only,78,39,False,18052
imputation,MissForest,0.1,0,3,2.4733914278221554,1.60767572265625,4.5046346902968475,0.18810866630682535,0.06798093664373776,0.9831744478611114,256,5804,580,46,0,originally_observed_only,78,39,False,18052
imputation,SimpleMean,0.1,1,1,3.047769716950124,2.205691235415563,3.878310318249901,0.16784293930585548,0.05920287911491017,0.9868941793733046,151,5804,580,46,0,originally_observed_only,78,39,False,18053
imputation,SimpleMean,0.1,1,2,2.7127538033527925,2.01961107875162,4.177894568020112,0.18577469659212378,0.06445098736339198,0.9854172152668944,174,5804,580,46,0,originally_observed_only,78,39,False,18053
imputation,SimpleMean,0.1,1,3,3.4700991950948112,2.5388646964368755,4.870662927853948,0.20339360911158066,0.07417760690859891,0.9822565020437379,255,5804,580,46,0,originally_observed_only,78,39,False,18053
imputation,"KNN(k=5,dist)",0.1,1,1,2.384098346939293,1.6038253657847155,3.1186057954445623,0.1349649513038175,0.04565613903007109,0.9909596846536597,151,5804,580,46,0,originally_observed_only,78,39,False,18053
imputation,"KNN(k=5,dist)",0.1,1,2,1.816811442562156,1.3799395638709784,2.3281930991648268,0.10352567772197069,0.0357736052440034,0.9946871918654246,174,5804,580,46,0,originally_observed_only,78,39,False,18053
imputation,"KNN(k=5,dist)",0.1,1,3,2.9204561116923715,1.963956462367115,3.6013252292817475,0.15038744146701702,0.05405845958883565,0.9886301942385025,255,5804,580,46,0,originally_observed_only,78,39,False,18053
imputation,RFECA_SVR(k=5),0.1,1,1,2.3171891276547045,1.5505560922858377,2.838004227826125,0.12282126294002459,0.04200374957790845,0.9926193361480697,151,5804,580,46,0,originally_observed_only,78,39,False,18053
imputation,RFECA_SVR(k=5),0.1,1,2,1.743933339311256,1.1879343485306204,2.144338789225593,0.09535039275725182,0.032363369292636376,0.9955694984845171,174,5804,580,46,0,originally_observed_only,78,39,False,18053
imputation,RFECA_SVR(k=5),0.1,1,3,2.7525992075967634,1.857328576814838,3.411752956409479,0.14247110865193452,0.05175612618106718,0.990016558315208,255,5804,580,46,0,originally_observed_only,78,39,False,18053
imputation,MissForest,0.1,1,1,2.1277519967597804,1.4347499337748344,2.72094394977752,0.1177552059380401,0.03921368734995626,0.9931673330586789,151,5804,580,46,0,originally_observed_only,78,39,False,18053
imputation,MissForest,0.1,1,2,1.6636039258617206,1.169234367816092,1.9984592118160844,0.08886369621883687,0.030556670641149662,0.9962500544109556,174,5804,580,46,0,originally_observed_only,78,39,False,18053
imputation,MissForest,0.1,1,3,2.5846380501452852,1.6902991764705884,3.3667094736534096,0.140590141592539,0.050921189997273346,0.9903779282950307,255,5804,580,46,0,originally_observed_only,78,39,False,18053
