imputer,missing_rate,model,subtype,metric,mean,std,n_rows
SimpleMean,0.1,EnsembleSoft,LumA,f1,0.9501711596063328,0.02676010108275425,6
SimpleMean,0.1,EnsembleSoft,LumA,precision,0.9140274929748613,0.05244639841048597,6
SimpleMean,0.1,EnsembleSoft,LumA,recall,0.9912280701754387,0.02148675212967702,6
SimpleMean,0.1,EnsembleSoft,LumB,f1,0.8212121212121212,0.09229250422481856,6
SimpleMean,0.1,EnsembleSoft,LumB,precision,0.9111111111111111,0.14401645996461912,6
SimpleMean,0.1,EnsembleSoft,LumB,recall,0.7666666666666667,0.13165611772087668,6
SimpleMean,0.1,EnsembleSoft,Her2,f1,0.8730158730158729,0.15745519704936184,6
SimpleMean,0.1,EnsembleSoft,Her2,precision,1.0,0.0,6
SimpleMean,0.1,EnsembleSoft,Her2,recall,0.8000000000000002,0.21908902300206645,6
SimpleMean,0.1,EnsembleSoft,Basal,f1,0.9745614035087721,0.042160052072624264,6
SimpleMean,0.1,EnsembleSoft,Basal,precision,0.9696969696969697,0.07422696190252052,6
SimpleMean,0.1,EnsembleSoft,Basal,recall,0.9833333333333334,0.04082482904638629,6
"KNN(k=5,dist)",0.1,EnsembleSoft,LumA,f1,0.9580927772840481,0.02547237477116979,6
"KNN(k=5,dist)",0.1,EnsembleSoft,LumA,precision,0.9284214323688008,0.04746528400665725,6
"KNN(k=5,dist)",0.1,EnsembleSoft,LumA,recall,0.9912280701754387,0.02148675212967702,6
"KNN(k=5,dist)",0.1,EnsembleSoft,LumB,f1,0.8212121212121212,0.09229250422481856,6
"KNN(k=5,dist)",0.1,EnsembleSoft,LumB,precision,0.9111111111111111,0.14401645996461912,6
"KNN(k=5,dist)",0.1,EnsembleSoft,LumB,recall,0.7666666666666667,0.13165611772087668,6
"KNN(k=5,dist)",0.1,EnsembleSoft,Her2,f1,0.9296296296296296,0.08364140585656454,6
"KNN(k=5,dist)",0.1,EnsembleSoft,Her2,precision,0.9666666666666667,0.08164965809277258,6
"KNN(k=5,dist)",0.1,EnsembleSoft,Her2,recall,0.8999999999999999,0.1095445115010332,6
"KNN(k=5,dist)",0.1,EnsembleSoft,Basal,f1,0.9912280701754387,0.02148675212967702,6
"KNN(k=5,dist)",0.1,EnsembleSoft,Basal,precision,1.0,0.0,6
"KNN(k=5,dist)",0.1,EnsembleSoft,Basal,recall,0.9833333333333334,0.04082482904638629,6
RFECA_SVR(k=5),0.1,EnsembleSoft,LumA,f1,0.9452878992352677,0.03991756875831856,6
RFECA_SVR(k=5),0.1,EnsembleSoft,LumA,precision,0.9194026733500418,0.05688783708134002,6
RFECA_SVR(k=5),0.1,EnsembleSoft,LumA,recall,0.9736842105263158,0.028827503026587722,6
RFECA_SVR(k=5),0.1,EnsembleSoft,LumB,f1,0.8272727272727273,0.10771864177162634,6
RFECA_SVR(k=5),0.1,EnsembleSoft,LumB,precision,0.8666666666666667,0.10327955589886444,6
RFECA_SVR(k=5),0.1,EnsembleSoft,LumB,recall,0.7944444444444444,0.1236781965275056,6
RFECA_SVR(k=5),0.1,EnsembleSoft,Her2,f1,0.9212962962962963,0.10002571685782517,6
RFECA_SVR(k=5),0.1,EnsembleSoft,Her2,precision,1.0,0.0,6
RFECA_SVR(k=5),0.1,EnsembleSoft,Her2,recall,0.8666666666666666,0.1632993161855452,6
RFECA_SVR(k=5),0.1,EnsembleSoft,Basal,f1,0.9824561403508772,0.0271788304997012,6
RFECA_SVR(k=5),0.1,EnsembleSoft,Basal,precision,0.9833333333333334,0.04082482904638629,6
RFECA_SVR(k=5),0.1,EnsembleSoft,Basal,recall,0.9833333333333334,0.04082482904638629,6
MissForest,0.1,EnsembleSoft,LumA,f1,0.9617348117348118,0.0265319971028763,6
MissForest,0.1,EnsembleSoft,LumA,precision,0.9432539682539683,0.047581334272235654,6
MissForest,0.1,EnsembleSoft,LumA,recall,0.9824561403508771,0.0271788304997012,6
MissForest,0.1,EnsembleSoft,LumB,f1,0.8538461538461539,0.08689243843964883,6
MissForest,0.1,EnsembleSoft,LumB,precision,0.9095238095238094,0.10128427025634602,6
MissForest,0.1,EnsembleSoft,LumB,recall,0.8222222222222223,0.15006171569897006,6
MissForest,0.1,EnsembleSoft,Her2,f1,0.9144781144781146,0.0762520339601479,6
MissForest,0.1,EnsembleSoft,Her2,precision,0.938888888888889,0.095257934441568,6
MissForest,0.1,EnsembleSoft,Her2,recall,0.8999999999999999,0.1095445115010332,6
MissForest,0.1,EnsembleSoft,Basal,f1,0.9736842105263158,0.028827503026587722,6
MissForest,0.1,EnsembleSoft,Basal,precision,0.9833333333333334,0.04082482904638629,6
MissForest,0.1,EnsembleSoft,Basal,recall,0.9666666666666667,0.05163977794943222,6
