stage,imputer,model,missing_rate,replicate,fold,f1_macro,bal_acc,n_train,n_test,train_class_distribution,test_class_distribution,n_unique_predictions,degenerate_single_class_preds,f1_LumA,precision_LumA,recall_LumA,f1_LumB,precision_LumB,recall_LumB,f1_Her2,precision_Her2,recall_Her2,f1_Basal,precision_Basal,recall_Basal,seed
classification,SimpleMean,EnsembleSoft,0.1,0,1,0.8908825093035619,0.8868421052631579,78,39,"{'Basal': 19, 'Her2': 9, 'LumA': 38, 'LumB': 12}","{'Basal': 10, 'Her2': 5, 'LumA': 19, 'LumB': 5}",4,False,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.7272727272727273,0.6666666666666666,0.8,0.8888888888888888,1.0,0.8,1.0,1.0,1.0,18052
classification,SimpleMean,EnsembleSoft,0.1,0,2,0.9375,0.9166666666666666,78,39,"{'Basal': 19, 'Her2': 10, 'LumA': 38, 'LumB': 11}","{'Basal': 10, 'Her2': 4, 'LumA': 19, 'LumB': 6}",4,False,0.95,0.9047619047619048,1.0,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,18052
classification,SimpleMean,EnsembleSoft,0.1,0,3,0.903929539295393,0.8666666666666666,78,39,"{'Basal': 20, 'Her2': 9, 'LumA': 38, 'LumB': 11}","{'Basal': 9, 'Her2': 5, 'LumA': 19, 'LumB': 6}",4,False,0.926829268292683,0.8636363636363636,1.0,0.8,1.0,0.6666666666666666,0.8888888888888888,1.0,0.8,1.0,1.0,1.0,18052
classification,"KNN(k=5,dist)",EnsembleSoft,0.1,0,1,0.8908825093035619,0.8868421052631579,78,39,"{'Basal': 19, 'Her2': 9, 'LumA': 38, 'LumB': 12}","{'Basal': 10, 'Her2': 5, 'LumA': 19, 'LumB': 5}",4,False,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.7272727272727273,0.6666666666666666,0.8,0.8888888888888888,1.0,0.8,1.0,1.0,1.0,18052
classification,"KNN(k=5,dist)",EnsembleSoft,0.1,0,2,0.9375,0.9166666666666666,78,39,"{'Basal': 19, 'Her2': 10, 'LumA': 38, 'LumB': 11}","{'Basal': 10, 'Her2': 4, 'LumA': 19, 'LumB': 6}",4,False,0.95,0.9047619047619048,1.0,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,18052
classification,"KNN(k=5,dist)",EnsembleSoft,0.1,0,3,0.9375,0.9166666666666666,78,39,"{'Basal': 20, 'Her2': 9, 'LumA': 38, 'LumB': 11}","{'Basal': 9, 'Her2': 5, 'LumA': 19, 'LumB': 6}",4,False,0.95,0.9047619047619048,1.0,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,18052
classification,RFECA_SVR(k=5),EnsembleSoft,0.1,0,1,0.9368421052631579,0.9368421052631579,78,39,"{'Basal': 19, 'Her2': 9, 'LumA': 38, 'LumB': 12}","{'Basal': 10, 'Her2': 5, 'LumA': 19, 'LumB': 5}",4,False,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,18052
classification,RFECA_SVR(k=5),EnsembleSoft,0.1,0,2,0.9708624708624709,0.9583333333333334,78,39,"{'Basal': 19, 'Her2': 10, 'LumA': 38, 'LumB': 11}","{'Basal': 10, 'Her2': 4, 'LumA': 19, 'LumB': 6}",4,False,0.9743589743589743,0.95,1.0,0.9090909090909091,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,18052
classification,RFECA_SVR(k=5),EnsembleSoft,0.1,0,3,0.8790404040404041,0.8535087719298246,78,39,"{'Basal': 20, 'Her2': 9, 'LumA': 38, 'LumB': 11}","{'Basal': 9, 'Her2': 5, 'LumA': 19, 'LumB': 6}",4,False,0.9,0.8571428571428571,0.9473684210526315,0.7272727272727273,0.8,0.6666666666666666,0.8888888888888888,1.0,0.8,1.0,1.0,1.0,18052
classification,MissForest,EnsembleSoft,0.1,0,1,0.8965643274853801,0.875,78,39,"{'Basal': 19, 'Her2': 9, 'LumA': 38, 'LumB': 12}","{'Basal': 10, 'Her2': 5, 'LumA': 19, 'LumB': 5}",4,False,0.95,0.9047619047619048,1.0,0.8,0.8,0.8,0.8888888888888888,1.0,0.8,0.9473684210526315,1.0,0.9,18052
classification,MissForest,EnsembleSoft,0.1,0,2,1.0,1.0,78,39,"{'Basal': 19, 'Her2': 10, 'LumA': 38, 'LumB': 11}","{'Basal': 10, 'Her2': 4, 'LumA': 19, 'LumB': 6}",4,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18052
classification,MissForest,EnsembleSoft,0.1,0,3,0.9080419580419581,0.9035087719298245,78,39,"{'Basal': 20, 'Her2': 9, 'LumA': 38, 'LumB': 11}","{'Basal': 9, 'Her2': 5, 'LumA': 19, 'LumB': 6}",4,False,0.9230769230769231,0.9,0.9473684210526315,0.8,1.0,0.6666666666666666,0.9090909090909091,0.8333333333333334,1.0,1.0,1.0,1.0,18052
classification,SimpleMean,EnsembleSoft,0.1,1,1,0.8965643274853801,0.875,78,39,"{'Basal': 19, 'Her2': 9, 'LumA': 38, 'LumB': 12}","{'Basal': 10, 'Her2': 5, 'LumA': 19, 'LumB': 5}",4,False,0.95,0.9047619047619048,1.0,0.8,0.8,0.8,0.8888888888888888,1.0,0.8,0.9473684210526315,1.0,0.9,18053
classification,SimpleMean,EnsembleSoft,0.1,1,2,1.0,1.0,78,39,"{'Basal': 19, 'Her2': 10, 'LumA': 38, 'LumB': 11}","{'Basal': 10, 'Her2': 4, 'LumA': 19, 'LumB': 6}",4,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18053
classification,SimpleMean,EnsembleSoft,0.1,1,3,0.7995644599303137,0.7666666666666666,78,39,"{'Basal': 20, 'Her2': 9, 'LumA': 38, 'LumB': 11}","{'Basal': 9, 'Her2': 5, 'LumA': 19, 'LumB': 6}",4,False,0.926829268292683,0.8636363636363636,1.0,0.8,1.0,0.6666666666666666,0.5714285714285714,1.0,0.4,0.9,0.8181818181818182,1.0,18053
classification,"KNN(k=5,dist)",EnsembleSoft,0.1,1,1,0.8804318488529014,0.875,78,39,"{'Basal': 19, 'Her2': 9, 'LumA': 38, 'LumB': 12}","{'Basal': 10, 'Her2': 5, 'LumA': 19, 'LumB': 5}",4,False,0.9743589743589743,0.95,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.9473684210526315,1.0,0.9,18053
classification,"KNN(k=5,dist)",EnsembleSoft,0.1,1,2,1.0,1.0,78,39,"{'Basal': 19, 'Her2': 10, 'LumA': 38, 'LumB': 11}","{'Basal': 10, 'Her2': 4, 'LumA': 19, 'LumB': 6}",4,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18053
