stage,imputer,missing_rate,replicate,fold,n_train,n_test,train_test_overlap,imputer_object_id,correlation_source,has_corr_csv_path
imputation,SimpleMean,0.1,0,1,78,39,0,2443742245136,n/a,False
imputation,SimpleMean,0.1,0,2,78,39,0,2443742245776,n/a,False
imputation,SimpleMean,0.1,0,3,78,39,0,2443741787280,n/a,False
imputation,"KNN(k=5,dist)",0.1,0,1,78,39,0,2443742246736,n/a,False
imputation,"KNN(k=5,dist)",0.1,0,2,78,39,0,2443742247056,n/a,False
imputation,"KNN(k=5,dist)",0.1,0,3,78,39,0,2443741788496,n/a,False
imputation,RFECA_SVR(k=5),0.1,0,1,78,39,0,2443742246096,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.1,0,2,78,39,0,2443742244816,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.1,0,3,78,39,0,2443741789104,training_fold_X.corr(),False
imputation,MissForest,0.1,0,1,78,39,0,2443742247376,n/a,False
imputation,MissForest,0.1,0,2,78,39,0,2443742248656,n/a,False
imputation,MissForest,0.1,0,3,78,39,0,2443743392336,n/a,False
classification,SimpleMean,0.1,0,1,78,39,0,2443742928528,n/a,False
classification,SimpleMean,0.1,0,2,78,39,0,2443742924128,n/a,False
classification,SimpleMean,0.1,0,3,78,39,0,2443742921664,n/a,False
classification,"KNN(k=5,dist)",0.1,0,1,78,39,0,2443780384032,n/a,False
classification,"KNN(k=5,dist)",0.1,0,2,78,39,0,2443742614960,n/a,False
classification,"KNN(k=5,dist)",0.1,0,3,78,39,0,2443742554832,n/a,False
classification,RFECA_SVR(k=5),0.1,0,1,78,39,0,2443831364352,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.1,0,2,78,39,0,2443742617552,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.1,0,3,78,39,0,2443742555376,training_fold_X.corr(),False
classification,MissForest,0.1,0,1,78,39,0,2443743394576,n/a,False
classification,MissForest,0.1,0,2,78,39,0,2443743392656,n/a,False
classification,MissForest,0.1,0,3,78,39,0,2443743393616,n/a,False
imputation,SimpleMean,0.1,1,1,78,39,0,2443742929936,n/a,False
imputation,SimpleMean,0.1,1,2,78,39,0,2443742925008,n/a,False
imputation,SimpleMean,0.1,1,3,78,39,0,2443742928352,n/a,False
imputation,"KNN(k=5,dist)",0.1,1,1,78,39,0,2443742554560,n/a,False
imputation,"KNN(k=5,dist)",0.1,1,2,78,39,0,2443780637008,n/a,False
imputation,"KNN(k=5,dist)",0.1,1,3,78,39,0,2443780642896,n/a,False
imputation,RFECA_SVR(k=5),0.1,1,1,78,39,0,2443742557008,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.1,1,2,78,39,0,2443780642640,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.1,1,3,78,39,0,2443780643152,training_fold_X.corr(),False
imputation,MissForest,0.1,1,1,78,39,0,2443743389136,n/a,False
imputation,MissForest,0.1,1,2,78,39,0,2443761271824,n/a,False
imputation,MissForest,0.1,1,3,78,39,0,2443761285584,n/a,False
classification,SimpleMean,0.1,1,1,78,39,0,2443742928704,n/a,False
classification,SimpleMean,0.1,1,2,78,39,0,2443742924656,n/a,False
classification,SimpleMean,0.1,1,3,78,39,0,2443742932048,n/a,False
classification,"KNN(k=5,dist)",0.1,1,1,78,39,0,2441739300896,n/a,False
classification,"KNN(k=5,dist)",0.1,1,2,78,39,0,2441739299936,n/a,False
classification,"KNN(k=5,dist)",0.1,1,3,78,39,0,2441827072752,n/a,False
classification,RFECA_SVR(k=5),0.1,1,1,78,39,0,2441739290336,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.1,1,2,78,39,0,2443761419040,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.1,1,3,78,39,0,2441828084080,training_fold_X.corr(),False
classification,MissForest,0.1,1,1,78,39,0,2443761277264,n/a,False
classification,MissForest,0.1,1,2,78,39,0,2443761274704,n/a,False
classification,MissForest,0.1,1,3,78,39,0,2443743387216,n/a,False
