mechanism,missing_rate,rate_pct,method,model,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,n_reps,protocol
MAR,0.05,5,KNN,EnsembleSoft,0.8803363082962823,0.0030608148284732,0.8781467332708365,0.8825258833217281,10,imputer_within_cv
MAR,0.05,5,Mean,EnsembleSoft,0.8807230463647768,0.0051205418036576,0.8770600314232189,0.8843860613063348,10,imputer_within_cv
MAR,0.05,5,MissForest,EnsembleSoft,0.8805805867748587,0.0039509816338931,0.8777542247776899,0.8834069487720275,10,imputer_within_cv
MAR,0.05,5,OriginalRFECA,EnsembleSoft,0.8824652369467829,0.0051387875694452,0.8760845894273857,0.8888458844661802,5,post_target_wise_impute
MAR,0.1,10,KNN,EnsembleSoft,0.8778545991857504,0.0024091322240253,0.8761312098118974,0.8795779885596033,10,imputer_within_cv
MAR,0.1,10,Mean,EnsembleSoft,0.8743290626841953,0.0046444413787721,0.8710066294695148,0.8776514958988758,10,imputer_within_cv
MAR,0.1,10,MissForest,EnsembleSoft,0.8791786876085735,0.0033499378402484,0.8767822864399794,0.8815750887771677,10,imputer_within_cv
MAR,0.1,10,OriginalRFECA,EnsembleSoft,0.8789098886811282,0.0052393592504707,0.8724043649261628,0.8854154124360936,5,post_target_wise_impute
MAR,0.2,20,KNN,EnsembleSoft,0.8721681465435436,0.0045606098077506,0.8689056828221317,0.8754306102649555,10,imputer_within_cv
MAR,0.2,20,Mean,EnsembleSoft,0.8635717320954566,0.0041473727766595,0.8606048803380384,0.8665385838528747,10,imputer_within_cv
MAR,0.2,20,MissForest,EnsembleSoft,0.8707923202001207,0.0059688361479053,0.8665224720411092,0.8750621683591321,10,imputer_within_cv
MAR,0.2,20,OriginalRFECA,EnsembleSoft,0.8765333637551838,0.0072943198245242,0.867476269437688,0.8855904580726796,5,post_target_wise_impute
MAR,0.3,30,KNN,EnsembleSoft,0.848245423395533,0.0055822811608545,0.8442521000160458,0.8522387467750202,10,imputer_within_cv
MAR,0.3,30,Mean,EnsembleSoft,0.8480200851951301,0.010115055019838,0.8407842107324157,0.8552559596578444,10,imputer_within_cv
MAR,0.3,30,MissForest,EnsembleSoft,0.8606189427022096,0.0060980821699698,0.8562566375087451,0.8649812478956741,10,imputer_within_cv
MAR,0.3,30,OriginalRFECA,EnsembleSoft,0.8724649490886442,0.0035664335804867,0.868036636909769,0.8768932612675195,5,post_target_wise_impute
MCAR,0.05,5,KNN,EnsembleSoft,0.8812234101019347,0.002829928276654,0.8791990013658286,0.8832478188380408,10,imputer_within_cv
MCAR,0.05,5,Mean,EnsembleSoft,0.878740165462206,0.0047473556388957,0.8753441118208232,0.8821362191035889,10,imputer_within_cv
MCAR,0.05,5,MissForest,EnsembleSoft,0.881212014345808,0.0040612161226288,0.8783067953458461,0.8841172333457699,10,imputer_within_cv
MCAR,0.05,5,OriginalRFECA,EnsembleSoft,0.8820947897770415,0.0026523281224988,0.8788014894359113,0.8853880901181717,5,post_target_wise_impute
MCAR,0.1,10,KNN,EnsembleSoft,0.8756739489033232,0.0033317551878861,0.8732905548206652,0.8780573429859811,10,imputer_within_cv
MCAR,0.1,10,Mean,EnsembleSoft,0.8747997280647162,0.00433063653906,0.8717017773092507,0.8778976788201817,10,imputer_within_cv
MCAR,0.1,10,MissForest,EnsembleSoft,0.8786664667109548,0.0048787271879004,0.8751764355247433,0.8821564978971663,10,imputer_within_cv
MCAR,0.1,10,OriginalRFECA,EnsembleSoft,0.8771232344973182,0.0025073136350799,0.8740099934244341,0.8802364755702023,5,post_target_wise_impute
MCAR,0.2,20,KNN,EnsembleSoft,0.8691416635535306,0.004532914054715,0.8658990121803187,0.8723843149267425,10,imputer_within_cv
MCAR,0.2,20,Mean,EnsembleSoft,0.8660736598153809,0.0041595044481886,0.8630981295829534,0.8690491900478083,10,imputer_within_cv
MCAR,0.2,20,MissForest,EnsembleSoft,0.8741775961522379,0.0048625785806107,0.870699116983773,0.8776560753207028,10,imputer_within_cv
MCAR,0.2,20,OriginalRFECA,EnsembleSoft,0.8759837976830788,0.0067091276680472,0.8676533153983118,0.8843142799678457,5,post_target_wise_impute
MCAR,0.3,30,KNN,EnsembleSoft,0.8582261234591261,0.0055271498051771,0.8542722386756582,0.862180008242594,10,imputer_within_cv
MCAR,0.3,30,Mean,EnsembleSoft,0.8550846750816824,0.0073181240669084,0.8498496044916692,0.8603197456716956,10,imputer_within_cv
MCAR,0.3,30,MissForest,EnsembleSoft,0.8662237147375468,0.0054658655198199,0.8623136700908367,0.8701337593842569,10,imputer_within_cv
MCAR,0.3,30,OriginalRFECA,EnsembleSoft,0.87234855301097,0.0061285901103977,0.8647389033111416,0.8799582027107985,5,post_target_wise_impute
