mechanism,missing_rate,rate_pct,method,rmse_mean,rmse_std,mae_mean,mae_std,rv_mean,rv_std,n_reps,protocol
MCAR,0.05,5,Mean,1.0667378370555554,0.0164695201126553,0.7510738994345802,0.0089485718027308,0.9985714920820682,6.85819222551377e-05,10,stratified_cv_shared_mask
MCAR,0.05,5,KNN,0.6795133633865713,0.0162343663491611,0.4634372099649645,0.0072867039033116,0.9994371221355808,4.794530322921138e-05,10,stratified_cv_shared_mask
MCAR,0.05,5,MissForest,0.6172462402652915,0.01704227414004,0.41481543327683,0.007716666110769,0.9995316108810928,3.786161458452649e-05,10,stratified_cv_shared_mask
MCAR,0.05,5,OriginalRFECA,0.6126294477322902,0.0119509466333639,0.4053244002821504,0.0079740383887333,,,5,repeated_mask_holdout
MCAR,0.1,10,Mean,1.0632839529894025,0.0189482951957815,0.7468316593070492,0.0115441370211732,0.996612494297328,0.0001566426297372,10,stratified_cv_shared_mask
MCAR,0.1,10,KNN,0.6914800654508626,0.0103637924975604,0.468996341510552,0.0062145577825949,0.9987166407340518,6.830181012165321e-05,10,stratified_cv_shared_mask
MCAR,0.1,10,MissForest,0.6236001728353093,0.0080310636272177,0.4167330030561189,0.0051192596144812,0.9989516647384128,6.050940845562126e-05,10,stratified_cv_shared_mask
MCAR,0.1,10,OriginalRFECA,0.6146483301148795,0.007802960381589,0.4068570536465068,0.0030565786477224,,,5,repeated_mask_holdout
MCAR,0.2,20,Mean,1.0675325388276042,0.008749597363729,0.7506195095902716,0.0060874037471188,0.9903330879887284,0.0004898418411273,10,stratified_cv_shared_mask
MCAR,0.2,20,KNN,0.7095707550674925,0.0092240975475948,0.481820413678923,0.0047768700940189,0.9969743661175772,0.0001631316744862,10,stratified_cv_shared_mask
MCAR,0.2,20,MissForest,0.6371393598958995,0.0096680265450802,0.4259799108337049,0.0042537088509788,0.9976544752451604,0.0001169126960694,10,stratified_cv_shared_mask
MCAR,0.2,20,OriginalRFECA,0.6142628969911292,0.0047068809486148,0.4055136691507458,0.0023262797757009,,,5,repeated_mask_holdout
MCAR,0.3,30,Mean,1.068808469877248,0.0076304938010607,0.7538805993199806,0.0039173622643869,0.9795621827478052,0.0004570468563186,10,stratified_cv_shared_mask
MCAR,0.3,30,KNN,0.7335889223533446,0.0068566647650171,0.4992099225485283,0.0028687272704885,0.9945285305584186,0.0002255437714966,10,stratified_cv_shared_mask
MCAR,0.3,30,MissForest,0.6532032377531888,0.0041665588846812,0.4367002987725761,0.0026427261474583,0.9958367736412236,0.0001208100768061,10,stratified_cv_shared_mask
MCAR,0.3,30,OriginalRFECA,0.621264192718725,0.0041570160093942,0.4094874433077754,0.0024495027300725,,,5,repeated_mask_holdout
MAR,0.05,5,Mean,1.1688933346254948,0.0135932810470963,0.8278765175265456,0.0081412512414582,0.997764744198776,0.0001430072589325,10,stratified_cv_shared_mask
MAR,0.05,5,KNN,0.699695891558898,0.0094473519852428,0.4776743392176844,0.0053713692586287,0.9993058780812966,4.5788949755465086e-05,10,stratified_cv_shared_mask
MAR,0.05,5,MissForest,0.6290763935180603,0.0089534777094613,0.4260548307267256,0.0041134973218632,0.9994367754978134,3.891124137315224e-05,10,stratified_cv_shared_mask
MAR,0.05,5,OriginalRFECA,0.6414245784651376,0.0149237520316491,0.4207577855159299,0.0056612476614141,,,5,repeated_mask_holdout
MAR,0.1,10,Mean,1.1602141435329831,0.0105336394548158,0.8191159791076407,0.0086292289342679,0.9942925728728254,0.0002598746503197,10,stratified_cv_shared_mask
MAR,0.1,10,KNN,0.7098662056262381,0.0074867900623187,0.4831015859416337,0.0045693723049712,0.9984620111159136,8.981997458639289e-05,10,stratified_cv_shared_mask
MAR,0.1,10,MissForest,0.6427895028879883,0.0073955992662234,0.4306833769894324,0.0051900840075087,0.998757066163964,7.141456147274658e-05,10,stratified_cv_shared_mask
MAR,0.1,10,OriginalRFECA,0.6388336206778935,0.0113718176396135,0.4184835943168618,0.0055049852874773,,,5,repeated_mask_holdout
MAR,0.2,20,Mean,1.1491114075405715,0.0085308416258411,0.811289192301281,0.0049306168471537,0.9830501684053312,0.0005705152703977,10,stratified_cv_shared_mask
MAR,0.2,20,KNN,0.7507455341014431,0.0127468980543362,0.5089724819832424,0.0061903890805883,0.9961800963159358,0.0002790256851431,10,stratified_cv_shared_mask
MAR,0.2,20,MissForest,0.6721495670652327,0.0092166956372126,0.4452976071383976,0.0042721855108538,0.9971128483385948,0.0001772260532975,10,stratified_cv_shared_mask
MAR,0.2,20,OriginalRFECA,0.6397229901203969,0.0052415126709619,0.4192777664355106,0.002234236850189,,,5,repeated_mask_holdout
MAR,0.3,30,Mean,1.143003217234177,0.0079236549915709,0.8029062803284972,0.0045499475350507,0.966421453522794,0.0010114281626663,10,stratified_cv_shared_mask
MAR,0.3,30,KNN,0.856710260394444,0.0224566870704252,0.575010695042496,0.011255025036475,0.9924434633760824,0.0007322973225379,10,stratified_cv_shared_mask
MAR,0.3,30,MissForest,0.7052613170597014,0.0109290420958672,0.4650253873684155,0.0048173696828935,0.9950398714454506,0.000369987342359,10,stratified_cv_shared_mask
MAR,0.3,30,OriginalRFECA,0.6394937412851157,0.0021561704032664,0.4185684976745369,0.0023505010255108,,,5,repeated_mask_holdout
