mechanism,missing_rate,method,gene,rmse_mean,rmse_std,mae_mean,mae_std,n_reps
mar,0.05,KNN,ACTR3B,0.5578999895342205,0.08108751106949577,0.3574695638230696,0.04394810590630654,5
mar,0.05,KNN,ANLN,0.3625228340055414,0.061588154736460794,0.27460600989857537,0.05168496122670034,5
mar,0.05,KNN,BAG1,0.3072210712672434,0.032809143381634834,0.22855068778112858,0.015487702351196774,5
mar,0.05,KNN,BCL2,0.7067311996983816,0.08158225454775435,0.5616252923996885,0.06102581785041124,5
mar,0.05,KNN,BIRC5,0.5869545562019841,0.03225644277286915,0.43738137442728925,0.026601140361597997,5
mar,0.05,KNN,BLVRA,0.6860056660607243,0.08503736546773832,0.5241873989092087,0.06468612643393667,5
mar,0.05,KNN,CCNB1,0.48088207023506235,0.04176155441069322,0.364720613553358,0.028252117450453647,5
mar,0.05,KNN,CCNE1,0.5662685434843501,0.08532973734865794,0.3692463999498276,0.04935374002810776,5
mar,0.05,KNN,CDC20,0.5522525626927096,0.06145520399717986,0.4302114631266985,0.051178611601795064,5
mar,0.05,KNN,CDC6,0.2146228543765384,0.04892053956866091,0.14862364532080546,0.0199431186436605,5
mar,0.05,KNN,CDH3,0.8513083101191514,0.09658934872801532,0.6545738995072133,0.07361276193321431,5
mar,0.05,KNN,CENPF,0.5313503939933307,0.015536627357997655,0.39769284989385323,0.021588228319638254,5
mar,0.05,KNN,CEP55,0.40278814800953266,0.041162813421787195,0.30656685122720956,0.03389188754396519,5
mar,0.05,KNN,CXXC5,0.6418710597072066,0.0160850295475485,0.4900221636613389,0.007391334825366872,5
mar,0.05,KNN,EGFR,0.6746450472493708,0.1827394075601686,0.34754499383926135,0.0543966822397728,5
mar,0.05,KNN,ERBB2,0.8098759586423909,0.05527760006983233,0.5781379499196334,0.043829392635233985,5
mar,0.05,KNN,ESR1,0.9184195708009822,0.0628149035061351,0.7184345341303582,0.029079910666206382,5
mar,0.05,KNN,EXO1,0.37885271215018895,0.013103356237445046,0.28996945713756916,0.01847164236933326,5
mar,0.05,KNN,FGFR4,0.8201900199605585,0.1386024374531382,0.5739706498764299,0.05521644460932582,5
mar,0.05,KNN,FOXA1,0.7739732850302007,0.06923510912615173,0.4896709474058724,0.041746393577102796,5
mar,0.05,KNN,FOXC1,0.7194735789658269,0.08180918465728583,0.5403956342194103,0.055270116508880154,5
mar,0.05,KNN,GPR160,0.633330023200855,0.03412852750945794,0.500041795950853,0.032639216199678876,5
mar,0.05,KNN,GRB7,0.709269717085684,0.07024152893590806,0.5014366680992405,0.03888123536195425,5
mar,0.05,KNN,KIF2C,0.35090097125022224,0.037719404321615024,0.26986142657577866,0.023433391956814986,5
mar,0.05,KNN,KRT14,0.7945433189907857,0.1329868027633151,0.5408318658585759,0.05351781610173167,5
mar,0.05,KNN,KRT17,0.9500752977444517,0.09688620171374132,0.7429526303711176,0.07856608300554498,5
mar,0.05,KNN,KRT5,0.6543594183175238,0.07207297414478625,0.4093489946374541,0.033601586972041186,5
mar,0.05,KNN,MAPT,1.1622609412512452,0.18082062568917534,0.8821643203689635,0.14548609327272813,5
mar,0.05,KNN,MDM2,0.21829685886344757,0.03498861560840048,0.17017513078314034,0.024144113730295413,5
mar,0.05,KNN,MELK,0.48661807347343994,0.03809098959331733,0.36123847876477794,0.030955193016222265,5
mar,0.05,KNN,MIA,0.6449393935367043,0.12576913073090973,0.3904623432855446,0.06269755246151801,5
mar,0.05,KNN,MKI67,0.258991347630073,0.023809997052198547,0.19491477075804717,0.017149389287035383,5
mar,0.05,KNN,MLPH,0.733892078698309,0.07188782876944651,0.5724639523035753,0.061557766023850664,5
mar,0.05,KNN,MMP11,1.2795699731411592,0.09783280663933304,0.9963857973440022,0.06039949408166961,5
mar,0.05,KNN,MYBL2,0.18316522563307935,0.01203934032079426,0.14072891143484217,0.01274952981610072,5
mar,0.05,KNN,MYC,0.9125100518677227,0.04062955630196733,0.7205686953745349,0.047137710343382815,5
mar,0.05,KNN,NAT1,1.229708849213202,0.15628571080630266,0.9012304176065683,0.10933394411757623,5
mar,0.05,KNN,NDC80,0.3255320147611779,0.04745710012938535,0.24647729766878596,0.036705288046971846,5
mar,0.05,KNN,NUF2,0.3488825067592618,0.05800405140220788,0.2446003008632121,0.028455554866745655,5
mar,0.05,KNN,ORC6,0.44075581373152517,0.03384040972075209,0.3582927477348491,0.028707993656447998,5
mar,0.05,KNN,PGR,0.8847729574849753,0.06467227121681998,0.6484558745303576,0.054829130364414204,5
mar,0.05,KNN,PHGDH,0.9791170144930605,0.059155577130617545,0.7461736755820814,0.025099296551623986,5
