mechanism,missing_rate,replicate,method,rmse,mae
mar,0.05,0,KNN,0.7120331018583164,0.4733339699387998
mar,0.05,0,Mean,1.1840219318333511,0.8354278398674937
mar,0.05,0,MissForest,0.6421578222473756,0.425059626032546
mar,0.05,1,KNN,0.689569114802307,0.4723117124583374
mar,0.05,1,Mean,1.1433468159864886,0.8118254254854641
mar,0.05,1,MissForest,0.6250624549435982,0.4197663116279392
mar,0.05,2,KNN,0.6763302058550246,0.4624717390669333
mar,0.05,2,Mean,1.1672056285574095,0.8242871473230778
mar,0.05,2,MissForest,0.6223507747018232,0.4187708410209561
mar,0.05,3,KNN,0.7098464624100795,0.4782205275027522
mar,0.05,3,Mean,1.1626233425343293,0.8234042407520639
mar,0.05,3,MissForest,0.6343090336040431,0.4207476000068631
mar,0.05,4,KNN,0.69993249045911,0.4785097304113075
mar,0.05,4,Mean,1.186422351890902,0.8326803457678279
mar,0.05,4,MissForest,0.6367459432051875,0.4249329199681787
mar,0.1,0,KNN,0.718074824492845,0.4861621989492912
mar,0.1,0,Mean,1.185565809241499,0.8300184809141048
mar,0.1,0,MissForest,0.6607033847054387,0.4409584332995229
mar,0.1,1,KNN,0.6991618506698004,0.4717210888412297
mar,0.1,1,Mean,1.1660103322299993,0.8247512832296824
mar,0.1,1,MissForest,0.6249514273537827,0.419121210049955
mar,0.1,2,KNN,0.694671387972477,0.4744209828114855
mar,0.1,2,Mean,1.170505477142031,0.828321236184338
mar,0.1,2,MissForest,0.6353636178261685,0.4244279097233662
mar,0.1,3,KNN,0.7187013487791801,0.4875090897320578
mar,0.1,3,Mean,1.1806430426854198,0.8279932974797934
mar,0.1,3,MissForest,0.6474073980503519,0.4317393904272519
mar,0.1,4,KNN,0.7050303975725465,0.4749518883456446
mar,0.1,4,Mean,1.175042964284312,0.8241450205393963
mar,0.1,4,MissForest,0.6467637829787873,0.4291504201384299
mar,0.2,0,KNN,0.7322741737931849,0.4975168387597716
mar,0.2,0,Mean,1.1480654655813711,0.8091710262890309
mar,0.2,0,MissForest,0.6655957966621127,0.4408610111341846
mar,0.2,1,KNN,0.7314950392998414,0.4974304421446749
mar,0.2,1,Mean,1.1488489682902616,0.8086595623094134
mar,0.2,1,MissForest,0.6587445402837946,0.4362255537917803
mar,0.2,2,KNN,0.7343040096416986,0.4967404773320153
mar,0.2,2,Mean,1.1330406942517943,0.8012757874405876
mar,0.2,2,MissForest,0.6640366744045223,0.440534597310373
mar,0.2,3,KNN,0.755678058098893,0.5110165252912129
mar,0.2,3,Mean,1.1604053943509764,0.8151328369051418
mar,0.2,3,MissForest,0.6686729762939226,0.4450540553866678
mar,0.2,4,KNN,0.7485916666274595,0.506261700294446
mar,0.2,4,Mean,1.1445109053447184,0.8094915689507478
mar,0.2,4,MissForest,0.6670891389784191,0.4438502690716223
mar,0.3,0,KNN,0.855675984828284,0.5736529353343183
mar,0.3,0,Mean,1.1505743771556074,0.8038186174991706
mar,0.3,0,MissForest,0.6940658961438358,0.4554176680481931
mar,0.3,1,KNN,0.8548122792105881,0.571770056654889
mar,0.3,1,Mean,1.139876156855417,0.8017662849694176
mar,0.3,1,MissForest,0.6987114908555686,0.4583093492888926
mar,0.3,2,KNN,0.831063609128683,0.560541572436339
mar,0.3,2,Mean,1.1434932551275514,0.8020516199045264
mar,0.3,2,MissForest,0.7001293969847122,0.4571470377750707
mar,0.3,3,KNN,0.8370013099151195,0.5651576915172958
mar,0.3,3,Mean,1.146159997056346,0.8061052550255033
mar,0.3,3,MissForest,0.6930845390477319,0.4579185447844214
mar,0.3,4,KNN,0.8425566652927999,0.5701639194121965
mar,0.3,4,Mean,1.142771691446987,0.8052854321683436
mar,0.3,4,MissForest,0.7083922495709669,0.4632699308043406
mcar,0.05,0,KNN,0.6799158224120218,0.4617724477537031
mcar,0.05,0,Mean,1.0496092732374749,0.7355202829765867
mcar,0.05,0,MissForest,0.6133334351306403,0.4127994079923909
mcar,0.05,1,KNN,0.6727337816557485,0.4504455574019458
mcar,0.05,1,Mean,1.0567877944378534,0.7451941227667608
mcar,0.05,1,MissForest,0.611121150857235,0.4037373551437684
mcar,0.05,2,KNN,0.6660689942833138,0.4586149180261022
mcar,0.05,2,Mean,1.0694842120259551,0.7566245642999946
mcar,0.05,2,MissForest,0.6025375069368748,0.4103636427906256
mcar,0.05,3,KNN,0.6779435514130572,0.4715823250814796
mcar,0.05,3,Mean,1.0690770398230744,0.7600070526254907
mcar,0.05,3,MissForest,0.6190712578043385,0.4229430048456398
mcar,0.05,4,KNN,0.6628249577455458,0.4544128159682876
mcar,0.05,4,Mean,1.0379886488309875,0.7409596390701683
