gene,Mean_rmse,KNN_rmse,MissForest_rmse,OriginalRFECA_rmse,Mean_mae,KNN_mae,MissForest_mae,OriginalRFECA_mae,data_availability,note,rmse_global_available,best_method_rmse,worst_method_rmse,delta_best_worst,cv_across_methods,ranking_rmse
MMP11,,,,1.2766790856231602,,,,0.99577607821644,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,1.2766790856231602,,,,,OriginalRFECA (only available)
NAT1,,,,1.2105585966117511,,,,0.9371857627088364,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,1.2105585966117511,,,,,OriginalRFECA (only available)
MAPT,,,,1.0642943894913182,,,,0.8105725529120754,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,1.0642943894913182,,,,,OriginalRFECA (only available)
SFRP1,,,,0.9990788949848254,,,,0.6938334839190399,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.9990788949848254,,,,,OriginalRFECA (only available)
SLC39A6,,,,0.961265257736231,,,,0.7645959180224262,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.961265257736231,,,,,OriginalRFECA (only available)
ESR1,,,,0.9581466707033595,,,,0.7524464537107487,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.9581466707033595,,,,,OriginalRFECA (only available)
PHGDH,,,,0.9372870519427503,,,,0.7343327989895986,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.9372870519427503,,,,,OriginalRFECA (only available)
CDH3,,,,0.8439550084936422,,,,0.623208721408578,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.8439550084936422,,,,,OriginalRFECA (only available)
PGR,,,,0.8332748655160769,,,,0.6365196304504084,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.8332748655160769,,,,,OriginalRFECA (only available)
FGFR4,,,,0.8309742483821834,,,,0.5648873283087765,OriginalRFECA_only,Mean/KNN/MissForest per-gene RMSE not stored in final baseline artifacts (fold-level aggregates only).,0.8309742483821834,,,,,OriginalRFECA (only available)
