gene,Mean,KNN,MissForest,OriginalRFECA,rmse_global
NAT1,1.9715971160572765,1.3421316567788009,1.2380035985209927,1.2105585966117511,1.4405727419922052
MMP11,1.3894554035317275,1.3279711581791929,1.2293498101212985,1.2766790856231602,1.3058638643638447
ESR1,2.1734083442519037,1.0226450931823772,0.9065727463311359,0.9581466707033595,1.2651932136171942
MAPT,1.5645409734397737,1.1707075095883652,1.0801328754156991,1.0642943894913182,1.219918936983789
SLC39A6,1.6557799564383273,1.146891782062653,1.0175717290316058,0.9612652577362308,1.1953771813172043
SFRP1,1.679998804360385,1.0865425248358982,0.9551903793949671,0.9990788949848255,1.1802026508940189
PHGDH,1.355943718971857,1.0506056329368687,0.9630952609773908,0.9372870519427502,1.0767329162072168
KRT17,1.659143436871301,1.0115458424775376,0.7615169785353816,0.7893555397196279,1.055390449400962
CDH3,1.2943383704698657,0.8931613230020553,0.8100666611465807,0.8439550084936424,0.960380340778036
MLPH,1.7224853397502455,0.7694288994030595,0.686331916768935,0.6629347579723058,0.9602952284736365
FOXC1,1.4917888956995342,0.7969655979031274,0.7390997360077124,0.7409847952438454,0.942209756213555
MYC,1.1059076757041792,0.9461776096327627,0.8725528008210676,0.8281869684907331,0.9382062636621856
FOXA1,1.8045023593322362,0.6607039321974552,0.5847312121441924,0.5986258954181845,0.912140849773017
PGR,1.0444133230303694,0.8871459202808238,0.8425534337532173,0.8332748655160768,0.9018468856451218
KRT14,1.2954409151328319,0.8891306301008115,0.7213396525404209,0.6969826756826437,0.9007234683641769
FGFR4,1.0252900620944096,0.8703693374404138,0.83347811891939,0.8309742483821834,0.8900279417090993
ERBB2,1.3285559720286195,0.8803485753788662,0.7151160955069982,0.5476466249903909,0.8679168169762187
BCL2,1.1072722175876415,0.7532968209712823,0.6933212392821282,0.660495939156562,0.8035965542494035
GRB7,1.2084730202207077,0.7924440968002767,0.6358201105087644,0.5183376510060024,0.7887687196339378
KRT5,1.1699951151316674,0.6914012616680096,0.5972756075740917,0.590013164965402,0.7621712873347928
EGFR,0.8940836607360686,0.6785398629704286,0.6529202789701173,0.6434037137793223,0.7172368791139843
BLVRA,0.7623642122532214,0.6908041736083557,0.6531788915221041,0.6147611738125759,0.6802771127990643
GPR160,0.8432645274350823,0.6594194462103269,0.6102757250473725,0.5948987733613078,0.6769646180135225
UBE2C,1.2598382083598616,0.5742699723127791,0.4467903787722695,0.4095151346455775,0.6726034235226219
CXXC5,0.8605420912881444,0.6393429793818993,0.609150555777273,0.5639617171192127,0.6682493358916324
BIRC5,1.0042996237408408,0.5812873566372168,0.5245759264710053,0.5092012364004606,0.6548410358123808
CDC20,1.2305428422564941,0.5901998496532195,0.4277065834170257,0.370638619498406,0.6547719737062863
TYMS,0.9160289237723827,0.6184798532020253,0.5165485394397271,0.4899987779805855,0.6352640235986802
CCNE1,0.9160955739703027,0.5541355998185306,0.4913209742741407,0.48973553534379666,0.6128219208516926
ACTR3B,0.7590818355946436,0.5665871221647223,0.5320929193930343,0.5463843063887112,0.6010365458852778
MIA,0.7458618475529545,0.5661586469854158,0.5074145431955799,0.49466095409622496,0.5785239979575437
CENPF,0.8699665054672685,0.5492190466852112,0.45800351917855725,0.4034957556973137,0.5701712067570877
PTTG1,0.9872873497920243,0.4996852840417395,0.4090369244472431,0.37804167665943667,0.5685128087351109
MELK,0.990503665788809,0.4921976178617903,0.4103708086417143,0.3806058992840402,0.5684194978940884
TMEM45B,0.6094517489846251,0.5359441054665537,0.5088179725426214,0.5117612044946442,0.5414937578721111
UBE2T,0.8257106992184997,0.518879452530925,0.41697674129356677,0.37655411973890496,0.5345302531954741
CCNB1,0.6355384833884518,0.4678602317758832,0.3868570564511656,0.3525789172586589,0.46070867221853984
EXO1,0.7965450607410903,0.39734516579651585,0.3292137842561731,0.30358172278667306,0.45667143339511307
CEP55,0.7808656721714117,0.38027618210259806,0.30874764828962054,0.27967227227302116,0.43739044370916286
KIF2C,0.8064646871039339,0.3716005083283526,0.27600618997134535,0.25786475910210277,0.42798403612643365
ORC6,0.433984489588996,0.431630834240598,0.4012925582475444,0.3846938361230282,0.4129004295500417
ANLN,0.6207637878514869,0.36238669240299737,0.3136868369463894,0.30580023814807783,0.40065938883723784
RRM2,0.49760863354375295,0.3981473568460778,0.3555465156975329,0.340952505339553,0.3980637528567292
NUF2,0.4324413173912566,0.35336221369553816,0.29979149627803114,0.28238476758423986,0.3419949487372665
NDC80,0.5035057433346631,0.3242065335546394,0.25818715889326876,0.23106795927536397,0.3292418487644838
BAG1,0.3377577593970198,0.333340375576698,0.3176902320541011,0.31099308188316865,0.32494536222774684
MKI67,0.3598286890059605,0.2506751519814926,0.22453924913175563,0.2123243376585127,0.26184185694443035
MDM2,0.23119899610380978,0.23672815354825466,0.222949677883843,0.21975918462707011,0.22765900304074438
CDC6,0.23810048499358735,0.22737524469909992,0.21161723742121466,0.21267879663178468,0.22244294093642164
MYBL2,0.16992370403210402,0.18406358904883346,0.17059932680446982,0.16553030224594267,0.17252923053283747
