method,mechanism,missing_rate,replicate,seed,rmse,mae,wall_seconds,svr_coverage,fallback_rate,classification,n_predictor_nans,mean_n_predictors,mean_prefix_len,fit_seconds,transform_seconds,rss_before,rss_after,workers
OriginalRFECA,MCAR,0.05,0,50042,0.6107631328917148,0.4028106636086227,6979.155082300014,1.0,0.0,A,0,21.72,43.94,6978.786118599994,0.1339968999964185,167.3984375,184.8984375,16
OriginalRFECA,MCAR,0.05,1,1050045,0.6128626735278541,0.3985806843926208,6282.6860143000085,1.0,0.0,A,0,22.66,45.78,6282.414511300012,0.11628930000006221,172.25390625,171.41796875,16
OriginalRFECA,MCAR,0.05,2,2050048,0.6267313411728871,0.4138948991892275,5972.223493700003,1.0,0.0,A,0,21.86,44.28,5971.940125699999,0.11517429997911677,158.671875,171.671875,16
OriginalRFECA,MCAR,0.05,3,3050051,0.6184607828978039,0.4136945567679597,6153.72592550001,1.0,0.0,A,0,22.26,45.02,6153.453566499986,0.11654260000796057,159.2109375,172.2890625,16
OriginalRFECA,MCAR,0.05,4,4050054,0.5943293081711918,0.3976411974523214,6132.275483399979,1.0,0.0,A,0,22.22,44.9,6131.999712399993,0.10967589999199845,159.05859375,171.95703125,16
OriginalRFECA,MCAR,0.1,0,100042,0.6252048164625302,0.41086963230270723,5214.806193000004,1.0,0.0,A,0,22.68,45.9,5214.442942900001,0.166593499998271,170.15625,191.375,16
OriginalRFECA,MCAR,0.1,1,1100045,0.6192621529081638,0.406687634547618,4955.4133449,1.0,0.0,A,0,21.74,43.9,4955.082748299996,0.17477840000356082,179.8828125,192.0546875,16
OriginalRFECA,MCAR,0.1,2,2100048,0.6089959488632618,0.4034432463788689,4905.470468499996,1.0,0.0,A,0,21.58,43.66,4905.162571600005,0.16302740000537597,180.16796875,192.0390625,16
OriginalRFECA,MCAR,0.1,3,3100051,0.6057922263981441,0.4044635073746678,4893.8647144999995,1.0,0.0,A,0,22.04,44.68,4893.550462600004,0.16624950000550598,180.328125,192.5234375,16
OriginalRFECA,MCAR,0.1,4,4100054,0.6139865059422975,0.4088212476286723,5186.896190700005,1.0,0.0,A,0,21.88,44.28,5186.586599799994,0.16201379999984056,181.31640625,192.37109375,16
OriginalRFECA,MCAR,0.2,0,200042,0.6210393322162794,0.40806372032054955,3268.3827047,1.0,0.0,A,0,20.96,42.42,3267.8183439,0.28679239999974016,166.71875,185.69921875,16
OriginalRFECA,MCAR,0.2,1,1200045,0.6144334700654961,0.40652908219453165,2880.7537009999996,1.0,0.0,A,0,21.26,42.98,2880.2590020999996,0.2646141000004718,166.58203125,185.53515625,16
