mechanism,missing_rate,gene,mean_pairwise_jaccard
MAR,0.05,ACTR3B,0.6847921616115019
MAR,0.05,ANLN,0.6938388559078215
MAR,0.05,BAG1,0.7462389092389092
MAR,0.05,BCL2,0.708753680546784
MAR,0.05,BIRC5,0.6823538820701291
MAR,0.05,BLVRA,0.7213891970098867
MAR,0.05,CCNB1,0.7015954415954415
MAR,0.05,CCNE1,0.8638573021181717
MAR,0.05,CDC20,0.7680262780697563
MAR,0.05,CDC6,0.3923137207619966
MAR,0.05,CDH3,0.7929021164021164
MAR,0.05,CENPF,0.7456181774802464
MAR,0.05,CEP55,0.8859999999999999
MAR,0.05,CXXC5,0.8692222222222222
MAR,0.05,EGFR,0.694015448319796
MAR,0.05,ERBB2,0.8141078551078552
MAR,0.05,ESR1,0.7993530020703934
MAR,0.05,EXO1,0.7883866940368826
MAR,0.05,FGFR4,0.8230720390720391
MAR,0.05,FOXA1,0.8980072463768115
MAR,0.05,FOXC1,0.7989508237334324
MAR,0.05,GPR160,0.7089065723548482
MAR,0.05,GRB7,0.7606190476190476
MAR,0.05,KIF2C,0.623239365360055
MAR,0.05,KRT14,0.6978206543858718
MAR,0.05,KRT17,0.85
MAR,0.05,KRT5,0.633854013164358
MAR,0.05,MAPT,0.7151126435876158
MAR,0.05,MDM2,0.5596199723998726
MAR,0.05,MELK,0.6063714022109825
MAR,0.05,MIA,0.7631159951159951
MAR,0.05,MKI67,0.680670105118381
MAR,0.05,MLPH,0.6014059758887345
MAR,0.05,MMP11,0.6834278907554769
MAR,0.05,MYBL2,0.7093954248366013
MAR,0.05,MYC,0.7602068965517241
MAR,0.05,NAT1,0.7769173789173789
MAR,0.05,NDC80,0.8076556776556776
MAR,0.05,NUF2,0.7308013468013468
MAR,0.05,ORC6,0.7770020350020349
MAR,0.05,PGR,0.7851037851037851
MAR,0.05,PHGDH,0.7987789987789988
MAR,0.05,PTTG1,0.7866275946275947
MAR,0.05,RRM2,0.7868490028490028
MAR,0.05,SFRP1,0.7173271116966768
MAR,0.05,SLC39A6,0.7998144078144078
MAR,0.05,TMEM45B,0.5967863528553183
MAR,0.05,TYMS,0.7582051282051283
MAR,0.05,UBE2C,0.8880641025641026
MAR,0.05,UBE2T,0.7347515455558934
MAR,0.1,ACTR3B,0.5615583570222057
MAR,0.1,ANLN,0.7091098901098901
MAR,0.1,BAG1,0.7111865465313741
MAR,0.1,BCL2,0.7847374847374847
MAR,0.1,BIRC5,0.5999721140796656
MAR,0.1,BLVRA,0.7332622321317974
MAR,0.1,CCNB1,0.6799226110683285
MAR,0.1,CCNE1,0.8198005698005698
MAR,0.1,CDC20,0.6661668170798606
MAR,0.1,CDC6,0.5464929514929515
MAR,0.1,CDH3,0.659474730888524
MAR,0.1,CENPF,0.6690921084024531
MAR,0.1,CEP55,0.839679487179487
MAR,0.1,CXXC5,0.7547219064460443
MAR,0.1,EGFR,0.6804430199430199
MAR,0.1,ERBB2,0.7314825481032378
