method,mechanism,missing_rate,n,rmse_mean,rmse_std,rmse_cv,rmse_range
Mean,MCAR,0.05,10,1.0667378370555554,0.016469520112655324,0.015439144971284633,0.048609797718096814
Mean,MCAR,0.1,10,1.0632839529894023,0.01894829519578156,0.01782054092183823,0.05081704294666922
Mean,MCAR,0.2,10,1.0675325388276042,0.008749597363729033,0.008196094306725394,0.029308120579174313
Mean,MCAR,0.3,10,1.0688084698772478,0.007630493801060718,0.007139252743699792,0.021462150860888096
Mean,MAR,0.05,10,1.1688933346254948,0.013593281047096336,0.011629188604665563,0.042281750589738154
Mean,MAR,0.1,10,1.1602141435329831,0.010533639454815863,0.009079047616795758,0.029438807424218005
Mean,MAR,0.2,10,1.1491114075405715,0.008530841625841166,0.00742385948817584,0.026304490514209355
Mean,MAR,0.3,10,1.143003217234177,0.007923654991570928,0.006932312063604226,0.02395728618578441
KNN,MCAR,0.05,10,0.6795133633865713,0.01623436634916113,0.02389116568400067,0.05011472486414226
KNN,MCAR,0.1,10,0.6914800654508626,0.010363792497560455,0.014987839874751847,0.03314626838198076
KNN,MCAR,0.2,10,0.7095707550674925,0.009224097547594809,0.012999545826430568,0.028629207895128905
KNN,MCAR,0.3,10,0.7335889223533446,0.006856664765017187,0.009346739783121434,0.021691799933903244
KNN,MAR,0.05,10,0.699695891558898,0.009447351985242882,0.013502082975211577,0.02701491972598835
KNN,MAR,0.1,10,0.7098662056262381,0.007486790062318727,0.010546762196847985,0.023097854697151088
KNN,MAR,0.2,10,0.7507455341014431,0.012746898054336254,0.016978986188166727,0.04406891149374892
KNN,MAR,0.3,10,0.856710260394444,0.02245668707042527,0.02621269769791928,0.07780241648655883
MissForest,MCAR,0.05,10,0.6172462402652915,0.017042274140040056,0.027610170833467226,0.05884916377344929
MissForest,MCAR,0.1,10,0.6236001728353093,0.008031063627217777,0.012878546185616202,0.028322586111933723
MissForest,MCAR,0.2,10,0.6371393598958995,0.009668026545080248,0.015174115984075887,0.028827426192017613
MissForest,MCAR,0.3,10,0.6532032377531888,0.004166558884681286,0.00637865620356219,0.01555139784387527
MissForest,MAR,0.05,10,0.6290763935180603,0.008953477709461345,0.014232735168124374,0.0319305399489479
MissForest,MAR,0.1,10,0.6427895028879883,0.007395599266223464,0.011505476105312523,0.02254301264307168
MissForest,MAR,0.2,10,0.6721495670652327,0.009216695637212613,0.013712268948494503,0.031147057288944846
MissForest,MAR,0.3,10,0.7052613170597014,0.01092904209586728,0.015496443419626997,0.038055384359220845
OriginalRFECA,MCAR,0.05,5,0.6126294477322902,0.01195094663336397,0.019507626800509843,0.03240203300169531
OriginalRFECA,MCAR,0.1,5,0.6146483301148795,0.007802960381589046,0.012694999724689158,0.019412590064386115
OriginalRFECA,MCAR,0.2,5,0.6142628969911292,0.0047068809486148985,0.0076626489597057205,0.012582413046951846
OriginalRFECA,MCAR,0.3,5,0.621264192718725,0.004157016009394264,0.0066912209944092775,0.010439650360105746
OriginalRFECA,MAR,0.05,5,0.6414245784651376,0.014923752031649173,0.023266573394116207,0.04115835602793827
OriginalRFECA,MAR,0.1,5,0.6388336206778935,0.011371817639613528,0.017800906639112716,0.031478419725053275
OriginalRFECA,MAR,0.2,5,0.6397229901203969,0.005241512670961932,0.008193409885074587,0.012788620844490839
OriginalRFECA,MAR,0.3,5,0.6394937412851157,0.0021561704032664855,0.00337168335523266,0.005307573903809426
