cohort,mechanism,missing_rate,metric,higher_is_better,n_blocks,n_imputers,friedman_chi2,p_value,mean_rank__Mean,mean_value__Mean,mean_rank__KNN,mean_value__KNN,mean_rank__MissForest,mean_value__MissForest
METABRIC,MCAR,0.05,rmse,False,10,3,20.0,4.539992976248486e-05,3.0,1.0667378370555554,2.0,0.6795133633865713,1.0,0.6172462402652915
METABRIC,MCAR,0.05,mae,False,10,3,20.0,4.539992976248486e-05,3.0,0.7510738994345802,2.0,0.4634372099649645,1.0,0.41481543327683007
METABRIC,MCAR,0.05,corr_rv,True,10,3,20.0,4.539992976248486e-05,3.0,0.9985714920820682,2.0,0.9994371221355808,1.0,0.9995316108810928
METABRIC,MCAR,0.05,f1_macro,True,10,3,2.4000000000000057,0.3011942119122012,2.4,0.878740165462206,1.8,0.8812234101019347,1.8,0.881212014345808
METABRIC,MCAR,0.1,rmse,False,10,3,20.0,4.539992976248486e-05,3.0,1.0632839529894023,2.0,0.6914800654508626,1.0,0.6236001728353093
METABRIC,MCAR,0.1,mae,False,10,3,20.0,4.539992976248486e-05,3.0,0.7468316593070492,2.0,0.46899634151055203,1.0,0.4167330030561189
METABRIC,MCAR,0.1,corr_rv,True,10,3,20.0,4.539992976248486e-05,3.0,0.9966124942973277,2.0,0.9987166407340518,1.0,0.9989516647384129
METABRIC,MCAR,0.1,f1_macro,True,10,3,1.8000000000000114,0.4065696597405968,2.3,0.8747997280647162,2.0,0.8756739489033232,1.7,0.8786664667109548
METABRIC,MCAR,0.2,rmse,False,10,3,20.0,4.539992976248486e-05,3.0,1.0675325388276042,2.0,0.7095707550674925,1.0,0.6371393598958995
METABRIC,MCAR,0.2,mae,False,10,3,20.0,4.539992976248486e-05,3.0,0.7506195095902716,2.0,0.4818204136789229,1.0,0.42597991083370496
METABRIC,MCAR,0.2,corr_rv,True,10,3,20.0,4.539992976248486e-05,3.0,0.9903330879887285,2.0,0.9969743661175773,1.0,0.9976544752451604
METABRIC,MCAR,0.2,f1_macro,True,10,3,14.599999999999994,0.0006755387751938461,2.8,0.8660736598153809,2.1,0.8691416635535306,1.1,0.8741775961522379
METABRIC,MCAR,0.3,rmse,False,10,3,20.0,4.539992976248486e-05,3.0,1.0688084698772478,2.0,0.7335889223533446,1.0,0.6532032377531888
METABRIC,MCAR,0.3,mae,False,10,3,20.0,4.539992976248486e-05,3.0,0.7538805993199806,2.0,0.49920992254852836,1.0,0.4367002987725761
METABRIC,MCAR,0.3,corr_rv,True,10,3,20.0,4.539992976248486e-05,3.0,0.9795621827478052,2.0,0.9945285305584186,1.0,0.9958367736412237
METABRIC,MCAR,0.3,f1_macro,True,10,3,12.200000000000017,0.0022428677194857843,2.4,0.8550846750816824,2.5,0.8582261234591261,1.1,0.8662237147375468
METABRIC,MAR,0.05,rmse,False,10,3,20.0,4.539992976248486e-05,3.0,1.1688933346254948,2.0,0.699695891558898,1.0,0.6290763935180603
METABRIC,MAR,0.05,mae,False,10,3,20.0,4.539992976248486e-05,3.0,0.8278765175265456,2.0,0.47767433921768443,1.0,0.4260548307267255
METABRIC,MAR,0.05,corr_rv,True,10,3,20.0,4.539992976248486e-05,3.0,0.9977647441987761,2.0,0.9993058780812966,1.0,0.9994367754978134
METABRIC,MAR,0.05,f1_macro,True,10,3,0.6000000000000085,0.7408182206817147,1.9,0.8807230463647768,2.2,0.8803363082962823,1.9,0.8805805867748587
METABRIC,MAR,0.1,rmse,False,10,3,20.0,4.539992976248486e-05,3.0,1.1602141435329831,2.0,0.7098662056262381,1.0,0.6427895028879883
METABRIC,MAR,0.1,mae,False,10,3,20.0,4.539992976248486e-05,3.0,0.8191159791076407,2.0,0.48310158594163377,1.0,0.4306833769894324
METABRIC,MAR,0.1,corr_rv,True,10,3,20.0,4.539992976248486e-05,3.0,0.9942925728728254,2.0,0.9984620111159137,1.0,0.9987570661639642
METABRIC,MAR,0.1,f1_macro,True,10,3,6.200000000000003,0.04504920239355775,2.5,0.8743290626841953,2.1,0.8778545991857504,1.4,0.8791786876085735
METABRIC,MAR,0.2,rmse,False,10,3,20.0,4.539992976248486e-05,3.0,1.1491114075405715,2.0,0.7507455341014431,1.0,0.6721495670652327
METABRIC,MAR,0.2,mae,False,10,3,20.0,4.539992976248486e-05,3.0,0.811289192301281,2.0,0.5089724819832424,1.0,0.44529760713839767
METABRIC,MAR,0.2,corr_rv,True,10,3,20.0,4.539992976248486e-05,3.0,0.9830501684053313,2.0,0.9961800963159358,1.0,0.9971128483385948
METABRIC,MAR,0.2,f1_macro,True,10,3,12.599999999999994,0.001836304777028912,2.9,0.8635717320954566,1.4,0.8721681465435436,1.7,0.8707923202001207
METABRIC,MAR,0.3,rmse,False,10,3,20.0,4.539992976248486e-05,3.0,1.143003217234177,2.0,0.856710260394444,1.0,0.7052613170597014
METABRIC,MAR,0.3,mae,False,10,3,20.0,4.539992976248486e-05,3.0,0.8029062803284972,2.0,0.575010695042496,1.0,0.4650253873684155
METABRIC,MAR,0.3,corr_rv,True,10,3,20.0,4.539992976248486e-05,3.0,0.966421453522794,2.0,0.9924434633760825,1.0,0.9950398714454506
METABRIC,MAR,0.3,f1_macro,True,10,3,15.200000000000017,0.0005004514334406062,2.4,0.8480200851951301,2.6,0.848245423395533,1.0,0.8606189427022096
