cohort,mechanism,missing_rate,metric,higher_is_better,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,wilcoxon_stat,p_value,rank_biserial_r,n_pairs,n_boot,p_holm
METABRIC,MCAR,0.05,rmse,False,Mean,KNN,1.0667378370555554,0.6795133633865713,0.38722447366898405,0.37656063902372167,0.3974445777900983,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.05,rmse,False,Mean,MissForest,1.0667378370555554,0.6172462402652915,0.44949159679026385,0.43807531208653877,0.460222453989904,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.05,rmse,False,KNN,MissForest,0.6795133633865713,0.6172462402652915,0.0622671231212798,0.05781378110878705,0.06638442113092455,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.05,mae,False,Mean,KNN,0.7510738994345802,0.4634372099649645,0.28763668946961574,0.28252527540450734,0.29314016436864965,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.05,mae,False,Mean,MissForest,0.7510738994345802,0.41481543327683007,0.3362584661577502,0.33063165220758844,0.3420152114209126,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.05,mae,False,KNN,MissForest,0.4634372099649645,0.41481543327683007,0.048621776688134444,0.04606186705039484,0.0509976162935113,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.05,corr_rv,True,Mean,KNN,0.9985714920820682,0.9994371221355808,-0.0008656300535125894,-0.0009062316132013446,-0.0008235227564518897,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MCAR,0.05,corr_rv,True,Mean,MissForest,0.9985714920820682,0.9995316108810928,-0.0009601187990245785,-0.0010041145527860064,-0.0009183829131172796,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MCAR,0.05,corr_rv,True,KNN,MissForest,0.9994371221355808,0.9995316108810928,-9.448874551198916e-05,-0.0001026015732153071,-8.634151198343321e-05,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MCAR,0.05,f1_macro,True,Mean,KNN,0.878740165462206,0.8812234101019347,-0.00248324463972871,-0.004921854933283046,-0.00014350277770466596,10.0,0.083984375,-0.4,10,5000,0.251953125
METABRIC,MCAR,0.05,f1_macro,True,Mean,MissForest,0.878740165462206,0.881212014345808,-0.002471848883601968,-0.005253101492357857,0.0006656649558556387,13.0,0.16015625,-0.4,10,5000,0.3203125
METABRIC,MCAR,0.05,f1_macro,True,KNN,MissForest,0.8812234101019347,0.881212014345808,1.139575612674193e-05,-0.0012848356380137926,0.001522835526099559,24.0,0.76953125,0.0,10,5000,0.76953125
METABRIC,MCAR,0.1,rmse,False,Mean,KNN,1.0632839529894023,0.6914800654508626,0.37180388753853966,0.3617933405333834,0.3837524073182462,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.1,rmse,False,Mean,MissForest,1.0632839529894023,0.6236001728353093,0.43968378015409293,0.42999839505760934,0.4505598090133408,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.1,rmse,False,KNN,MissForest,0.6914800654508626,0.6236001728353093,0.06787989261555327,0.06386990077036507,0.07171667026505264,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.1,mae,False,Mean,KNN,0.7468316593070492,0.46899634151055203,0.27783531779649717,0.2719062755628427,0.28410880635681596,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.1,mae,False,Mean,MissForest,0.7468316593070492,0.4167330030561189,0.3300986562509303,0.32420165347696384,0.33597300260288976,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.1,mae,False,KNN,MissForest,0.46899634151055203,0.4167330030561189,0.05226333845443315,0.049687829933999186,0.05476019614502792,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.1,corr_rv,True,Mean,KNN,0.9966124942973277,0.9987166407340518,-0.0021041464367240748,-0.0022008060474465645,-0.0020201274181149993,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MCAR,0.1,corr_rv,True,Mean,MissForest,0.9966124942973277,0.9989516647384129,-0.0023391704410852254,-0.0024267250522746007,-0.002261174997300094,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MCAR,0.1,corr_rv,True,KNN,MissForest,0.9987166407340518,0.9989516647384129,-0.00023502400436115067,-0.0002633945686915104,-0.0002076029322239778,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MCAR,0.1,f1_macro,True,Mean,KNN,0.8747997280647162,0.8756739489033232,-0.0008742208386069983,-0.003415388266137647,0.0012899611781491867,24.0,0.76953125,0.0,10,5000,0.76953125
