mechanism,missing_rate,rate_pct,metric,method_a,method_b,mean_a,mean_b,n_a,n_b,delta_abs_a_minus_b,delta_pct_vs_b,boot_ci95_low,boot_ci95_high,comparison_type,p_value
MCAR,0.05,5,rmse,OriginalRFECA,Mean,0.6126294477322902,1.0667378370555554,5,10,-0.45410838932326514,-42.56982114525064,-0.467809444406938,-0.44081925393152827,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MCAR,0.05,5,rmse,OriginalRFECA,KNN,0.6126294477322902,0.6795133633865713,5,10,-0.06688391565428109,-9.842913952559195,-0.08001410571618761,-0.05394070967649413,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MCAR,0.05,5,rmse,OriginalRFECA,MissForest,0.6126294477322902,0.6172462402652915,5,10,-0.0046167925330012904,-0.7479660841703952,-0.018088939833367474,0.008929632047207406,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MCAR,0.05,5,mae,OriginalRFECA,Mean,0.40532440028215044,0.7510738994345802,5,10,-0.3457494991524298,-46.034018678150744,-0.3538643266117455,-0.3374673562984537,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MCAR,0.05,5,mae,OriginalRFECA,KNN,0.40532440028215044,0.4634372099649645,5,10,-0.05811280968281407,-12.539521737412358,-0.06532643076153578,-0.050478851608585146,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MCAR,0.05,5,mae,OriginalRFECA,MissForest,0.40532440028215044,0.41481543327683007,5,10,-0.009491032994679627,-2.2880134713661238,-0.01717890909521702,-0.0016434156330419562,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MCAR,0.1,10,rmse,OriginalRFECA,Mean,0.6146483301148795,1.0632839529894023,5,10,-0.44863562287452274,-42.193397315288394,-0.4618996578437816,-0.4364164553837435,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MCAR,0.1,10,rmse,OriginalRFECA,KNN,0.6146483301148795,0.6914800654508626,5,10,-0.07683173533598309,-11.111200333141468,-0.0854585448200357,-0.0680367451469451,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MCAR,0.1,10,rmse,OriginalRFECA,MissForest,0.6146483301148795,0.6236001728353093,5,10,-0.008951842720429815,-1.435509980654538,-0.016531923233626778,-0.0011432323302718094,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MCAR,0.1,10,mae,OriginalRFECA,Mean,0.4068570536465068,0.7468316593070492,5,10,-0.3399746056605424,-45.52225410154534,-0.3473359281507959,-0.33293675208963547,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
MCAR,0.1,10,mae,OriginalRFECA,KNN,0.4068570536465068,0.46899634151055203,5,10,-0.06213928786404521,-13.249418463245545,-0.06645976944741032,-0.05780117337353312,DESCRIPTIVE_ONLY_protocols_differ,NOT_REPORTED
