mechanism,missing_rate,rate_pct,metric,ranking,best,OriginalRFECA_rank,mean__Mean,mean__KNN,mean__MissForest,mean__OriginalRFECA
MCAR,0.05,5,rmse,OriginalRFECA(0.6126) < MissForest(0.6172) < KNN(0.6795) < Mean(1.0667),OriginalRFECA,1,1.0667378370555554,0.6795133633865713,0.6172462402652915,0.6126294477322902
MCAR,0.05,5,mae,OriginalRFECA(0.4053) < MissForest(0.4148) < KNN(0.4634) < Mean(0.7511),OriginalRFECA,1,0.7510738994345802,0.4634372099649645,0.41481543327683007,0.40532440028215044
MCAR,0.1,10,rmse,OriginalRFECA(0.6146) < MissForest(0.6236) < KNN(0.6915) < Mean(1.0633),OriginalRFECA,1,1.0632839529894023,0.6914800654508626,0.6236001728353093,0.6146483301148795
MCAR,0.1,10,mae,OriginalRFECA(0.4069) < MissForest(0.4167) < KNN(0.4690) < Mean(0.7468),OriginalRFECA,1,0.7468316593070492,0.46899634151055203,0.4167330030561189,0.4068570536465068
MCAR,0.2,20,rmse,OriginalRFECA(0.6143) < MissForest(0.6371) < KNN(0.7096) < Mean(1.0675),OriginalRFECA,1,1.0675325388276042,0.7095707550674925,0.6371393598958995,0.6142628969911292
MCAR,0.2,20,mae,OriginalRFECA(0.4055) < MissForest(0.4260) < KNN(0.4818) < Mean(0.7506),OriginalRFECA,1,0.7506195095902716,0.4818204136789229,0.42597991083370496,0.40551366915074577
MCAR,0.3,30,rmse,OriginalRFECA(0.6213) < MissForest(0.6532) < KNN(0.7336) < Mean(1.0688),OriginalRFECA,1,1.0688084698772478,0.7335889223533446,0.6532032377531888,0.621264192718725
MCAR,0.3,30,mae,OriginalRFECA(0.4095) < MissForest(0.4367) < KNN(0.4992) < Mean(0.7539),OriginalRFECA,1,0.7538805993199806,0.49920992254852836,0.4367002987725761,0.4094874433077754
MAR,0.05,5,rmse,MissForest(0.6291) < OriginalRFECA(0.6414) < KNN(0.6997) < Mean(1.1689),MissForest,2,1.1688933346254948,0.699695891558898,0.6290763935180603,0.6414245784651376
MAR,0.05,5,mae,OriginalRFECA(0.4208) < MissForest(0.4261) < KNN(0.4777) < Mean(0.8279),OriginalRFECA,1,0.8278765175265456,0.47767433921768443,0.4260548307267255,0.42075778551592996
MAR,0.1,10,rmse,OriginalRFECA(0.6388) < MissForest(0.6428) < KNN(0.7099) < Mean(1.1602),OriginalRFECA,1,1.1602141435329831,0.7098662056262381,0.6427895028879883,0.6388336206778935
MAR,0.1,10,mae,OriginalRFECA(0.4185) < MissForest(0.4307) < KNN(0.4831) < Mean(0.8191),OriginalRFECA,1,0.8191159791076407,0.48310158594163377,0.4306833769894324,0.4184835943168618
MAR,0.2,20,rmse,OriginalRFECA(0.6397) < MissForest(0.6721) < KNN(0.7507) < Mean(1.1491),OriginalRFECA,1,1.1491114075405715,0.7507455341014431,0.6721495670652327,0.6397229901203969
MAR,0.2,20,mae,OriginalRFECA(0.4193) < MissForest(0.4453) < KNN(0.5090) < Mean(0.8113),OriginalRFECA,1,0.811289192301281,0.5089724819832424,0.44529760713839767,0.4192777664355106
MAR,0.3,30,rmse,OriginalRFECA(0.6395) < MissForest(0.7053) < KNN(0.8567) < Mean(1.1430),OriginalRFECA,1,1.143003217234177,0.856710260394444,0.7052613170597014,0.6394937412851157
MAR,0.3,30,mae,OriginalRFECA(0.4186) < MissForest(0.4650) < KNN(0.5750) < Mean(0.8029),OriginalRFECA,1,0.8029062803284972,0.575010695042496,0.4650253873684155,0.4185684976745369
