mechanism,missing_rate,rate_pct,metric,OriginalRFECA_mean,MissForest_mean,delta_RFECA_minus_MF,delta_pct,boot_ci95_low,boot_ci95_high,n_rfeca,n_mf,note
MCAR,0.05,5,rmse,0.6126294477322902,0.6172462402652915,-0.0046167925330012904,-0.7479660841703952,-0.018540012883258263,0.008559934335149039,5,10,DESCRIPTIVE_ONLY_no_pvalue
MCAR,0.05,5,mae,0.40532440028215044,0.41481543327683007,-0.009491032994679627,-2.2880134713661238,-0.017022127160727336,-0.001678030983547953,5,10,DESCRIPTIVE_ONLY_no_pvalue
MCAR,0.1,10,rmse,0.6146483301148795,0.6236001728353093,-0.008951842720429815,-1.435509980654538,-0.016448314417735938,-0.0011809386810395365,5,10,DESCRIPTIVE_ONLY_no_pvalue
MCAR,0.1,10,mae,0.4068570536465068,0.4167330030561189,-0.009875949409612061,-2.3698505607155207,-0.013626185790484021,-0.005914089616144584,5,10,DESCRIPTIVE_ONLY_no_pvalue
MCAR,0.2,20,rmse,0.6142628969911292,0.6371393598958995,-0.0228764629047703,-3.590495948721175,-0.029862711950656894,-0.01595927332235468,5,10,DESCRIPTIVE_ONLY_no_pvalue
MCAR,0.2,20,mae,0.40551366915074577,0.42597991083370496,-0.020466241682959185,-4.804508654622646,-0.02360975616472599,-0.017336759971887755,5,10,DESCRIPTIVE_ONLY_no_pvalue
MCAR,0.3,30,rmse,0.621264192718725,0.6532032377531888,-0.031939045034463764,-4.889602988546706,-0.03602961650566952,-0.02792188417149513,5,10,DESCRIPTIVE_ONLY_no_pvalue
MCAR,0.3,30,mae,0.4094874433077754,0.4367002987725761,-0.027212855464800678,-6.231471684651293,-0.029656710878042673,-0.0248231264914198,5,10,DESCRIPTIVE_ONLY_no_pvalue
MAR,0.05,5,rmse,0.6414245784651376,0.6290763935180603,0.012348184947077234,1.9629070609407198,7.680355262593983e-05,0.02576234974934373,5,10,DESCRIPTIVE_ONLY_no_pvalue
MAR,0.05,5,mae,0.42075778551592996,0.4260548307267255,-0.005297045210795548,-1.2432778198431247,-0.010418569881931848,-0.0003559917457088332,5,10,DESCRIPTIVE_ONLY_no_pvalue
MAR,0.1,10,rmse,0.6388336206778935,0.6427895028879883,-0.003955882210094797,-0.6154242084417088,-0.013739728254637831,0.0058565921601927695,5,10,DESCRIPTIVE_ONLY_no_pvalue
MAR,0.1,10,mae,0.4184835943168618,0.4306833769894324,-0.012199782672570603,-2.8326569643457464,-0.01707404859795507,-0.006422055409720244,5,10,DESCRIPTIVE_ONLY_no_pvalue
MAR,0.2,20,rmse,0.6397229901203969,0.6721495670652327,-0.03242657694483575,-4.824309727136776,-0.03946068861151557,-0.025776317896350393,5,10,DESCRIPTIVE_ONLY_no_pvalue
MAR,0.2,20,mae,0.4192777664355106,0.44529760713839767,-0.026019840702887043,-5.843247366653854,-0.029168343718064604,-0.022967226764711548,5,10,DESCRIPTIVE_ONLY_no_pvalue
MAR,0.3,30,rmse,0.6394937412851157,0.7052613170597014,-0.0657675757745857,-9.325277621744052,-0.0723024791196179,-0.05913391050365336,5,10,DESCRIPTIVE_ONLY_no_pvalue
MAR,0.3,30,mae,0.4185684976745369,0.4650253873684155,-0.04645688969387857,-9.99018353745775,-0.049774348752438205,-0.04291749755297657,5,10,DESCRIPTIVE_ONLY_no_pvalue
