mechanism,missing_rate,gene,rmse_mean,mae_mean,n
mar,0.05,ACTR3B,0.5353174585210425,0.34422790539864595,5
mar,0.05,ANLN,0.3316223311968611,0.2433541391318293,5
mar,0.05,BAG1,0.2890408018220648,0.21255716134724983,5
mar,0.05,BCL2,0.6353147320238426,0.4963475004343847,5
mar,0.05,BIRC5,0.5428690707597784,0.3866005078752556,5
mar,0.05,BLVRA,0.5925783836479199,0.44355917245457854,5
mar,0.05,CCNB1,0.3411977370713713,0.2693201246786992,5
mar,0.05,CCNE1,0.5427591949307837,0.3470622750044826,5
mar,0.05,CDC20,0.3720824280229177,0.2903500512006273,5
mar,0.05,CDC6,0.2073319395263275,0.13964093690339252,5
mar,0.05,CDH3,0.8592992269286451,0.606620374213698,5
mar,0.05,CENPF,0.39908380643716773,0.29876357723428315,5
mar,0.05,CEP55,0.2950006959097758,0.22190172052742,5
mar,0.05,CXXC5,0.5844822634040231,0.4412974868722987,5
mar,0.05,EGFR,0.6856645403661771,0.352908697972499,5
mar,0.05,ERBB2,0.5679518114605417,0.41823274985449127,5
mar,0.05,ESR1,0.9476630645051687,0.7523767437631462,5
mar,0.05,EXO1,0.2975042243439226,0.22988149116595918,5
mar,0.05,FGFR4,0.7991727367996855,0.5347183838678783,5
mar,0.05,FOXA1,0.7083488753548876,0.483616531268486,5
mar,0.05,FOXC1,0.7436685997608562,0.544365569229674,5
mar,0.05,GPR160,0.5910508609731852,0.46504014066431143,5
mar,0.05,GRB7,0.5279659594977429,0.38675463194768045,5
mar,0.05,KIF2C,0.2856359153255339,0.21794350109688532,5
mar,0.05,KRT14,0.7263657784942282,0.4512758195984309,5
mar,0.05,KRT17,0.8277618224828902,0.5362880743396465,5
mar,0.05,KRT5,0.6511847416324058,0.37006305452200355,5
mar,0.05,MAPT,1.0469437427655812,0.7972182516712505,5
mar,0.05,MDM2,0.20008255043711065,0.1521743949485622,5
mar,0.05,MELK,0.39667486126170054,0.2847088719046813,5
mar,0.05,MIA,0.5545769138099572,0.3358758027570878,5
mar,0.05,MKI67,0.22504822162653274,0.17115089447683618,5
mar,0.05,MLPH,0.7302785031697798,0.5435856022006799,5
mar,0.05,MMP11,1.2469683156564813,0.9888061430643639,5
mar,0.05,MYBL2,0.16453103688430412,0.12724539510400185,5
mar,0.05,MYC,0.8495314256629042,0.6702892543144083,5
mar,0.05,NAT1,1.1751186203926207,0.9153945305492662,5
mar,0.05,NDC80,0.21439672297134277,0.17182904285865258,5
mar,0.05,NUF2,0.27180539418510485,0.19313570456424495,5
mar,0.05,ORC6,0.38465304100245773,0.31863116188257135,5
mar,0.05,PGR,0.8724479966583963,0.6486338992379592,5
mar,0.05,PHGDH,0.9645286924908916,0.7553178564747134,5
mar,0.05,PTTG1,0.35184809414020257,0.27209196798333857,5
mar,0.05,RRM2,0.3586631139246723,0.26175881305059623,5
mar,0.05,SFRP1,1.1335942673468151,0.7844265969968288,5
mar,0.05,SLC39A6,0.9770859694820313,0.7869905554416896,5
mar,0.05,TMEM45B,0.4714338515656985,0.35119101687731813,5
mar,0.05,TYMS,0.5231240543782958,0.4053510315999847,5
mar,0.05,UBE2C,0.4010916460319782,0.3141386708583943,5
mar,0.05,UBE2T,0.3911728616300155,0.2964859604937613,5
mar,0.1,ACTR3B,0.588314919430688,0.37496321576432406,5
mar,0.1,ANLN,0.3002230081260623,0.22578760172161405,5
mar,0.1,BAG1,0.3264405215806763,0.23133032066319084,5
mar,0.1,BCL2,0.6602159866330372,0.5074480388162556,5
mar,0.1,BIRC5,0.49630464469163005,0.36230746423212484,5
mar,0.1,BLVRA,0.5984926886937441,0.45596848078135144,5
mar,0.1,CCNB1,0.36557212219109714,0.28137407085820604,5
mar,0.1,CCNE1,0.48076158300511834,0.3273835191853183,5
mar,0.1,CDC20,0.37572105157377145,0.293840203604464,5
mar,0.1,CDC6,0.24257204681389544,0.14508169322084813,5
mar,0.1,CDH3,0.8878740443561546,0.6370246622731413,5
mar,0.1,CENPF,0.39309448916544004,0.2966391015897983,5
mar,0.1,CEP55,0.27026721240443663,0.20639330732489003,5
mar,0.1,CXXC5,0.5637256700295243,0.43142274353064175,5
mar,0.1,EGFR,0.7092747552223608,0.3317183923236608,5
mar,0.1,ERBB2,0.5686894911606934,0.4083788112057108,5
mar,0.1,ESR1,1.011362447176507,0.8002965917301663,5
mar,0.1,EXO1,0.2900331392541033,0.22482979252321278,5
mar,0.1,FGFR4,0.793608305366546,0.5595424379934789,5
mar,0.1,FOXA1,0.6454654218194305,0.45995469341390827,5
mar,0.1,FOXC1,0.7546614436377764,0.5437157227327407,5
mar,0.1,GPR160,0.6277771256091789,0.49467739561696594,5
mar,0.1,GRB7,0.5068508464968617,0.36778691962167104,5
mar,0.1,KIF2C,0.2681090011580494,0.2078251701595232,5
mar,0.1,KRT14,0.7625744374714624,0.4485733670852602,5
mar,0.1,KRT17,0.8090571102005704,0.542842522498671,5
mar,0.1,KRT5,0.6402918057209703,0.36252662089862064,5
mar,0.1,MAPT,1.0550623145688185,0.7986081262631487,5
mar,0.1,MDM2,0.235779099317806,0.1584794447556001,5
mar,0.1,MELK,0.37662786701797024,0.28386781229132174,5
mar,0.1,MIA,0.5090836195276762,0.30755120535844704,5
mar,0.1,MKI67,0.21309728003516365,0.1589259855955375,5
mar,0.1,MLPH,0.6894359233397365,0.5226208561691295,5
mar,0.1,MMP11,1.320857361153355,1.0149026715979825,5
mar,0.1,MYBL2,0.1638136469533063,0.12602930912555738,5
mar,0.1,MYC,0.845344948053057,0.6671458853373313,5
mar,0.1,NAT1,1.1774867323995224,0.9058472748018458,5
mar,0.1,NDC80,0.25172146504730347,0.190006344661539,5
mar,0.1,NUF2,0.27025533083879016,0.19299482112635682,5
mar,0.1,ORC6,0.36810383638184774,0.2971469969351421,5
mar,0.1,PGR,0.8187932041570247,0.6344387189580376,5
mar,0.1,PHGDH,0.9438440627620139,0.7479520878123752,5
mar,0.1,PTTG1,0.38124273174028384,0.3020520011136357,5
mar,0.1,RRM2,0.3206216391649316,0.2371447194768165,5
mar,0.1,SFRP1,1.0508405368520042,0.7309821677937475,5
mar,0.1,SLC39A6,0.9368288486501715,0.7348066783658654,5
mar,0.1,TMEM45B,0.5140786779979326,0.36739920504321677,5
mar,0.1,TYMS,0.48054219496517003,0.37668876963304887,5
mar,0.1,UBE2C,0.416261006857117,0.3222706140667283,5
mar,0.1,UBE2T,0.3609604497566211,0.27454811780067373,5
mar,0.2,ACTR3B,0.557395813278532,0.3424689110018796,5
mar,0.2,ANLN,0.30985637549716805,0.2338730278145841,5
mar,0.2,BAG1,0.31814078716622374,0.22458033607911654,5
mar,0.2,BCL2,0.6889756639268094,0.5298740117944768,5
mar,0.2,BIRC5,0.5340440540393694,0.3733196663606651,5
mar,0.2,BLVRA,0.6321305974214706,0.4791329791887036,5
mar,0.2,CCNB1,0.3513067040905117,0.27055147511352323,5
mar,0.2,CCNE1,0.5056040042854293,0.3323844333031484,5
mar,0.2,CDC20,0.38734847700811814,0.29942017709584673,5
mar,0.2,CDC6,0.23767036780041234,0.14714572565054135,5
mar,0.2,CDH3,0.8678363123649475,0.6328026071174928,5
mar,0.2,CENPF,0.3939839099241425,0.2997397365565585,5
mar,0.2,CEP55,0.28804882723830666,0.21544754685233483,5
mar,0.2,CXXC5,0.5594889876360389,0.4212697509201872,5
mar,0.2,EGFR,0.6522129860744718,0.31684693265406283,5
mar,0.2,ERBB2,0.5667758735078974,0.41450989849754993,5
mar,0.2,ESR1,0.9602476735061197,0.7485642565010138,5
mar,0.2,EXO1,0.301452300675085,0.2333982246959009,5
mar,0.2,FGFR4,0.8271742484769099,0.5728561954043425,5
mar,0.2,FOXA1,0.6323307884055511,0.45526871086977305,5
mar,0.2,FOXC1,0.7689958894557936,0.5600613350989118,5
mar,0.2,GPR160,0.6183558508840215,0.47465983354507435,5
mar,0.2,GRB7,0.523537664368788,0.37426944274942536,5
