mechanism,gene,rmse_mean,mae_mean,n,rank_within_mech
mar,ACTR3B,0.5559174643033822,0.34949741819345864,20,24.0
mar,ANLN,0.31257058176632163,0.23320727460608098,20,41.0
mar,BAG1,0.3139177172303271,0.22273059087908043,20,40.0
mar,BCL2,0.6650302686567324,0.5140613269939085,20,17.0
mar,BIRC5,0.5235370520782443,0.3729729403568543,20,25.0
mar,BLVRA,0.6126733897896599,0.4621898780576581,20,20.0
mar,CCNB1,0.3541715079585536,0.27438434581701493,20,38.0
mar,CCNE1,0.5055759871237404,0.3348966815210735,20,28.0
mar,CDC20,0.3808385204535939,0.2948255629574394,20,34.0
mar,CDC6,0.2272084299287397,0.14371019893048426,20,47.0
mar,CDH3,0.8727571370877716,0.6281575638318248,20,8.0
mar,CENPF,0.3977719189445555,0.3006752168277294,20,32.0
mar,CEP55,0.28614492102650274,0.21537324909717515,20,43.0
mar,CXXC5,0.5695982904626447,0.43177233894688316,20,22.0
mar,EGFR,0.6898083965027848,0.3353585073719477,20,16.0
mar,ERBB2,0.5690102504775109,0.41366074331514335,20,23.0
mar,ESR1,0.9770033696836269,0.7676029654851941,20,5.0
mar,EXO1,0.2983830412933347,0.22974796092036867,20,42.0
mar,FGFR4,0.8227344172445588,0.5649969870970003,20,11.0
mar,FOXA1,0.650083235745699,0.4587060573095834,20,18.0
mar,FOXC1,0.7581956393786415,0.5494737190635288,20,13.0
mar,GPR160,0.6067310657860785,0.47193998996568487,20,21.0
mar,GRB7,0.5229584441209265,0.3783490710312819,20,26.0
mar,KIF2C,0.26701416150833224,0.20655103359412372,20,45.0
mar,KRT14,0.7340254224497454,0.43798476844278245,20,14.0
mar,KRT17,0.8146329311193703,0.5401912594847491,20,12.0
mar,KRT5,0.6403815392241365,0.35504740559435605,20,19.0
mar,MAPT,1.0681749464700263,0.8133880057171895,20,3.0
mar,MDM2,0.21818818607943719,0.15389098588540956,20,49.0
mar,MELK,0.37909047782106786,0.2815919951589852,20,35.0
mar,MIA,0.5073250802256265,0.3092550501242744,20,27.0
mar,MKI67,0.22167651003201055,0.16608869457201395,20,48.0
mar,MLPH,0.6917801727788826,0.5163730004117617,20,15.0
mar,MMP11,1.3037110184078589,1.015844735320692,20,1.0
mar,MYBL2,0.16819518744836298,0.13046179332509486,20,50.0
mar,MYC,0.8457302413718095,0.6658650038571139,20,9.0
