gene,rmse_mean,rmse_std,mae_mean,n,n_pred_mean,rmse_rank
MMP11,1.2766790856231602,0.08159784700642225,0.99577607821644,40,21.675,1
NAT1,1.2105585966117511,0.0963698780420995,0.9371857627088364,40,23.1,2
MAPT,1.0642943894913182,0.053863895195734805,0.8105725529120754,40,23.25,3
SFRP1,0.9990788949848254,0.10951235032796973,0.6938334839190399,40,20.075,4
SLC39A6,0.961265257736231,0.04192739114992067,0.7645959180224262,40,23.875,5
ESR1,0.9581466707033595,0.05972653181810029,0.7524464537107487,40,21.8,6
PHGDH,0.9372870519427503,0.051678930451825575,0.7343327989895986,40,23.675,7
CDH3,0.8439550084936422,0.08503039532701506,0.623208721408578,40,23.375,8
PGR,0.8332748655160769,0.05787849455108011,0.6365196304504084,40,22.6,9
FGFR4,0.8309742483821834,0.0787891253411346,0.5648873283087765,40,23.725,10
MYC,0.8281869684907333,0.05207838339420293,0.65847622917367,40,23.75,11
KRT17,0.7893555397196279,0.0747099962559792,0.5281806681431308,40,5.725,12
FOXC1,0.7409847952438454,0.056824753339662866,0.5393630594086768,40,23.325,13
KRT14,0.6969826756826437,0.0895903986150606,0.4156933124511794,40,21.125,14
MLPH,0.6629347579723059,0.05228323292530808,0.4997113646078561,40,22.675,15
BCL2,0.660495939156562,0.03790071224721044,0.5113182882369397,40,23.6,16
EGFR,0.6434037137793223,0.13626052967012023,0.3190865493655426,40,21.675,17
BLVRA,0.6147611738125759,0.04818734458390829,0.46063020026138,40,21.55,18
FOXA1,0.5986258954181845,0.07710219871538294,0.4305732005671161,40,21.975,19
GPR160,0.5948987733613078,0.03624017981507595,0.4618559098500602,40,23.35,20
KRT5,0.590013164965402,0.08401776620321329,0.32958760162566725,40,22.9,21
CXXC5,0.5639617171192127,0.027487787825783528,0.4287680085820772,40,23.525,22
ERBB2,0.5476466249903907,0.05242765897999173,0.40296693986093846,40,23.1,23
ACTR3B,0.5463843063887112,0.05680793850190837,0.34330633867737925,40,22.1,24
GRB7,0.5183376510060025,0.050939295655416064,0.3762803384505391,40,18.775,25
TMEM45B,0.5117612044946442,0.040888670791652294,0.3765674622017199,40,22.6,26
BIRC5,0.5092012364004606,0.03965534355590747,0.36677489133358987,40,19.125,27
MIA,0.49466095409622496,0.053053174459886304,0.30112370226222474,40,22.85,28
TYMS,0.4899987779805855,0.02914185273498307,0.38346450984351294,40,22.725,29
CCNE1,0.4897355353437966,0.06094111084675874,0.3258772015112631,40,23.25,30
UBE2C,0.4095151346455775,0.02685097297315357,0.31475082626565254,40,23.1,31
CENPF,0.4034957556973137,0.025307933705771366,0.3054199900426945,40,22.6,32
ORC6,0.3846938361230282,0.02201218000408466,0.316088740070506,40,22.775,33
MELK,0.3806058992840402,0.02739354488050953,0.28451870883939623,40,20.675,34
PTTG1,0.37804167665943667,0.02481062290816644,0.2951808160108838,40,23.5,35
UBE2T,0.37655411973890496,0.023528956504625363,0.2864480081952666,40,20.7,36
CDC20,0.37063861949840604,0.03301652294641215,0.2851895011092295,40,21.6,37
CCNB1,0.352578917258659,0.022749133534213435,0.27189513367461426,40,23.2,38
RRM2,0.340952505339553,0.020124510131069452,0.25716380908468317,40,23.1,39
BAG1,0.31099308188316865,0.03265399567645268,0.2203002528105323,40,22.3,40
ANLN,0.30580023814807783,0.021386701407171818,0.22844782692792948,40,21.45,41
EXO1,0.30358172278667306,0.017543500292329716,0.2343538653505294,40,19.175,42
NUF2,0.28238476758423986,0.03343138674438313,0.196062974698555,40,21.575,43
CEP55,0.2796722722730212,0.019671036284341296,0.212378054404536,40,22.675,44
KIF2C,0.2578647591021027,0.021814010287658222,0.19920639096509277,40,18.725,45
NDC80,0.231067959275364,0.019423213686258215,0.17753176338344925,40,22.6,46
MDM2,0.21975918462707011,0.03093230301405699,0.15304476528789407,40,20.275,47
CDC6,0.21267879663178468,0.03691258504728193,0.13839564546699573,40,13.725,48
MKI67,0.21232433765851266,0.018161295028269263,0.16029513826766334,40,23.35,49
MYBL2,0.16553030224594267,0.010508088200381674,0.12886667214602293,40,13.975,50
