gene,mean_pairwise_jaccard
CDC6,0.4635565497944086
MDM2,0.5338272437204614
KIF2C,0.5770980022748945
MELK,0.582796939214868
ACTR3B,0.599123988991257
ANLN,0.5993859114303501
TMEM45B,0.6133504127487932
MLPH,0.6166906044111914
BIRC5,0.6226220793977683
KRT5,0.6303671121101074
KRT14,0.634058501476237
ORC6,0.6348032196889956
MYBL2,0.6390755060380712
MMP11,0.6525269442333723
SFRP1,0.6526318651732228
EGFR,0.6562796624186241
GPR160,0.656673236312749
CENPF,0.6615444031155087
ESR1,0.664116414766887
PGR,0.6683810124704476
BAG1,0.6688381388136823
MKI67,0.6689728426553351
CDC20,0.679567772758365
ERBB2,0.6796984605175651
CCNB1,0.6813206124767581
RRM2,0.6841016878024491
CDH3,0.6843054901649868
NUF2,0.6853539883980658
MAPT,0.686872672926222
BCL2,0.6896103372215372
MIA,0.6903657008073811
UBE2T,0.6907017603068514
FGFR4,0.6914229250316744
BLVRA,0.6914449612557746
NDC80,0.6977713425828693
SLC39A6,0.7053009521274259
PHGDH,0.705487090958083
EXO1,0.7055078516760818
GRB7,0.7104300099742927
PTTG1,0.715473811628984
MYC,0.7277666382354925
KRT17,0.7336919785076502
FOXC1,0.7342949323949136
NAT1,0.7382559629068249
CXXC5,0.741680301321778
TYMS,0.7434352479590486
CCNE1,0.7528815209306214
UBE2C,0.8185420290083896
CEP55,0.8299582868822
FOXA1,0.8443089139121748
