stage,imputer,missing_rate,replicate,fold,rmse,mae,n_masked_test_values,n_eligible_cells,n_artificially_masked_cells,n_legacy_imputed_cells_in_cohort,n_legacy_imputed_cells_in_metric_target,target_cell_policy,n_train,n_test,degenerate_constant_preds,seed
imputation,SimpleMean,0.0,0,1,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1042
imputation,SimpleMean,0.0,0,2,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1042
imputation,SimpleMean,0.0,0,3,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1042
imputation,SimpleMean,0.0,0,4,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1042
imputation,SimpleMean,0.0,0,5,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1042
imputation,"KNN(k=5,dist)",0.0,0,1,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1042
imputation,"KNN(k=5,dist)",0.0,0,2,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1042
imputation,"KNN(k=5,dist)",0.0,0,3,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1042
imputation,"KNN(k=5,dist)",0.0,0,4,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1042
imputation,"KNN(k=5,dist)",0.0,0,5,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1042
imputation,RFECA_SVR(k=5),0.0,0,1,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1042
imputation,RFECA_SVR(k=5),0.0,0,2,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1042
imputation,RFECA_SVR(k=5),0.0,0,3,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1042
imputation,RFECA_SVR(k=5),0.0,0,4,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1042
imputation,RFECA_SVR(k=5),0.0,0,5,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1042
imputation,RFECA_SVR(k=10),0.0,0,1,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1042
imputation,RFECA_SVR(k=10),0.0,0,2,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1042
imputation,RFECA_SVR(k=10),0.0,0,3,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1042
imputation,RFECA_SVR(k=10),0.0,0,4,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1042
imputation,RFECA_SVR(k=10),0.0,0,5,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1042
imputation,RFECA_SVR(k=20),0.0,0,1,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1042
imputation,RFECA_SVR(k=20),0.0,0,2,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1042
imputation,RFECA_SVR(k=20),0.0,0,3,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1042
imputation,RFECA_SVR(k=20),0.0,0,4,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1042
imputation,RFECA_SVR(k=20),0.0,0,5,,,0,80400,0,0,0,originally_observed_only,1287,321,False,1042
imputation,SimpleMean,0.0,1,1,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1043
imputation,SimpleMean,0.0,1,2,,,0,80400,0,0,0,originally_observed_only,1286,322,False,1043
