imputer,missing_rate,rmse_mean,rmse_std,mae_mean,mae_std,n_rows,n_masked_total
"KNN(k=5,dist)",0.0,,,,,0,0
"KNN(k=5,dist)",0.05,0.6795133633865713,0.03148441212450405,0.46343720996496457,0.02002822863194734,50,40200
"KNN(k=5,dist)",0.1,0.6914800654508626,0.020906307970293393,0.46899634151055203,0.01228041035665017,50,80400
"KNN(k=5,dist)",0.2,0.7095707550674925,0.0186667783060138,0.4818204136789231,0.010495679882808398,50,160800
"KNN(k=5,dist)",0.3,0.7335889223533445,0.01752340262883717,0.49920992254852836,0.010017040545982648,50,241200
RFECA_SVR(k=10),0.0,,,,,0,0
RFECA_SVR(k=10),0.05,0.6778398115407647,0.03905236328536128,0.4501678953378743,0.021265767430107708,50,40200
RFECA_SVR(k=10),0.1,0.6890601949888076,0.02397096154572928,0.4560836715995735,0.011878024244268042,50,80400
RFECA_SVR(k=10),0.2,0.7059020033174649,0.017471842100445483,0.4700406210726005,0.00913510664784284,50,160800
RFECA_SVR(k=10),0.3,0.7293349315575418,0.01794231845183446,0.4876072122536651,0.008883715169953767,50,241200
RFECA_SVR(k=20),0.0,,,,,0,0
RFECA_SVR(k=20),0.05,0.6734393084175555,0.03461506835403961,0.44791060290869106,0.019938845953392622,50,40200
RFECA_SVR(k=20),0.1,0.685857470769276,0.02297884602765081,0.45451262050313845,0.011152806105890081,50,80400
RFECA_SVR(k=20),0.2,0.7059426056470143,0.018133616108829652,0.4705407966283598,0.009351963212756068,50,160800
RFECA_SVR(k=20),0.3,0.7360615266759072,0.017400491417681185,0.49327312401814255,0.008576959948426869,50,241200
RFECA_SVR(k=5),0.0,,,,,0,0
RFECA_SVR(k=5),0.05,0.6931456736171708,0.03991391047553834,0.4603762758323252,0.020217943963825563,50,40200
RFECA_SVR(k=5),0.1,0.7057575081677976,0.023025349988469397,0.4667646991945996,0.011481349331388174,50,80400
RFECA_SVR(k=5),0.2,0.7231464675236974,0.018342062665282443,0.4815747325861956,0.008965755289063166,50,160800
RFECA_SVR(k=5),0.3,0.7433308152272196,0.017887173221129576,0.49703302914496666,0.009007298066946768,50,241200
SimpleMean,0.0,,,,,0,0
SimpleMean,0.05,1.0667378370555554,0.04133579689381422,0.7510738994345801,0.02682477885006764,50,40200
SimpleMean,0.1,1.063283952989402,0.03344553104540755,0.7468316593070492,0.021381623876843336,50,80400
SimpleMean,0.2,1.0675325388276042,0.02350521108923981,0.7506195095902716,0.014044248025772914,50,160800
SimpleMean,0.3,1.0688084698772478,0.016775138041021015,0.7538805993199805,0.009972455088563698,50,241200
