imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n_rows
"KNN(k=5,dist)",0.0,EnsembleSoft,0.8859360095573787,0.013890854433734999,0.8752464911354514,0.013119020735135928,50
"KNN(k=5,dist)",0.05,EnsembleSoft,0.8812234101019348,0.013095090085023216,0.8717219615002029,0.01453704275886543,50
"KNN(k=5,dist)",0.1,EnsembleSoft,0.8756739489033231,0.012967224067309118,0.8661451610363677,0.013457949782120181,50
"KNN(k=5,dist)",0.2,EnsembleSoft,0.8691416635535307,0.01584790337329262,0.8595983667594708,0.017488003698690364,50
"KNN(k=5,dist)",0.3,EnsembleSoft,0.8582261234591262,0.01714994760137858,0.8484000517739285,0.01817899726156753,50
RFECA_SVR(k=10),0.0,EnsembleSoft,0.8859360095573787,0.013890854433734999,0.8752464911354514,0.013119020735135928,50
RFECA_SVR(k=10),0.05,EnsembleSoft,0.8821873344317992,0.01216469741918131,0.8725492380248479,0.01373084180055505,50
RFECA_SVR(k=10),0.1,EnsembleSoft,0.8780695701858201,0.014275775975616812,0.8684074293271984,0.01486017919807045,50
RFECA_SVR(k=10),0.2,EnsembleSoft,0.8699883418704252,0.015241754023574151,0.8607514740287526,0.01600375672689714,50
RFECA_SVR(k=10),0.3,EnsembleSoft,0.8638629017899478,0.016620643350913407,0.8547941472306043,0.017192624311890795,50
RFECA_SVR(k=20),0.0,EnsembleSoft,0.8859360095573787,0.013890854433734999,0.8752464911354514,0.013119020735135928,50
RFECA_SVR(k=20),0.05,EnsembleSoft,0.8822424970815849,0.013435926036057987,0.8722983442530939,0.01442703815988802,50
RFECA_SVR(k=20),0.1,EnsembleSoft,0.8788408255873515,0.014395842480499249,0.8690059303839791,0.01543486753173183,50
RFECA_SVR(k=20),0.2,EnsembleSoft,0.8748686891553613,0.01606460883388392,0.865457767663801,0.01634187187236575,50
RFECA_SVR(k=20),0.3,EnsembleSoft,0.8627088318455879,0.01880399455244529,0.8543283370103011,0.019487597737064846,50
RFECA_SVR(k=5),0.0,EnsembleSoft,0.8859360095573787,0.013890854433734999,0.8752464911354514,0.013119020735135928,50
RFECA_SVR(k=5),0.05,EnsembleSoft,0.8811908119259191,0.012497676342548149,0.871560726465091,0.013575358366155909,50
RFECA_SVR(k=5),0.1,EnsembleSoft,0.8770501697569496,0.014501363637311596,0.8672119054102366,0.015031685645488397,50
RFECA_SVR(k=5),0.2,EnsembleSoft,0.8699658920139648,0.01753249747912111,0.8605203293710996,0.017826526058410525,50
RFECA_SVR(k=5),0.3,EnsembleSoft,0.8611557612545109,0.01629104135518393,0.852126338573707,0.016639882096003956,50
SimpleMean,0.0,EnsembleSoft,0.8859360095573787,0.013890854433734999,0.8752464911354514,0.013119020735135928,50
SimpleMean,0.05,EnsembleSoft,0.878740165462206,0.013928484254435894,0.8694692667552103,0.015181964917662714,50
SimpleMean,0.1,EnsembleSoft,0.8747997280647161,0.015356181253130248,0.8652653182290538,0.01590985956474834,50
SimpleMean,0.2,EnsembleSoft,0.866073659815381,0.01284516897060976,0.8568806092281701,0.014268364238298418,50
SimpleMean,0.3,EnsembleSoft,0.8550846750816824,0.016876512368685283,0.8453412114914041,0.01847016289984097,50
