stage,imputer,missing_rate,replicate,fold,n_train,n_test,train_test_overlap,imputer_object_id,correlation_source,has_corr_csv_path
imputation,SimpleMean,0.0,0,1,1286,322,0,2482517109456,n/a,False
imputation,SimpleMean,0.0,0,2,1286,322,0,2482517109776,n/a,False
imputation,SimpleMean,0.0,0,3,1286,322,0,2482516865280,n/a,False
imputation,SimpleMean,0.0,0,4,1287,321,0,2482516865888,n/a,False
imputation,SimpleMean,0.0,0,5,1287,321,0,2482517804528,n/a,False
imputation,"KNN(k=5,dist)",0.0,0,1,1286,322,0,2482517110416,n/a,False
imputation,"KNN(k=5,dist)",0.0,0,2,1286,322,0,2482517111056,n/a,False
imputation,"KNN(k=5,dist)",0.0,0,3,1286,322,0,2482516866192,n/a,False
imputation,"KNN(k=5,dist)",0.0,0,4,1287,321,0,2482516866496,n/a,False
imputation,"KNN(k=5,dist)",0.0,0,5,1287,321,0,2482517807120,n/a,False
imputation,RFECA_SVR(k=5),0.0,0,1,1286,322,0,2482516866800,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,0,2,1286,322,0,2482516867104,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,0,3,1286,322,0,2482517806832,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,0,4,1287,321,0,2482517725792,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,0,5,1287,321,0,2482517727696,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,1,1286,322,0,2482494634064,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,2,1286,322,0,2482494635088,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,3,1286,322,0,2482551701584,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,4,1287,321,0,2482551701824,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,5,1287,321,0,2482517991152,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,1,1286,322,0,2482517991824,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,2,1286,322,0,2482517992048,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,3,1286,322,0,2482517992272,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,4,1287,321,0,2482517992496,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,5,1287,321,0,2482517992720,training_fold_X.corr(),False
classification,SimpleMean,0.0,0,1,1286,322,0,2482517728240,n/a,False
classification,SimpleMean,0.0,0,2,1286,322,0,2482517730416,n/a,False
classification,SimpleMean,0.0,0,3,1286,322,0,2482517294672,n/a,False
classification,SimpleMean,0.0,0,4,1287,321,0,2482552242256,n/a,False
classification,SimpleMean,0.0,0,5,1287,321,0,2482551708544,n/a,False
classification,"KNN(k=5,dist)",0.0,0,1,1286,322,0,2482517732320,n/a,False
classification,"KNN(k=5,dist)",0.0,0,2,1286,322,0,2482517732864,n/a,False
classification,"KNN(k=5,dist)",0.0,0,3,1286,322,0,2482552243792,n/a,False
classification,"KNN(k=5,dist)",0.0,0,4,1287,321,0,2482517291856,n/a,False
classification,"KNN(k=5,dist)",0.0,0,5,1287,321,0,2482687576496,n/a,False
classification,RFECA_SVR(k=5),0.0,0,1,1286,322,0,2482688185232,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,0,2,1286,322,0,2482705152976,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,0,3,1286,322,0,2482705488080,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,0,4,1287,321,0,2482705825168,training_fold_X.corr(),False
