imputer,missing_rate,rmse_mean,rmse_std,mae_mean,mae_std,n_rows,n_masked_total,corr_frobenius_mean,corr_frobenius_std,corr_frobenius_rel_mean,corr_frobenius_rel_std,corr_mae_offdiag_mean,corr_mae_offdiag_std,corr_rv_mean,corr_rv_std
"KNN(k=5,dist)",0.0,,,,,0,0,5.843034754064123e-15,3.3544656355529605e-16,3.033166265497967e-16,1.8745210526620154e-17,7.430871438652978e-17,4.525730851363054e-18,1.0000000000000002,1.3826714197523217e-16
"KNN(k=5,dist)",0.05,0.6795133633865713,0.03148441212450405,0.46343720996496457,0.02002822863194734,50,40200,0.6706870926512001,0.05619381032775515,0.03481662428626326,0.0030355279018509057,0.010327159152022283,0.0008222178850036759,0.9994371221355807,9.448625353087368e-05
"KNN(k=5,dist)",0.1,0.6914800654508626,0.020906307970293393,0.46899634151055203,0.01228041035665017,50,80400,1.0493656805326261,0.08549477124180026,0.05444658385926375,0.004258374226812195,0.016504514148610344,0.0012624296581523215,0.9987166407340515,0.00019530780707518417
"KNN(k=5,dist)",0.2,0.7095707550674925,0.0186667783060138,0.4818204136789231,0.010495679882808398,50,160800,1.7192018067333243,0.13506434047693947,0.08924308767827643,0.007313041448997758,0.027833023684196823,0.0022195907675041137,0.9969743661175774,0.00045630786432398037
"KNN(k=5,dist)",0.3,0.7335889223533445,0.01752340262883717,0.49920992254852836,0.010017040545982648,50,241200,2.3931592087662144,0.18309083495881173,0.12421567068686289,0.00976157933484282,0.03922220300439385,0.0030924286266947854,0.9945285305584186,0.0007656790097537753
MissForest,0.0,,,,,0,0,5.843034754064123e-15,3.3544656355529605e-16,3.033166265497967e-16,1.8745210526620154e-17,7.430871438652978e-17,4.525730851363054e-18,1.0000000000000002,1.3826714197523217e-16
MissForest,0.05,0.6172462402652915,0.031785186915001054,0.4148154332768301,0.01795285263596754,50,40200,0.6297401596129069,0.05464653602080615,0.03269187169395933,0.0029585135899590684,0.009724469263368847,0.0007954553794368121,0.9995316108810927,7.955052395598485e-05
MissForest,0.1,0.6236001728353093,0.01778283724970835,0.4167330030561189,0.009983464129921177,50,80400,0.9961777978726842,0.07579731154366681,0.051693219854475496,0.003848086902085784,0.015762670218778592,0.0011226356605445638,0.9989516647384129,0.00014859103057099585
MissForest,0.2,0.6371393598958994,0.01665162611851515,0.42597991083370496,0.008827549373507092,50,160800,1.6487497236182003,0.11260141991314383,0.08558368360478799,0.006167370418794963,0.02700692483413964,0.0018381028245145691,0.9976544752451604,0.00032335838359609856
MissForest,0.3,0.6532032377531888,0.014464462860304107,0.4367002987725761,0.00769369583434401,50,241200,2.341151000018092,0.1503536975472302,0.12153372883062975,0.008381968021930749,0.038878100112427066,0.0026282687102365367,0.9958367736412237,0.0005482648174821392
RFECA_SVR(k=10),0.0,,,,,0,0,5.843034754064123e-15,3.3544656355529605e-16,3.033166265497967e-16,1.8745210526620154e-17,7.430871438652978e-17,4.525730851363054e-18,1.0000000000000002,1.3826714197523217e-16
