imputer,missing_rate,model,subtype,metric,mean,std,n_rows
SimpleMean,0.0,EnsembleSoft,LumA,f1,0.9256275441075742,0.009211089305114101,50
SimpleMean,0.0,EnsembleSoft,LumA,precision,0.9090318616489494,0.020875902448876875,50
SimpleMean,0.0,EnsembleSoft,LumA,recall,0.9442857142857142,0.03271677457526815,50
SimpleMean,0.0,EnsembleSoft,LumB,f1,0.8858865889811237,0.016999884659553124,50
SimpleMean,0.0,EnsembleSoft,LumB,precision,0.8827538892085209,0.031333373348922805,50
SimpleMean,0.0,EnsembleSoft,LumB,recall,0.8905263157894737,0.030522982150653293,50
SimpleMean,0.0,EnsembleSoft,Her2,f1,0.8056513780482696,0.03988337914965203,50
SimpleMean,0.0,EnsembleSoft,Her2,precision,0.8381516105912141,0.05619243997163974,50
SimpleMean,0.0,EnsembleSoft,Her2,recall,0.7808080808080807,0.06625246916738241,50
SimpleMean,0.0,EnsembleSoft,Basal,f1,0.9265785270925475,0.02984842586940772,50
SimpleMean,0.0,EnsembleSoft,Basal,precision,0.9739894419306185,0.016065989197836927,50
SimpleMean,0.0,EnsembleSoft,Basal,recall,0.8853658536585367,0.05328409991839617,50
"KNN(k=5,dist)",0.0,EnsembleSoft,LumA,f1,0.9256275441075742,0.009211089305114101,50
"KNN(k=5,dist)",0.0,EnsembleSoft,LumA,precision,0.9090318616489494,0.020875902448876875,50
"KNN(k=5,dist)",0.0,EnsembleSoft,LumA,recall,0.9442857142857142,0.03271677457526815,50
"KNN(k=5,dist)",0.0,EnsembleSoft,LumB,f1,0.8858865889811237,0.016999884659553124,50
"KNN(k=5,dist)",0.0,EnsembleSoft,LumB,precision,0.8827538892085209,0.031333373348922805,50
"KNN(k=5,dist)",0.0,EnsembleSoft,LumB,recall,0.8905263157894737,0.030522982150653293,50
"KNN(k=5,dist)",0.0,EnsembleSoft,Her2,f1,0.8056513780482696,0.03988337914965203,50
"KNN(k=5,dist)",0.0,EnsembleSoft,Her2,precision,0.8381516105912141,0.05619243997163974,50
"KNN(k=5,dist)",0.0,EnsembleSoft,Her2,recall,0.7808080808080807,0.06625246916738241,50
"KNN(k=5,dist)",0.0,EnsembleSoft,Basal,f1,0.9265785270925475,0.02984842586940772,50
"KNN(k=5,dist)",0.0,EnsembleSoft,Basal,precision,0.9739894419306185,0.016065989197836927,50
"KNN(k=5,dist)",0.0,EnsembleSoft,Basal,recall,0.8853658536585367,0.05328409991839617,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumA,f1,0.9256275441075742,0.009211089305114101,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumA,precision,0.9090318616489494,0.020875902448876875,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumA,recall,0.9442857142857142,0.03271677457526815,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumB,f1,0.8858865889811237,0.016999884659553124,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumB,precision,0.8827538892085209,0.031333373348922805,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumB,recall,0.8905263157894737,0.030522982150653293,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Her2,f1,0.8056513780482696,0.03988337914965203,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Her2,precision,0.8381516105912141,0.05619243997163974,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Her2,recall,0.7808080808080807,0.06625246916738241,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Basal,f1,0.9265785270925475,0.02984842586940772,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Basal,precision,0.9739894419306185,0.016065989197836927,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Basal,recall,0.8853658536585367,0.05328409991839617,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumA,f1,0.9256275441075742,0.009211089305114101,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumA,precision,0.9090318616489494,0.020875902448876875,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumA,recall,0.9442857142857142,0.03271677457526815,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumB,f1,0.8858865889811237,0.016999884659553124,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumB,precision,0.8827538892085209,0.031333373348922805,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumB,recall,0.8905263157894737,0.030522982150653293,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Her2,f1,0.8056513780482696,0.03988337914965203,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Her2,precision,0.8381516105912141,0.05619243997163974,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Her2,recall,0.7808080808080807,0.06625246916738241,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Basal,f1,0.9265785270925475,0.02984842586940772,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Basal,precision,0.9739894419306185,0.016065989197836927,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Basal,recall,0.8853658536585367,0.05328409991839617,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumA,f1,0.9256275441075742,0.009211089305114101,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumA,precision,0.9090318616489494,0.020875902448876875,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumA,recall,0.9442857142857142,0.03271677457526815,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumB,f1,0.8858865889811237,0.016999884659553124,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumB,precision,0.8827538892085209,0.031333373348922805,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumB,recall,0.8905263157894737,0.030522982150653293,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Her2,f1,0.8056513780482696,0.03988337914965203,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Her2,precision,0.8381516105912141,0.05619243997163974,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Her2,recall,0.7808080808080807,0.06625246916738241,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Basal,f1,0.9265785270925475,0.02984842586940772,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Basal,precision,0.9739894419306185,0.016065989197836927,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Basal,recall,0.8853658536585367,0.05328409991839617,50
MissForest,0.0,EnsembleSoft,LumA,f1,0.9256275441075742,0.009211089305114101,50
MissForest,0.0,EnsembleSoft,LumA,precision,0.9090318616489494,0.020875902448876875,50
MissForest,0.0,EnsembleSoft,LumA,recall,0.9442857142857142,0.03271677457526815,50
MissForest,0.0,EnsembleSoft,LumB,f1,0.8858865889811237,0.016999884659553124,50
MissForest,0.0,EnsembleSoft,LumB,precision,0.8827538892085209,0.031333373348922805,50
MissForest,0.0,EnsembleSoft,LumB,recall,0.8905263157894737,0.030522982150653293,50
MissForest,0.0,EnsembleSoft,Her2,f1,0.8056513780482696,0.03988337914965203,50
MissForest,0.0,EnsembleSoft,Her2,precision,0.8381516105912141,0.05619243997163974,50
MissForest,0.0,EnsembleSoft,Her2,recall,0.7808080808080807,0.06625246916738241,50
MissForest,0.0,EnsembleSoft,Basal,f1,0.9265785270925475,0.02984842586940772,50
MissForest,0.0,EnsembleSoft,Basal,precision,0.9739894419306185,0.016065989197836927,50
MissForest,0.0,EnsembleSoft,Basal,recall,0.8853658536585367,0.05328409991839617,50
SimpleMean,0.05,EnsembleSoft,LumA,f1,0.9215624453516039,0.01216939123222072,50
SimpleMean,0.05,EnsembleSoft,LumA,precision,0.9073634215282905,0.020961450778809593,50
SimpleMean,0.05,EnsembleSoft,LumA,recall,0.937857142857143,0.03691142295446107,50
SimpleMean,0.05,EnsembleSoft,LumB,f1,0.8771126974910567,0.016924577910811416,50
SimpleMean,0.05,EnsembleSoft,LumB,precision,0.8750800666327394,0.03711363396582115,50
SimpleMean,0.05,EnsembleSoft,LumB,recall,0.881263157894737,0.03294846310676505,50
SimpleMean,0.05,EnsembleSoft,Her2,f1,0.7909384647735859,0.04055066795688799,50
SimpleMean,0.05,EnsembleSoft,Her2,precision,0.819150069655314,0.054168140021996394,50
SimpleMean,0.05,EnsembleSoft,Her2,recall,0.770080808080808,0.06898464259427071,50
SimpleMean,0.05,EnsembleSoft,Basal,f1,0.9253470542325779,0.029925927351673848,50
SimpleMean,0.05,EnsembleSoft,Basal,precision,0.9673498871369445,0.024175600039729957,50
SimpleMean,0.05,EnsembleSoft,Basal,recall,0.8886759581881534,0.051490741388754514,50
"KNN(k=5,dist)",0.05,EnsembleSoft,LumA,f1,0.9222613174167824,0.012502255374057069,50
"KNN(k=5,dist)",0.05,EnsembleSoft,LumA,precision,0.9085884841755067,0.019049418368619436,50
"KNN(k=5,dist)",0.05,EnsembleSoft,LumA,recall,0.937857142857143,0.03654286648871424,50
"KNN(k=5,dist)",0.05,EnsembleSoft,LumB,f1,0.8784127697636158,0.01711514520715833,50
"KNN(k=5,dist)",0.05,EnsembleSoft,LumB,precision,0.8741830452759186,0.034910022515701154,50
"KNN(k=5,dist)",0.05,EnsembleSoft,LumB,recall,0.884421052631579,0.030410908183361295,50
