imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n_rows
"KNN(k=5,dist)",0.0,EnsembleSoft,0.8859360095573787,0.013890854433734988,0.8752464911354514,0.013119020735135928,50
"KNN(k=5,dist)",0.05,EnsembleSoft,0.8803363082962822,0.013769226688709349,0.8702920596020725,0.014443011572192004,50
"KNN(k=5,dist)",0.1,EnsembleSoft,0.8778545991857503,0.014086175062295935,0.8680423254181278,0.014730124975486739,50
"KNN(k=5,dist)",0.2,EnsembleSoft,0.8721681465435438,0.014562735355476218,0.8621136891563721,0.016807878804321188,50
"KNN(k=5,dist)",0.3,EnsembleSoft,0.8482454233955332,0.017576613076590128,0.8380687893977368,0.020109717138331745,50
MissForest,0.0,EnsembleSoft,0.8859360095573787,0.013890854433734988,0.8752464911354514,0.013119020735135928,50
MissForest,0.05,EnsembleSoft,0.8805805867748586,0.013069796459966454,0.8707137577869285,0.01426486403308678,50
MissForest,0.1,EnsembleSoft,0.8791786876085737,0.01316796681798822,0.8692159834175238,0.013891189328992934,50
MissForest,0.2,EnsembleSoft,0.8707923202001205,0.014647683150102033,0.8613616575622352,0.016861243771268585,50
MissForest,0.3,EnsembleSoft,0.8606189427022096,0.015877782079675894,0.8506416785681868,0.01855068606208644,50
RFECA_SVR(k=10),0.0,EnsembleSoft,0.8859360095573787,0.013890854433734988,0.8752464911354514,0.013119020735135928,50
RFECA_SVR(k=10),0.05,EnsembleSoft,0.8812410534187957,0.014549699013345206,0.8713267078450005,0.015351236428879074,50
RFECA_SVR(k=10),0.1,EnsembleSoft,0.8768648126699197,0.013803055180646687,0.867906968085402,0.014834861556421894,50
RFECA_SVR(k=10),0.2,EnsembleSoft,0.8709077508526741,0.01719604040699331,0.8623739096447697,0.017859746144681544,50
RFECA_SVR(k=10),0.3,EnsembleSoft,0.8576248921493402,0.016365393601680215,0.8487007832774842,0.019118988965001367,50
RFECA_SVR(k=20),0.0,EnsembleSoft,0.8859360095573787,0.013890854433734988,0.8752464911354514,0.013119020735135928,50
RFECA_SVR(k=20),0.05,EnsembleSoft,0.8816077162833884,0.012571682436401681,0.8715771269452272,0.014072616729350427,50
RFECA_SVR(k=20),0.1,EnsembleSoft,0.8779987803856862,0.014192512163659323,0.8684722639006978,0.016372265320812398,50
RFECA_SVR(k=20),0.2,EnsembleSoft,0.8710153657068591,0.016693490949309532,0.8627023619655199,0.01802218334817213,50
RFECA_SVR(k=20),0.3,EnsembleSoft,0.8585895875390563,0.014829080872354062,0.8498464532543479,0.017089760825011974,50
RFECA_SVR(k=5),0.0,EnsembleSoft,0.8859360095573787,0.013890854433734988,0.8752464911354514,0.013119020735135928,50
RFECA_SVR(k=5),0.05,EnsembleSoft,0.8801272587714714,0.013026921620866558,0.8705611034237478,0.013618915383602312,50
RFECA_SVR(k=5),0.1,EnsembleSoft,0.878759537615641,0.012818668073376628,0.8690496381382132,0.014799887302283987,50
RFECA_SVR(k=5),0.2,EnsembleSoft,0.8708808668237511,0.015917950548344047,0.8620926003108288,0.017405910095008286,50
RFECA_SVR(k=5),0.3,EnsembleSoft,0.8557480643509362,0.01656936541577224,0.8461774146193274,0.01834037060601454,50
SimpleMean,0.0,EnsembleSoft,0.8859360095573787,0.013890854433734988,0.8752464911354514,0.013119020735135928,50
SimpleMean,0.05,EnsembleSoft,0.8807230463647767,0.014271484721750235,0.8709846637102734,0.015940029921229424,50
SimpleMean,0.1,EnsembleSoft,0.8743290626841953,0.014117774064203321,0.8652054267227567,0.0165262040426851,50
SimpleMean,0.2,EnsembleSoft,0.8635717320954565,0.01599457825274251,0.8540339809242248,0.01704657782661135,50
SimpleMean,0.3,EnsembleSoft,0.84802008519513,0.020233082188741175,0.83789716438176,0.021524815649423244,50
