stage,imputer,missing_rate,replicate,fold,n_train,n_test,train_test_overlap,imputer_object_id,correlation_source,has_corr_csv_path
imputation,SimpleMean,0.0,0,1,1286,322,0,2214786084816,n/a,False
imputation,SimpleMean,0.0,0,2,1286,322,0,2214786085136,n/a,False
imputation,SimpleMean,0.0,0,3,1286,322,0,2214785627280,n/a,False
imputation,SimpleMean,0.0,0,4,1287,321,0,2214785628800,n/a,False
imputation,SimpleMean,0.0,0,5,1287,321,0,2214786500656,n/a,False
imputation,"KNN(k=5,dist)",0.0,0,1,1286,322,0,2214786084176,n/a,False
imputation,"KNN(k=5,dist)",0.0,0,2,1286,322,0,2214786084496,n/a,False
imputation,"KNN(k=5,dist)",0.0,0,3,1286,322,0,2214785629104,n/a,False
imputation,"KNN(k=5,dist)",0.0,0,4,1287,321,0,2214785629408,n/a,False
imputation,"KNN(k=5,dist)",0.0,0,5,1287,321,0,2214786503248,n/a,False
imputation,RFECA_SVR(k=5),0.0,0,1,1286,322,0,2214785629712,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,0,2,1286,322,0,2214836813904,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,0,3,1286,322,0,2214786502960,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,0,4,1287,321,0,2214786373280,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,0,5,1287,321,0,2214786375728,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,1,1286,322,0,2214763379280,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,2,1286,322,0,2214763380304,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,3,1286,322,0,2214785481088,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,4,1287,321,0,2214785481568,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,5,1287,321,0,2214786627440,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,1,1286,322,0,2214786628112,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,2,1286,322,0,2214786628336,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,3,1286,322,0,2214786628560,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,4,1287,321,0,2214786628784,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,5,1287,321,0,2214786629008,training_fold_X.corr(),False
imputation,MissForest,0.0,0,1,1286,322,0,2214786087696,n/a,False
imputation,MissForest,0.0,0,2,1286,322,0,2214786085776,n/a,False
imputation,MissForest,0.0,0,3,1286,322,0,2214786088656,n/a,False
imputation,MissForest,0.0,0,4,1287,321,0,2214837076048,n/a,False
imputation,MissForest,0.0,0,5,1287,321,0,2214837076368,n/a,False
classification,SimpleMean,0.0,0,1,1286,322,0,2214785482288,n/a,False
classification,SimpleMean,0.0,0,2,1286,322,0,2214837608848,n/a,False
classification,SimpleMean,0.0,0,3,1286,322,0,2214888081904,n/a,False
classification,SimpleMean,0.0,0,4,1287,321,0,2214786734672,n/a,False
classification,SimpleMean,0.0,0,5,1287,321,0,2214888130320,n/a,False
classification,"KNN(k=5,dist)",0.0,0,1,1286,322,0,2214786380352,n/a,False
classification,"KNN(k=5,dist)",0.0,0,2,1286,322,0,2214786381712,n/a,False
classification,"KNN(k=5,dist)",0.0,0,3,1286,322,0,2214837229904,n/a,False
classification,"KNN(k=5,dist)",0.0,0,4,1287,321,0,2214837230928,n/a,False
classification,"KNN(k=5,dist)",0.0,0,5,1287,321,0,2214922604128,n/a,False
classification,RFECA_SVR(k=5),0.0,0,1,1286,322,0,2214956986704,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,0,2,1286,322,0,2214957387792,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,0,3,1286,322,0,2214990852880,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,0,4,1287,321,0,2214991190672,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,0,5,1287,321,0,2214991543696,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,0,1,1286,322,0,2214956986480,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,0,2,1286,322,0,2215025413488,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,0,3,1286,322,0,2215025734192,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,0,4,1287,321,0,2215042652144,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,0,5,1287,321,0,2215043005616,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.0,0,1,1286,322,0,2215043342960,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.0,0,2,1286,322,0,2215093422128,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.0,0,3,1286,322,0,2215093742832,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.0,0,4,1287,321,0,2215094112944,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.0,0,5,1287,321,0,2215111027280,training_fold_X.corr(),False
classification,MissForest,0.0,0,1,1286,322,0,2214837088208,n/a,False
classification,MissForest,0.0,0,2,1286,322,0,2214837082448,n/a,False
classification,MissForest,0.0,0,3,1286,322,0,2214837083088,n/a,False
classification,MissForest,0.0,0,4,1287,321,0,2214837082128,n/a,False
classification,MissForest,0.0,0,5,1287,321,0,2214837079248,n/a,False
imputation,SimpleMean,0.0,1,1,1286,322,0,2214837321808,n/a,False
imputation,SimpleMean,0.0,1,2,1286,322,0,2214837322000,n/a,False
imputation,SimpleMean,0.0,1,3,1286,322,0,2214837322192,n/a,False
imputation,SimpleMean,0.0,1,4,1287,321,0,2214837322384,n/a,False
imputation,SimpleMean,0.0,1,5,1287,321,0,2214837322576,n/a,False
imputation,"KNN(k=5,dist)",0.0,1,1,1286,322,0,2214785481568,n/a,False
imputation,"KNN(k=5,dist)",0.0,1,2,1286,322,0,2214786628336,n/a,False
imputation,"KNN(k=5,dist)",0.0,1,3,1286,322,0,2214786628560,n/a,False
imputation,"KNN(k=5,dist)",0.0,1,4,1287,321,0,2214786730928,n/a,False
imputation,"KNN(k=5,dist)",0.0,1,5,1287,321,0,2214837322768,n/a,False
imputation,RFECA_SVR(k=5),0.0,1,1,1286,322,0,2214786628784,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,1,2,1286,322,0,2214786629008,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,1,3,1286,322,0,2214786628112,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,1,4,1287,321,0,2214786627440,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,1,5,1287,321,0,2214837255344,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,1,1,1286,322,0,2214837255120,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,1,2,1286,322,0,2214837254896,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,1,3,1286,322,0,2214837254672,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,1,4,1287,321,0,2214837254448,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,1,5,1287,321,0,2214837254224,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,1,1,1286,322,0,2214837254000,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,1,2,1286,322,0,2214837253776,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,1,3,1286,322,0,2214837253552,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,1,4,1287,321,0,2214837253328,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,1,5,1287,321,0,2214837253104,training_fold_X.corr(),False
imputation,MissForest,0.0,1,1,1286,322,0,2214786084176,n/a,False
imputation,MissForest,0.0,1,2,1286,322,0,2214786085136,n/a,False
imputation,MissForest,0.0,1,3,1286,322,0,2214786084496,n/a,False
imputation,MissForest,0.0,1,4,1287,321,0,2214786087696,n/a,False
imputation,MissForest,0.0,1,5,1287,321,0,2214786088016,n/a,False
classification,SimpleMean,0.0,1,1,1286,322,0,2214837327376,n/a,False
classification,SimpleMean,0.0,1,2,1286,322,0,2214837328144,n/a,False
classification,SimpleMean,0.0,1,3,1286,322,0,2215162474576,n/a,False
classification,SimpleMean,0.0,1,4,1287,321,0,2214837553488,n/a,False
classification,SimpleMean,0.0,1,5,1287,321,0,2214837379600,n/a,False
classification,"KNN(k=5,dist)",0.0,1,1,1286,322,0,2214837327184,n/a,False
classification,"KNN(k=5,dist)",0.0,1,2,1286,322,0,2215111218128,n/a,False
classification,"KNN(k=5,dist)",0.0,1,3,1286,322,0,2215111650448,n/a,False
classification,"KNN(k=5,dist)",0.0,1,4,1287,321,0,2215111869840,n/a,False
classification,"KNN(k=5,dist)",0.0,1,5,1287,321,0,2215025024592,n/a,False
classification,RFECA_SVR(k=5),0.0,1,1,1286,322,0,2215025706608,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,1,2,1286,322,0,2215093345808,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,1,3,1286,322,0,2215093765072,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,1,4,1287,321,0,2215161653392,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,1,5,1287,321,0,2215162359920,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,1,1,1286,322,0,2214922220304,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,1,2,1286,322,0,2214922790384,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,1,3,1286,322,0,2214922976656,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,1,4,1287,321,0,2214991059824,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,1,5,1287,321,0,2214956375120,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.0,1,1,1286,322,0,2214956936656,training_fold_X.corr(),False
