imputer,missing_rate,model,subtype,metric,mean,std,n_rows
RFECA_SVR(k=5),0.0,EnsembleSoft,LumA,f1,0.9256275441075742,0.009211089305114101,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumA,precision,0.9090318616489494,0.020875902448876875,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumA,recall,0.9442857142857142,0.03271677457526815,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumB,f1,0.8858865889811237,0.016999884659553124,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumB,precision,0.8827538892085209,0.031333373348922805,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumB,recall,0.8905263157894737,0.030522982150653293,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Her2,f1,0.8056513780482696,0.03988337914965203,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Her2,precision,0.8381516105912141,0.05619243997163974,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Her2,recall,0.7808080808080807,0.06625246916738241,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Basal,f1,0.9265785270925475,0.02984842586940772,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Basal,precision,0.9739894419306185,0.016065989197836927,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Basal,recall,0.8853658536585367,0.05328409991839617,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumA,f1,0.9256275441075742,0.009211089305114101,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumA,precision,0.9090318616489494,0.020875902448876875,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumA,recall,0.9442857142857142,0.03271677457526815,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumB,f1,0.8858865889811237,0.016999884659553124,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumB,precision,0.8827538892085209,0.031333373348922805,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumB,recall,0.8905263157894737,0.030522982150653293,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Her2,f1,0.8056513780482696,0.03988337914965203,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Her2,precision,0.8381516105912141,0.05619243997163974,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Her2,recall,0.7808080808080807,0.06625246916738241,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Basal,f1,0.9265785270925475,0.02984842586940772,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Basal,precision,0.9739894419306185,0.016065989197836927,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Basal,recall,0.8853658536585367,0.05328409991839617,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumA,f1,0.9256275441075742,0.009211089305114101,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumA,precision,0.9090318616489494,0.020875902448876875,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumA,recall,0.9442857142857142,0.03271677457526815,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumB,f1,0.8858865889811237,0.016999884659553124,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumB,precision,0.8827538892085209,0.031333373348922805,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumB,recall,0.8905263157894737,0.030522982150653293,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Her2,f1,0.8056513780482696,0.03988337914965203,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Her2,precision,0.8381516105912141,0.05619243997163974,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Her2,recall,0.7808080808080807,0.06625246916738241,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Basal,f1,0.9265785270925475,0.02984842586940772,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Basal,precision,0.9739894419306185,0.016065989197836927,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Basal,recall,0.8853658536585367,0.05328409991839617,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumA,f1,0.923939630022153,0.011722431453022271,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumA,precision,0.910694127997516,0.019219479208796825,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumA,recall,0.939,0.03490959347779164,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumB,f1,0.8799123753944015,0.01795717066985272,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumB,precision,0.8732862083109494,0.0351390170999256,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumB,recall,0.8882105263157896,0.02852310912175239,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Her2,f1,0.7898998501426641,0.039847813895353655,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Her2,precision,0.8238222640538767,0.05432252009868445,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Her2,recall,0.7638484848484849,0.06653411060969684,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Basal,f1,0.9256201544554352,0.030662963857713367,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Basal,precision,0.9668809222777357,0.024766903547318083,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Basal,recall,0.8896283391405343,0.052659734776997265,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumA,f1,0.9254861825426329,0.010918772839159553,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumA,precision,0.9101441254989243,0.0186226579626491,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumA,recall,0.9425714285714286,0.03184458302006452,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumB,f1,0.8827834689662071,0.015813741958372162,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumB,precision,0.8782281661347677,0.031980112002720044,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumB,recall,0.888842105263158,0.027984473538533814,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Her2,f1,0.793182709205267,0.0375345486966091,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Her2,precision,0.8284059852236912,0.053847027512001794,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Her2,recall,0.76610101010101,0.06517948547781892,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Basal,f1,0.9253269490990926,0.03168928428639188,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Basal,precision,0.9668093030833346,0.024901736286158587,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Basal,recall,0.8891405342624856,0.05351264904056499,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumA,f1,0.9247096423744472,0.01182295173209737,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumA,precision,0.9108864348618277,0.019340954919480676,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumA,recall,0.9402857142857143,0.033588637732964874,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumB,f1,0.8823164718704478,0.015616822963616698,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumB,precision,0.8754914609806241,0.0332334820776801,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumB,recall,0.890736842105263,0.026637347969671613,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Her2,f1,0.7938214174985372,0.03546841309311104,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Her2,precision,0.8299162436597443,0.053666939981863886,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Her2,recall,0.766111111111111,0.06371241524923463,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Basal,f1,0.9248414413856854,0.03200022109928528,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Basal,precision,0.9661119151227886,0.023900600220113255,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Basal,recall,0.8886643437862951,0.052823714716343124,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumA,f1,0.9225206083445602,0.01267090148294052,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumA,precision,0.9081829531206602,0.018921375129361002,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumA,recall,0.9388571428571428,0.03713388543810239,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumB,f1,0.87706669291344,0.017430980207930446,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumB,precision,0.8734243193208971,0.03567055933556055,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumB,recall,0.8827368421052632,0.03342339953024025,50
RFECA_SVR(k=5),0.1,EnsembleSoft,Her2,f1,0.7887049525517047,0.03771608218379329,50
