stage,imputer,missing_rate,replicate,fold,n_train,n_test,train_test_overlap,imputer_object_id,correlation_source,has_corr_csv_path
imputation,RFECA_SVR(k=5),0.0,0,1,1286,322,0,2081375630784,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,0,2,1286,322,0,2081948925456,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,0,3,1286,322,0,2081949833200,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,0,4,1287,321,0,2081949705328,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,0,5,1287,321,0,2081949705600,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,1,1286,322,0,2081949235792,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,2,1286,322,0,2081949236048,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,3,1286,322,0,2082000142656,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,4,1287,321,0,2082000142896,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,0,5,1287,321,0,2082000143136,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,1,1286,322,0,2082000143376,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,2,1286,322,0,2082000143616,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,3,1286,322,0,2082000143856,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,4,1287,321,0,2082000144096,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.0,0,5,1287,321,0,2082000144336,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,0,1,1286,322,0,2082000144576,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,0,2,1286,322,0,2082000150336,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,0,3,1286,322,0,2082000147936,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,0,4,1287,321,0,2082000145536,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.0,0,5,1287,321,0,2082000154416,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,0,1,1286,322,0,2082000157536,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,0,2,1286,322,0,2082000145296,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,0,3,1286,322,0,2082205812688,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,0,4,1287,321,0,2082205815808,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.0,0,5,1287,321,0,2082205816768,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.0,0,1,1286,322,0,2081948825504,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.0,0,2,1286,322,0,2082000147696,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.0,0,3,1286,322,0,2082000149376,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.0,0,4,1287,321,0,2082205815328,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.0,0,5,1287,321,0,2082205814608,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,1,1,1286,322,0,2081948826704,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,1,2,1286,322,0,2081948827184,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,1,3,1286,322,0,2081948825504,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,1,4,1287,321,0,2082000147456,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.0,1,5,1287,321,0,2082000147216,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.0,1,1,1286,322,0,2082000146976,training_fold_X.corr(),False
