imputer,missing_rate,model,subtype,metric,mean,std,n_rows
RFECA_SVR(k=5),0.0,EnsembleSoft,LumA,f1,0.9256275441075742,0.009211089305114101,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumA,precision,0.9090318616489494,0.020875902448876875,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumA,recall,0.9442857142857142,0.03271677457526815,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumB,f1,0.8858865889811237,0.016999884659553124,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumB,precision,0.8827538892085209,0.031333373348922805,50
RFECA_SVR(k=5),0.0,EnsembleSoft,LumB,recall,0.8905263157894737,0.030522982150653293,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Her2,f1,0.8056513780482696,0.03988337914965203,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Her2,precision,0.8381516105912141,0.05619243997163974,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Her2,recall,0.7808080808080807,0.06625246916738241,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Basal,f1,0.9265785270925475,0.02984842586940772,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Basal,precision,0.9739894419306185,0.016065989197836927,50
RFECA_SVR(k=5),0.0,EnsembleSoft,Basal,recall,0.8853658536585367,0.05328409991839617,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumA,f1,0.9256275441075742,0.009211089305114101,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumA,precision,0.9090318616489494,0.020875902448876875,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumA,recall,0.9442857142857142,0.03271677457526815,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumB,f1,0.8858865889811237,0.016999884659553124,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumB,precision,0.8827538892085209,0.031333373348922805,50
RFECA_SVR(k=10),0.0,EnsembleSoft,LumB,recall,0.8905263157894737,0.030522982150653293,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Her2,f1,0.8056513780482696,0.03988337914965203,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Her2,precision,0.8381516105912141,0.05619243997163974,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Her2,recall,0.7808080808080807,0.06625246916738241,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Basal,f1,0.9265785270925475,0.02984842586940772,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Basal,precision,0.9739894419306185,0.016065989197836927,50
RFECA_SVR(k=10),0.0,EnsembleSoft,Basal,recall,0.8853658536585367,0.05328409991839617,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumA,f1,0.9256275441075742,0.009211089305114101,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumA,precision,0.9090318616489494,0.020875902448876875,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumA,recall,0.9442857142857142,0.03271677457526815,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumB,f1,0.8858865889811237,0.016999884659553124,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumB,precision,0.8827538892085209,0.031333373348922805,50
RFECA_SVR(k=20),0.0,EnsembleSoft,LumB,recall,0.8905263157894737,0.030522982150653293,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Her2,f1,0.8056513780482696,0.03988337914965203,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Her2,precision,0.8381516105912141,0.05619243997163974,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Her2,recall,0.7808080808080807,0.06625246916738241,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Basal,f1,0.9265785270925475,0.02984842586940772,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Basal,precision,0.9739894419306185,0.016065989197836927,50
RFECA_SVR(k=20),0.0,EnsembleSoft,Basal,recall,0.8853658536585367,0.05328409991839617,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumA,f1,0.9234845713429155,0.01110851585916915,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumA,precision,0.9084367951993313,0.020522688825585014,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumA,recall,0.9405714285714286,0.03518381552128149,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumB,f1,0.8800789828981861,0.01618020784121348,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumB,precision,0.8767571852703848,0.03279006208630709,50
RFECA_SVR(k=5),0.05,EnsembleSoft,LumB,recall,0.8852631578947369,0.03323614451924863,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Her2,f1,0.7999604230242643,0.03901532347360568,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Her2,precision,0.8320374557976729,0.05163540837878593,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Her2,recall,0.775020202020202,0.06519614102740906,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Basal,f1,0.9306564524553523,0.027411979873795077,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Basal,precision,0.9727086678193677,0.01963102351556331,50
RFECA_SVR(k=5),0.05,EnsembleSoft,Basal,recall,0.8934494773519164,0.04670556503109935,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumA,f1,0.9233137012750018,0.01085153662033571,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumA,precision,0.9085312417051027,0.019222657930404886,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumA,recall,0.9399999999999998,0.03417986576417189,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumB,f1,0.8792337082683558,0.016368257680188254,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumB,precision,0.8743610162681034,0.03275765526262765,50
RFECA_SVR(k=10),0.05,EnsembleSoft,LumB,recall,0.8861052631578947,0.03466418205516007,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Her2,f1,0.79837605998891,0.037668306391859835,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Her2,precision,0.8317126316973201,0.04869186166147744,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Her2,recall,0.7723333333333333,0.06530687922974682,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Basal,f1,0.9282000990482085,0.030322664590489202,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Basal,precision,0.9715696852686208,0.019571331410962248,50
RFECA_SVR(k=10),0.05,EnsembleSoft,Basal,recall,0.8901161440185831,0.05135047774678403,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumA,f1,0.9245683912451262,0.010311414957532909,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumA,precision,0.9086792081916936,0.0203877017582798,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumA,recall,0.9424285714285715,0.033046418957493745,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumB,f1,0.8807451875417214,0.015486607741976384,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumB,precision,0.8771176715887856,0.032779769555452046,50
RFECA_SVR(k=20),0.05,EnsembleSoft,LumB,recall,0.8863157894736841,0.033625082368417894,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Her2,f1,0.7974384075751185,0.035481438358052064,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Her2,precision,0.8320514885879815,0.04662256947022513,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Her2,recall,0.7697070707070707,0.06075605793962865,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Basal,f1,0.9286836305092022,0.026830705358082175,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Basal,precision,0.9707166800332624,0.020708802339010048,50
RFECA_SVR(k=20),0.05,EnsembleSoft,Basal,recall,0.891533101045296,0.045956745982013075,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumA,f1,0.920356169255336,0.014039029055927701,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumA,precision,0.9085204157609875,0.017712798523149973,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumA,recall,0.934,0.038249928883051766,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumB,f1,0.8743113116413688,0.022246832042629013,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumB,precision,0.8679425763253218,0.036883732972429875,50
RFECA_SVR(k=5),0.1,EnsembleSoft,LumB,recall,0.8825263157894736,0.03444626700594759,50
RFECA_SVR(k=5),0.1,EnsembleSoft,Her2,f1,0.789233395099504,0.03784360798719501,50
